CODMUNRES,ano_nasc,Qtd_2Robson,Qtd_Total
130006,2019,4,265
130008,2012,2,199
130008,2013,0,201
130008,2014,2,212
130008,2015,3,163
130008,2016,5,182
130008,2017,5,196
130008,2018,3,214
130008,2019,3,190
130010,2012,4,247
130010,2013,0,285
130010,2014,0,267
130010,2015,3,255
130010,2016,0,266
130010,2017,0,257
130010,2018,1,247
130010,2019,3,233
130014,2012,13,195
130014,2013,0,223
130014,2014,32,223
130014,2015,5,204
130014,2016,22,211
130014,2017,9,233
130014,2018,8,242
130014,2019,5,239
130020,2012,6,357
130020,2013,0,354
130020,2014,3,435
130020,2015,1,439
130020,2016,6,380
130020,2017,2,382
130020,2018,6,357
130020,2019,1,313
130030,2012,34,877
130030,2013,0,877
130030,2014,37,955
130030,2015,41,829
130030,2016,31,890
130030,2017,37,897
130030,2018,37,948
130030,2019,36,872
130040,2012,9,469
130040,2013,0,480
130040,2014,6,419
130040,2015,12,505
130040,2016,12,496
130040,2017,8,524
130040,2018,8,570
130040,2019,5,556
130050,2012,20,707
130050,2013,0,769
130050,2014,18,756
130050,2015,18,815
130050,2016,12,810
130050,2017,26,870
130050,2018,35,851
130050,2019,47,857
130060,2012,14,1053
130060,2013,0,1036
130060,2014,4,1077
130060,2015,2,968
130060,2016,10,1021
130060,2017,11,1039
130060,2018,12,985
130060,2019,5,1030
130063,2012,8,427
130063,2013,0,428
130063,2014,3,488
130063,2015,3,489
130063,2016,6,510
130063,2017,1,597
130063,2018,4,501
130063,2019,5,525
130068,2012,18,260
130068,2013,0,321
130068,2014,23,328
130068,2015,22,369
130068,2016,30,312
130068,2017,26,319
130068,2018,35,318
130068,2019,30,330
130070,2012,24,741
130070,2013,0,763
130070,2014,16,734
130070,2015,31,695
130070,2016,22,653
130070,2017,11,771
130070,2018,21,739
130070,2019,28,725
130080,2012,24,690
130080,2013,0,705
130080,2014,32,711
130080,2015,21,725
130080,2016,17,663
130080,2017,27,797
130080,2018,29,789
130080,2019,42,763
130083,2012,3,138
130083,2013,0,203
130083,2014,5,204
130083,2015,0,173
130083,2016,1,183
130083,2017,5,216
130083,2018,6,188
130083,2019,1,169
130090,2012,12,213
130090,2013,0,196
130090,2014,15,231
130090,2015,14,219
130090,2016,17,217
130090,2017,18,191
130090,2018,15,222
130090,2019,14,192
130100,2012,8,656
130100,2013,0,633
130100,2014,16,658
130100,2015,13,628
130100,2016,20,625
130100,2017,14,626
130100,2018,20,636
130100,2019,10,635
130110,2012,3,414
130110,2013,0,442
130110,2014,7,474
130110,2015,19,419
130110,2016,4,481
130110,2017,7,512
130110,2018,10,550
130110,2019,10,564
130115,2012,2,171
130115,2013,0,168
130115,2014,5,208
130115,2015,6,215
130115,2016,1,199
130115,2017,4,237
130115,2018,9,275
130115,2019,7,198
130120,2012,29,1668
130120,2013,0,1750
130120,2014,75,1704
130120,2015,47,1744
130120,2016,10,1646
130120,2017,19,1656
130120,2018,28,1747
130120,2019,18,1698
130130,2012,11,432
130130,2013,0,424
130130,2014,3,426
130130,2015,7,434
130130,2016,4,404
130130,2017,13,439
130130,2018,15,429
130130,2019,3,468
130140,2012,36,833
130140,2013,0,852
130140,2014,53,852
130140,2015,49,825
130140,2016,60,787
130140,2017,51,854
130140,2018,75,830
130140,2019,59,792
130150,2012,11,314
130150,2013,0,366
130150,2014,9,386
130150,2015,8,412
130150,2016,13,369
130150,2017,13,424
130150,2018,9,369
130150,2019,9,391
130160,2012,29,520
130160,2013,0,556
130160,2014,25,606
130160,2015,18,670
130160,2016,27,573
130160,2017,34,630
130160,2018,55,621
130160,2019,3,579
130165,2012,25,360
130165,2013,0,329
130165,2014,9,356
130165,2015,15,334
130165,2016,10,284
130165,2017,5,326
130165,2018,20,293
130165,2019,17,285
130170,2012,61,847
130170,2013,0,902
130170,2014,25,970
130170,2015,5,941
130170,2016,10,977
130170,2017,98,1001
130170,2018,84,1006
130170,2019,85,978
130180,2012,10,439
130180,2013,0,407
130180,2014,5,406
130180,2015,4,441
130180,2016,8,389
130180,2017,5,409
130180,2018,6,413
130180,2019,1,376
130185,2012,17,898
130185,2013,0,849
130185,2014,9,873
130185,2015,20,867
130185,2016,8,928
130185,2017,14,941
130185,2018,21,945
130185,2019,23,1021
130190,2012,10,2019
130190,2013,0,2085
130190,2014,11,2068
130190,2015,10,2078
130190,2016,6,2028
130190,2017,2,1985
130190,2018,6,2068
130190,2019,5,2034
130195,2012,2,197
130195,2013,0,260
130195,2014,2,260
130195,2015,3,293
130195,2016,1,263
130195,2017,3,245
130195,2018,2,303
130195,2019,4,247
130200,2012,4,199
130200,2013,0,184
130200,2014,1,154
130200,2015,4,148
130200,2016,3,187
130200,2017,2,165
130200,2018,4,171
130200,2019,10,173
130210,2012,1,142
130210,2013,0,130
130210,2014,0,148
130210,2015,4,169
130210,2016,3,150
130210,2017,5,161
130210,2018,7,151
130210,2019,4,121
130220,2012,1,171
130220,2013,0,202
130220,2014,2,193
130220,2015,2,217
130220,2016,1,175
130220,2017,0,253
130220,2018,2,251
130220,2019,0,235
130230,2012,6,601
130230,2013,0,629
130230,2014,8,631
130230,2015,3,633
130230,2016,0,604
130230,2017,13,659
130230,2018,20,648
130230,2019,16,646
130240,2012,12,682
130240,2013,0,728
130240,2014,14,715
130240,2015,52,659
130240,2016,66,652
130240,2017,94,741
130240,2018,90,779
130240,2019,133,892
130250,2012,36,1886
130250,2013,0,2000
130250,2014,24,2130
130250,2015,12,2070
130250,2016,20,1795
130250,2017,46,1938
130250,2018,51,2056
130250,2019,64,2115
130255,2012,11,250
130255,2013,0,249
130255,2014,2,233
130255,2015,8,234
130255,2016,4,253
130255,2017,2,300
130255,2018,7,303
130255,2019,4,276
130260,2012,2136,41169
130260,2013,0,41640
130260,2014,1876,42809
130260,2015,2464,42342
130260,2016,1561,39603
130260,2017,1488,38498
130260,2018,1937,38588
130260,2019,1808,37939
130270,2012,4,810
130270,2013,0,850
130270,2014,17,903
130270,2015,5,930
130270,2016,6,911
130270,2017,30,989
130270,2018,10,1013
130270,2019,8,1023
130280,2012,10,313
130280,2013,0,338
130280,2014,10,399
130280,2015,7,323
130280,2016,6,358
130280,2017,16,418
130280,2018,21,405
130280,2019,10,381
130290,2012,19,1311
130290,2013,0,1317
130290,2014,78,1362
130290,2015,86,1335
130290,2016,36,1273
130290,2017,94,1553
130290,2018,54,1581
130290,2019,88,1539
130300,2012,1,344
130300,2013,0,301
130300,2014,8,357
130300,2015,3,356
130300,2016,1,338
130300,2017,1,358
130300,2018,3,314
130300,2019,3,346
130310,2012,12,591
130310,2013,0,628
130310,2014,5,619
130310,2015,7,593
130310,2016,5,587
130310,2017,0,592
130310,2018,2,612
130310,2019,0,546
130320,2012,11,257
130320,2013,0,246
130320,2014,3,307
130320,2015,5,316
130320,2016,4,289
130320,2017,5,333
130320,2018,1,327
130320,2019,6,310
130330,2012,4,321
130330,2013,0,351
130330,2014,3,344
130330,2015,2,409
130330,2016,1,386
130330,2017,0,406
130330,2018,0,379
130330,2019,3,392
130340,2012,7,2021
130340,2013,0,2133
130340,2014,12,2056
130340,2015,5,1995
130340,2016,1,1932
130340,2017,9,2139
130340,2018,5,2067
130340,2019,59,1947
130350,2012,1,308
130350,2013,0,367
130350,2014,1,364
130350,2015,0,374
130350,2016,1,348
130350,2017,0,355
130350,2018,0,362
130350,2019,3,369
130353,2012,24,556
