CODMUNRES,ano_nasc,Qtd_Baixo_Peso,Qtd_Total
130170,2018,51,1006
130170,2019,77,978
130180,2012,39,439
130180,2013,28,407
130180,2014,34,406
130180,2015,32,441
130180,2016,28,389
130180,2017,52,409
130180,2018,38,413
130180,2019,27,376
130185,2012,57,898
130185,2013,69,849
130185,2014,60,873
130185,2015,63,867
130185,2016,94,928
130185,2017,50,941
130185,2018,64,945
130185,2019,82,1021
130190,2012,134,2019
130190,2013,136,2085
130190,2014,116,2068
130190,2015,136,2078
130190,2016,150,2028
130190,2017,148,1985
130190,2018,128,2068
130190,2019,155,2034
130195,2012,11,197
130195,2013,44,260
130195,2014,36,260
130195,2015,22,293
130195,2016,29,263
130195,2017,18,245
130195,2018,26,303
130195,2019,19,247
130200,2012,8,199
130200,2013,6,184
130200,2014,10,154
130200,2015,7,148
130200,2016,13,187
130200,2017,13,165
130200,2018,12,171
130200,2019,9,173
130210,2012,12,142
130210,2013,13,130
130210,2014,10,148
130210,2015,8,169
130210,2016,9,150
130210,2017,11,161
130210,2018,8,151
130210,2019,6,121
130220,2012,10,171
130220,2013,9,202
130220,2014,13,193
130220,2015,19,217
130220,2016,16,175
130220,2017,18,253
130220,2018,18,251
130220,2019,9,235
130230,2012,48,601
130230,2013,82,629
130230,2014,60,631
130230,2015,43,633
130230,2016,40,604
130230,2017,50,659
130230,2018,42,648
130230,2019,51,646
130240,2012,39,682
130240,2013,35,728
130240,2014,48,715
130240,2015,32,659
130240,2016,52,652
130240,2017,50,741
130240,2018,55,779
130240,2019,63,892
130250,2012,140,1886
130250,2013,138,2000
130250,2014,137,2130
130250,2015,117,2070
130250,2016,123,1795
130250,2017,112,1938
130250,2018,136,2056
130250,2019,127,2115
130255,2012,15,250
130255,2013,8,249
130255,2014,18,233
130255,2015,14,234
130255,2016,18,253
130255,2017,20,300
130255,2018,20,303
130255,2019,14,276
130260,2012,3238,41169
130260,2013,3483,41640
130260,2014,3517,42809
130260,2015,3498,42342
130260,2016,3159,39603
130260,2017,3073,38498
130260,2018,2985,38588
130260,2019,3298,37939
130270,2012,42,810
130270,2013,58,850
130270,2014,66,903
130270,2015,55,930
130270,2016,35,911
130270,2017,54,989
130270,2018,52,1013
130270,2019,70,1023
130280,2012,20,313
130280,2013,23,338
130280,2014,21,399
130280,2015,24,323
130280,2016,17,358
130280,2017,32,418
130280,2018,22,405
130280,2019,20,381
130290,2012,99,1311
