CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
130083,2014,4,204
130083,2015,8,173
130083,2016,6,183
130083,2017,7,216
130083,2018,6,188
130083,2019,2,169
130090,2012,3,213
130090,2013,0,196
130090,2014,6,231
130090,2015,0,219
130090,2016,5,217
130090,2017,8,191
130090,2018,74,222
130090,2019,1,192
130100,2012,35,656
130100,2013,0,633
130100,2014,19,658
130100,2015,11,628
130100,2016,29,625
130100,2017,0,626
130100,2018,0,636
130100,2019,0,635
130110,2012,95,414
130110,2013,0,442
130110,2014,32,474
130110,2015,31,419
130110,2016,15,481
130110,2017,2,512
130110,2018,2,550
130110,2019,3,564
130115,2012,42,171
130115,2013,0,168
130115,2014,6,208
130115,2015,2,215
130115,2016,3,199
130115,2017,2,237
130115,2018,0,275
130115,2019,3,198
130120,2012,236,1668
130120,2013,0,1750
130120,2014,21,1704
130120,2015,3,1744
130120,2016,1,1646
130120,2017,0,1656
130120,2018,0,1747
130120,2019,1,1698
130130,2012,14,432
130130,2013,0,424
130130,2014,6,426
130130,2015,3,434
130130,2016,26,404
130130,2017,8,439
130130,2018,8,429
130130,2019,20,468
130140,2012,24,833
130140,2013,0,852
130140,2014,6,852
130140,2015,19,825
130140,2016,4,787
130140,2017,1,854
130140,2018,3,830
130140,2019,0,792
130150,2012,4,314
130150,2013,0,366
130150,2014,2,386
130150,2015,6,412
130150,2016,3,369
130150,2017,1,424
130150,2018,1,369
130150,2019,1,391
130160,2012,2,520
130160,2013,0,556
130160,2014,5,606
130160,2015,1,670
130160,2016,2,573
130160,2017,5,630
130160,2018,0,621
130160,2019,0,579
130165,2012,36,360
130165,2013,0,329
130165,2014,13,356
130165,2015,17,334
130165,2016,11,284
130165,2017,5,326
130165,2018,0,293
130165,2019,2,285
130170,2012,210,847
130170,2013,0,902
130170,2014,7,970
130170,2015,9,941
130170,2016,8,977
130170,2017,2,1001
130170,2018,7,1006
130170,2019,3,978
130180,2012,3,439
130180,2013,0,407
130180,2014,7,406
130180,2015,11,441
130180,2016,9,389
130180,2017,9,409
130180,2018,56,413
130180,2019,3,376
130185,2012,168,898
130185,2013,0,849
130185,2014,167,873
130185,2015,53,867
130185,2016,125,928
130185,2017,25,941
130185,2018,8,945
130185,2019,6,1021
130190,2012,96,2019
130190,2013,0,2085
130190,2014,144,2068
130190,2015,20,2078
130190,2016,17,2028
130190,2017,3,1985
130190,2018,0,2068
130190,2019,2,2034
130195,2012,124,197
130195,2013,0,260
130195,2014,38,260
130195,2015,11,293
130195,2016,2,263
130195,2017,0,245
130195,2018,3,303
130195,2019,1,247
130200,2012,3,199
130200,2013,0,184
130200,2014,10,154
130200,2015,2,148
130200,2016,0,187
130200,2017,0,165
130200,2018,0,171
130200,2019,0,173
130210,2012,3,142
130210,2013,0,130
130210,2014,1,148
130210,2015,3,169
130210,2016,6,150
130210,2017,1,161
130210,2018,0,151
130210,2019,0,121
130220,2012,4,171
130220,2013,0,202
130220,2014,2,193
130220,2015,9,217
130220,2016,17,175
130220,2017,3,253
130220,2018,7,251
130220,2019,0,235
130230,2012,60,601
130230,2013,0,629
130230,2014,445,631
130230,2015,521,633
130230,2016,499,604
130230,2017,12,659
130230,2018,11,648
130230,2019,0,646
130240,2012,24,682
130240,2013,0,728
130240,2014,56,715
130240,2015,12,659
130240,2016,10,652
130240,2017,17,741
130240,2018,15,779
130240,2019,0,892
130250,2012,65,1886
130250,2013,0,2000
130250,2014,44,2130
130250,2015,10,2070
130250,2016,45,1795
130250,2017,19,1938
130250,2018,54,2056
130250,2019,3,2115
130255,2012,26,250
130255,2013,0,249
130255,2014,5,233
130255,2015,5,234
130255,2016,5,253
130255,2017,2,300
130255,2018,1,303
130255,2019,0,276
130260,2012,9872,41169
130260,2013,0,41640
130260,2014,1794,42809
130260,2015,1439,42342
130260,2016,1171,39603
130260,2017,312,38498
130260,2018,4,38588
130260,2019,250,37939
130270,2012,80,810
130270,2013,0,850
130270,2014,22,903
130270,2015,10,930
130270,2016,6,911
130270,2017,4,989
130270,2018,7,1013
130270,2019,4,1023
130280,2012,33,313
130280,2013,0,338
130280,2014,13,399
130280,2015,3,323
130280,2016,3,358
130280,2017,1,418
130280,2018,7,405
130280,2019,1,381
130290,2012,163,1311
130290,2013,0,1317
130290,2014,88,1362
130290,2015,54,1335
130290,2016,19,1273
130290,2017,0,1553
130290,2018,1,1581
130290,2019,0,1539
130300,2012,17,344
130300,2013,0,301
130300,2014,7,357
130300,2015,6,356
130300,2016,13,338
130300,2017,6,358
130300,2018,7,314
130300,2019,0,346
130310,2012,7,591
130310,2013,0,628
130310,2014,74,619
130310,2015,2,593
130310,2016,1,587
130310,2017,0,592
130310,2018,5,612
130310,2019,0,546
130320,2012,21,257
130320,2013,0,246
130320,2014,6,307
130320,2015,10,316
130320,2016,18,289
130320,2017,3,333
130320,2018,104,327
130320,2019,1,310
130330,2012,3,321
130330,2013,0,351
130330,2014,15,344
130330,2015,18,409
130330,2016,13,386
130330,2017,2,406
130330,2018,0,379
130330,2019,0,392
130340,2012,4,2021
130340,2013,0,2133
130340,2014,4,2056
130340,2015,5,1995
130340,2016,2,1932
130340,2017,2,2139
130340,2018,1,2067
130340,2019,1,1947
130350,2012,94,308
130350,2013,0,367
130350,2014,6,364
130350,2015,7,374
130350,2016,64,348
130350,2017,2,355
130350,2018,56,362
130350,2019,7,369
130353,2012,35,556
