CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total
150040,2017,12,1132
150040,2018,17,1190
150040,2019,27,1194
150050,2012,6,693
150050,2013,13,754
150050,2014,2,801
150050,2015,14,797
150050,2016,9,739
150050,2017,18,745
150050,2018,8,780
150050,2019,13,779
150060,2012,40,2105
150060,2013,38,2529
150060,2014,34,2866
150060,2015,37,2991
150060,2016,44,2846
150060,2017,28,2487
150060,2018,31,2568
150060,2019,41,2371
150070,2012,9,751
150070,2013,19,736
150070,2014,17,737
150070,2015,9,742
150070,2016,12,819
150070,2017,7,855
150070,2018,12,871
150070,2019,16,837
150080,2012,107,8195
150080,2013,113,8035
150080,2014,111,8282
150080,2015,127,8397
150080,2016,115,8011
150080,2017,112,7940
150080,2018,149,7772
150080,2019,113,7408
150085,2012,3,530
150085,2013,2,531
150085,2014,6,542
150085,2015,17,600
150085,2016,8,575
150085,2017,12,630
150085,2018,9,656
150085,2019,6,652
150090,2012,8,965
150090,2013,6,1050
150090,2014,6,990
150090,2015,11,954
150090,2016,8,954
150090,2017,10,935
150090,2018,5,901
150090,2019,13,809
150095,2012,7,372
150095,2013,16,418
150095,2014,6,472
150095,2015,5,440
150095,2016,4,395
150095,2017,6,401
150095,2018,3,368
150095,2019,4,425
150100,2012,4,206
150100,2013,2,215
150100,2014,2,194
150100,2015,2,198
150100,2016,3,205
150100,2017,2,160
150100,2018,3,182
150100,2019,0,146
150110,2012,8,465
150110,2013,8,460
150110,2014,8,548
150110,2015,13,556
150110,2016,14,562
150110,2017,4,553
150110,2018,4,582
150110,2019,6,549
150120,2012,18,538
150120,2013,7,532
150120,2014,1,578
150120,2015,8,575
150120,2016,11,567
150120,2017,13,630
150120,2018,10,580
150120,2019,16,501
150125,2012,0,42
