CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
130130,2012,67,432
130130,2013,0,424
130130,2014,51,426
130130,2015,59,434
130130,2016,54,404
130130,2017,52,439
130130,2018,65,429
130130,2019,58,468
130140,2012,58,833
130140,2013,0,852
130140,2014,82,852
130140,2015,83,825
130140,2016,103,787
130140,2017,123,854
130140,2018,123,830
130140,2019,110,792
130150,2012,31,314
130150,2013,0,366
130150,2014,53,386
130150,2015,57,412
130150,2016,51,369
130150,2017,75,424
130150,2018,59,369
130150,2019,49,391
130160,2012,67,520
130160,2013,0,556
130160,2014,90,606
130160,2015,90,670
130160,2016,103,573
130160,2017,124,630
130160,2018,107,621
130160,2019,102,579
130165,2012,35,360
130165,2013,0,329
130165,2014,46,356
130165,2015,30,334
130165,2016,34,284
130165,2017,47,326
130165,2018,40,293
130165,2019,40,285
130170,2012,115,847
130170,2013,0,902
130170,2014,181,970
130170,2015,197,941
130170,2016,193,977
130170,2017,188,1001
130170,2018,229,1006
130170,2019,224,978
130180,2012,19,439
130180,2013,0,407
130180,2014,46,406
130180,2015,36,441
130180,2016,30,389
130180,2017,37,409
130180,2018,43,413
130180,2019,46,376
130185,2012,73,898
130185,2013,0,849
130185,2014,113,873
130185,2015,153,867
130185,2016,134,928
130185,2017,171,941
130185,2018,194,945
130185,2019,194,1021
130190,2012,247,2019
130190,2013,0,2085
130190,2014,278,2068
130190,2015,331,2078
130190,2016,305,2028
130190,2017,304,1985
130190,2018,333,2068
130190,2019,322,2034
130195,2012,16,197
130195,2013,0,260
130195,2014,24,260
130195,2015,26,293
130195,2016,23,263
130195,2017,23,245
130195,2018,27,303
130195,2019,17,247
130200,2012,31,199
130200,2013,0,184
130200,2014,23,154
130200,2015,18,148
130200,2016,20,187
130200,2017,15,165
130200,2018,21,171
130200,2019,27,173
130210,2012,3,142
130210,2013,0,130
130210,2014,11,148
130210,2015,12,169
130210,2016,8,150
130210,2017,13,161
130210,2018,9,151
130210,2019,6,121
130220,2012,35,171
130220,2013,0,202
130220,2014,29,193
130220,2015,12,217
130220,2016,29,175
130220,2017,46,253
130220,2018,50,251
130220,2019,44,235
130230,2012,20,601
130230,2013,0,629
130230,2014,12,631
130230,2015,2,633
130230,2016,1,604
130230,2017,34,659
130230,2018,45,648
130230,2019,39,646
130240,2012,70,682
130240,2013,0,728
130240,2014,60,715
130240,2015,54,659
130240,2016,84,652
130240,2017,91,741
130240,2018,101,779
130240,2019,128,892
130250,2012,185,1886
130250,2013,0,2000
130250,2014,331,2130
130250,2015,330,2070
130250,2016,298,1795
130250,2017,265,1938
130250,2018,295,2056
130250,2019,355,2115
130255,2012,13,250
130255,2013,0,249
130255,2014,36,233
130255,2015,24,234
130255,2016,51,253
130255,2017,52,300
130255,2018,64,303
130255,2019,58,276
130260,2012,6666,41169
130260,2013,0,41640
130260,2014,8565,42809
130260,2015,8782,42342
130260,2016,7637,39603
130260,2017,7980,38498
130260,2018,9098,38588
130260,2019,9073,37939
130270,2012,93,810
130270,2013,0,850
130270,2014,87,903
130270,2015,102,930
130270,2016,112,911
130270,2017,117,989
130270,2018,125,1013
130270,2019,147,1023
130280,2012,20,313
130280,2013,0,338
130280,2014,33,399
130280,2015,31,323
130280,2016,29,358
130280,2017,33,418
130280,2018,44,405
130280,2019,50,381
130290,2012,77,1311
130290,2013,0,1317
130290,2014,97,1362
130290,2015,81,1335
130290,2016,102,1273
130290,2017,164,1553
130290,2018,150,1581
130290,2019,157,1539
130300,2012,51,344
130300,2013,0,301
130300,2014,32,357
130300,2015,36,356
130300,2016,28,338
130300,2017,32,358
130300,2018,28,314
130300,2019,56,346
130310,2012,60,591
130310,2013,0,628
130310,2014,64,619
130310,2015,48,593
130310,2016,66,587
130310,2017,72,592
130310,2018,60,612
130310,2019,58,546
130320,2012,31,257
130320,2013,0,246
130320,2014,44,307
130320,2015,58,316
130320,2016,60,289
130320,2017,65,333
130320,2018,48,327
130320,2019,61,310
130330,2012,30,321
130330,2013,0,351
130330,2014,30,344
130330,2015,42,409
130330,2016,40,386
130330,2017,58,406
130330,2018,56,379
130330,2019,47,392
130340,2012,179,2021
130340,2013,0,2133
130340,2014,227,2056
130340,2015,231,1995
130340,2016,219,1932
130340,2017,235,2139
130340,2018,278,2067
130340,2019,285,1947
130350,2012,34,308
130350,2013,0,367
130350,2014,113,364
130350,2015,124,374
130350,2016,67,348
130350,2017,118,355
130350,2018,63,362
130350,2019,70,369
130353,2012,96,556
130353,2013,0,580
130353,2014,87,585
130353,2015,49,558
130353,2016,55,548
130353,2017,89,523
130353,2018,126,558
130353,2019,111,513
130356,2012,23,361
130356,2013,0,374
130356,2014,70,412
130356,2015,55,391
130356,2016,61,415
130356,2017,67,422
130356,2018,87,431
130356,2019,79,440
130360,2012,19,344
130360,2013,0,279
130360,2014,12,225
130360,2015,14,301
130360,2016,16,305
130360,2017,22,370
130360,2018,15,372
130360,2019,21,322
130370,2012,22,603
130370,2013,0,576
130370,2014,28,652
130370,2015,26,718
130370,2016,49,693
130370,2017,32,724
130370,2018,33,704
130370,2019,44,773
130380,2012,79,1119
130380,2013,0,1143
130380,2014,96,1254
130380,2015,69,1120
130380,2016,93,1255
130380,2017,89,1214
130380,2018,93,1227
130380,2019,115,1436
130390,2012,50,959
130390,2013,0,914
130390,2014,32,987
130390,2015,32,753
130390,2016,36,871
130390,2017,38,999
130390,2018,44,935
130390,2019,55,956
