CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total
130110,2018,67,550
130110,2019,74,564
130115,2012,19,171
130115,2013,15,168
130115,2014,9,208
130115,2015,21,215
130115,2016,17,199
130115,2017,27,237
130115,2018,29,275
130115,2019,30,198
130120,2012,102,1668
130120,2013,120,1750
130120,2014,126,1704
130120,2015,127,1744
130120,2016,127,1646
130120,2017,152,1656
130120,2018,148,1747
130120,2019,145,1698
130130,2012,17,432
130130,2013,31,424
130130,2014,21,426
130130,2015,27,434
130130,2016,26,404
130130,2017,31,439
130130,2018,28,429
130130,2019,26,468
130140,2012,65,833
130140,2013,60,852
130140,2014,73,852
130140,2015,68,825
130140,2016,61,787
130140,2017,69,854
130140,2018,64,830
130140,2019,52,792
130150,2012,20,314
130150,2013,33,366
130150,2014,38,386
130150,2015,27,412
130150,2016,39,369
130150,2017,39,424
130150,2018,36,369
130150,2019,36,391
130160,2012,28,520
130160,2013,29,556
130160,2014,28,606
130160,2015,40,670
130160,2016,17,573
130160,2017,33,630
130160,2018,46,621
130160,2019,35,579
130165,2012,31,360
130165,2013,35,329
130165,2014,27,356
130165,2015,35,334
130165,2016,23,284
130165,2017,30,326
130165,2018,27,293
130165,2019,31,285
130170,2012,52,847
130170,2013,67,902
130170,2014,63,970
130170,2015,53,941
130170,2016,68,977
130170,2017,72,1001
130170,2018,75,1006
130170,2019,66,978
130180,2012,44,439
130180,2013,33,407
130180,2014,39,406
130180,2015,45,441
130180,2016,34,389
130180,2017,48,409
130180,2018,22,413
130180,2019,34,376
130185,2012,52,898
130185,2013,55,849
130185,2014,45,873
130185,2015,53,867
130185,2016,81,928
130185,2017,77,941
130185,2018,84,945
130185,2019,92,1021
130190,2012,167,2019
130190,2013,144,2085
130190,2014,161,2068
130190,2015,172,2078
130190,2016,153,2028
130190,2017,161,1985
130190,2018,208,2068
130190,2019,215,2034
130195,2012,19,197
130195,2013,19,260
130195,2014,19,260
130195,2015,17,293
130195,2016,24,263
130195,2017,17,245
130195,2018,42,303
130195,2019,22,247
130200,2012,7,199
130200,2013,13,184
130200,2014,8,154
130200,2015,10,148
130200,2016,13,187
130200,2017,18,165
130200,2018,14,171
130200,2019,12,173
130210,2012,7,142
130210,2013,12,130
130210,2014,7,148
130210,2015,22,169
130210,2016,14,150
130210,2017,19,161
130210,2018,8,151
130210,2019,4,121
130220,2012,10,171
130220,2013,17,202
130220,2014,10,193
130220,2015,10,217
130220,2016,14,175
130220,2017,18,253
130220,2018,18,251
130220,2019,22,235
130230,2012,58,601
130230,2013,56,629
130230,2014,57,631
