CODMUNRES,ano_nasc,Qtd_2Parto,Qtd_Total
130030,2018,234,948
130030,2019,200,872
130040,2012,94,469
130040,2013,90,480
130040,2014,84,419
130040,2015,79,505
130040,2016,76,496
130040,2017,94,524
130040,2018,88,570
130040,2019,99,556
130050,2012,95,707
130050,2013,129,769
130050,2014,135,756
130050,2015,162,815
130050,2016,127,810
130050,2017,200,870
130050,2018,213,851
130050,2019,232,857
130060,2012,119,1053
130060,2013,152,1036
130060,2014,142,1077
130060,2015,199,968
130060,2016,137,1021
130060,2017,176,1039
130060,2018,103,985
130060,2019,189,1030
130063,2012,87,427
130063,2013,77,428
130063,2014,80,488
130063,2015,98,489
130063,2016,70,510
130063,2017,75,597
130063,2018,65,501
130063,2019,79,525
130068,2012,59,260
130068,2013,79,321
130068,2014,86,328
130068,2015,75,369
130068,2016,90,312
130068,2017,93,319
130068,2018,105,318
130068,2019,79,330
130070,2012,285,741
130070,2013,311,763
130070,2014,241,734
130070,2015,258,695
130070,2016,247,653
130070,2017,319,771
130070,2018,316,739
130070,2019,324,725
130080,2012,128,690
130080,2013,133,705
130080,2014,148,711
130080,2015,132,725
130080,2016,137,663
130080,2017,214,797
130080,2018,197,789
130080,2019,205,763
130083,2012,28,138
130083,2013,54,203
130083,2014,67,204
130083,2015,45,173
130083,2016,56,183
130083,2017,71,216
130083,2018,62,188
130083,2019,62,169
130090,2012,62,213
130090,2013,62,196
130090,2014,80,231
130090,2015,84,219
130090,2016,96,217
130090,2017,93,191
130090,2018,111,222
130090,2019,103,192
130100,2012,99,656
130100,2013,118,633
130100,2014,157,658
130100,2015,194,628
130100,2016,152,625
130100,2017,174,626
130100,2018,243,636
130100,2019,222,635
130110,2012,111,414
130110,2013,128,442
130110,2014,134,474
130110,2015,108,419
130110,2016,142,481
130110,2017,162,512
130110,2018,185,550
130110,2019,277,564
130115,2012,55,171
130115,2013,56,168
130115,2014,58,208
130115,2015,69,215
130115,2016,58,199
130115,2017,79,237
130115,2018,103,275
130115,2019,75,198
130120,2012,493,1668
130120,2013,520,1750
130120,2014,480,1704
130120,2015,572,1744
130120,2016,590,1646
130120,2017,623,1656
130120,2018,609,1747
130120,2019,541,1698
130130,2012,104,432
130130,2013,128,424
130130,2014,118,426
130130,2015,116,434
130130,2016,107,404
