CODMUNRES,ano_nasc,Qtd_Mais_de_5_Consultas_Pre_Natal,Qtd_Total
140017,2019,152,385
140020,2012,168,425
140020,2013,0,424
140020,2014,205,393
140020,2015,226,414
140020,2016,188,381
140020,2017,207,407
140020,2018,206,406
140020,2019,242,445
140023,2012,100,138
140023,2013,0,151
140023,2014,109,154
140023,2015,104,139
140023,2016,109,145
140023,2017,130,183
140023,2018,132,181
140023,2019,151,204
140028,2012,91,173
140028,2013,0,147
140028,2014,83,156
140028,2015,86,169
140028,2016,84,138
140028,2017,86,154
140028,2018,61,138
140028,2019,98,185
140030,2012,169,270
140030,2013,0,351
140030,2014,185,299
140030,2015,219,341
140030,2016,208,308
140030,2017,199,309
140030,2018,182,325
140030,2019,225,372
140040,2012,81,319
140040,2013,0,381
140040,2014,148,376
140040,2015,166,442
140040,2016,152,428
140040,2017,160,415
140040,2018,190,463
140040,2019,181,489
140045,2012,133,327
140045,2013,0,351
140045,2014,166,340
140045,2015,178,361
140045,2016,165,357
140045,2017,197,380
140045,2018,182,423
140045,2019,206,556
140047,2012,266,422
140047,2013,0,422
140047,2014,314,442
140047,2015,360,527
140047,2016,366,542
140047,2017,354,563
140047,2018,420,628
140047,2019,407,567
140050,2012,81,116
140050,2013,0,120
140050,2014,80,117
140050,2015,81,117
140050,2016,71,104
140050,2017,85,122
140050,2018,78,119
140050,2019,87,131
140060,2012,59,84
140060,2013,0,80
140060,2014,45,67
140060,2015,60,91
140060,2016,58,83
140060,2017,69,106
140060,2018,64,86
140060,2019,74,107
140070,2012,51,432
140070,2013,0,459
140070,2014,159,466
140070,2015,167,518
140070,2016,150,509
140070,2017,172,445
140070,2018,189,513
140070,2019,255,616
150000,2012,1,4
150000,2013,0,8
150000,2014,1,2
150000,2015,2,2
150000,2016,1,2
150000,2017,2,2
150000,2018,1,1
150000,2019,2,3
150010,2012,1606,2530
150010,2013,0,2538
150010,2014,1824,2705
150010,2015,1785,2660
150010,2016,1848,2532
150010,2017,1948,2713
150010,2018,1891,2671
150010,2019,953,2623
150013,2012,101,114
150013,2013,0,129
150013,2014,58,100
150013,2015,88,143
150013,2016,67,117
150013,2017,81,142
150013,2018,88,130
150013,2019,101,132
150020,2012,294,966
150020,2013,0,1039
150020,2014,554,1116
150020,2015,418,936
150020,2016,303,996
150020,2017,499,992
150020,2018,533,1013
150020,2019,499,980
150030,2012,220,805
150030,2013,0,788
150030,2014,289,806
150030,2015,282,871
150030,2016,281,911
150030,2017,313,968
150030,2018,338,1022
150030,2019,360,1014
150034,2012,96,164
150034,2013,0,190
150034,2014,87,182
150034,2015,140,199
150034,2016,109,163
150034,2017,158,215
150034,2018,179,223
150034,2019,186,225
150040,2012,711,1138
150040,2013,0,1126
150040,2014,609,1133
150040,2015,647,1133
150040,2016,594,1031
150040,2017,651,1132
150040,2018,651,1190
150040,2019,674,1194
150050,2012,373,693
150050,2013,0,754
150050,2014,453,801
150050,2015,478,797
150050,2016,364,739
150050,2017,417,745
150050,2018,474,780
150050,2019,406,779
150060,2012,426,2105
150060,2013,0,2529
150060,2014,1532,2866
150060,2015,1429,2991
150060,2016,1498,2846
150060,2017,1572,2487
150060,2018,1939,2568
150060,2019,1733,2371
150070,2012,199,751
150070,2013,0,736
150070,2014,258,737
150070,2015,232,742
150070,2016,204,819
150070,2017,511,855
150070,2018,352,871
150070,2019,366,837
150080,2012,5310,8195
150080,2013,0,8035
150080,2014,4815,8282
150080,2015,4802,8397
150080,2016,4493,8011
150080,2017,5057,7940
150080,2018,4603,7772
150080,2019,4393,7408
150085,2012,134,530
150085,2013,0,531
150085,2014,221,542
150085,2015,224,600
150085,2016,283,575
150085,2017,364,630
150085,2018,456,656
150085,2019,477,652
150090,2012,284,965
150090,2013,0,1050
150090,2014,314,990
150090,2015,384,954
150090,2016,455,954
150090,2017,437,935
150090,2018,480,901
150090,2019,447,809
150095,2012,176,372
150095,2013,0,418
150095,2014,311,472
150095,2015,286,440
150095,2016,221,395
150095,2017,262,401
150095,2018,248,368
150095,2019,273,425
150100,2012,100,206
150100,2013,0,215
150100,2014,113,194
150100,2015,114,198
150100,2016,86,205
150100,2017,62,160
150100,2018,84,182
150100,2019,69,146
150110,2012,125,465
