CODMUNRES,ano_nasc,Qtd_Ao_Menos_1_Consulta_Pre_Natal,Qtd_Total
120039,2016,227,230
120039,2017,277,282
120039,2018,252,254
120039,2019,270,270
120040,2012,6394,6531
120040,2013,0,7116
120040,2014,6806,7011
120040,2015,6797,6965
120040,2016,6470,6614
120040,2017,6360,6460
120040,2018,6403,6495
120040,2019,6260,6324
120042,2012,336,390
120042,2013,0,363
120042,2014,374,394
120042,2015,351,396
120042,2016,282,304
120042,2017,336,366
120042,2018,366,394
120042,2019,317,334
120043,2012,103,259
120043,2013,0,223
120043,2014,163,185
120043,2015,139,150
120043,2016,81,95
120043,2017,141,198
120043,2018,192,207
120043,2019,179,186
120045,2012,361,396
120045,2013,0,425
120045,2014,437,453
120045,2015,428,443
120045,2016,397,410
120045,2017,390,395
120045,2018,470,476
120045,2019,410,417
120050,2012,865,929
120050,2013,0,904
120050,2014,783,827
120050,2015,812,847
120050,2016,744,762
120050,2017,748,780
120050,2018,757,788
120050,2019,759,768
120060,2012,989,1158
120060,2013,0,1138
120060,2014,1072,1230
120060,2015,1110,1165
120060,2016,976,1078
120060,2017,1031,1132
120060,2018,1085,1193
120060,2019,1103,1143
120070,2012,296,311
120070,2013,0,294
120070,2014,297,306
120070,2015,308,322
120070,2016,315,329
120070,2017,299,305
120070,2018,325,325
120070,2019,291,297
120080,2012,340,346
120080,2013,0,362
120080,2014,355,368
120080,2015,353,358
120080,2016,352,356
120080,2017,422,430
120080,2018,387,392
120080,2019,375,379
130000,2012,7,8
130000,2013,0,18
130000,2014,8,23
130000,2015,3,18
130000,2016,8,25
130000,2017,9,17
130000,2018,17,25
130000,2019,10,12
130002,2012,299,320
130002,2013,0,346
130002,2014,305,308
130002,2015,327,342
130002,2016,309,325
130002,2017,383,401
130002,2018,338,346
130002,2019,411,418
130006,2012,240,242
130006,2013,0,261
130006,2014,263,264
130006,2015,212,214
130006,2016,278,280
130006,2017,266,267
130006,2018,247,247
130006,2019,263,265
130008,2012,194,199
130008,2013,0,201
130008,2014,209,212
130008,2015,161,163
130008,2016,178,182
130008,2017,192,196
130008,2018,211,214
130008,2019,188,190
130010,2012,243,247
130010,2013,0,285
130010,2014,263,267
130010,2015,242,255
130010,2016,260,266
130010,2017,250,257
130010,2018,246,247
130010,2019,230,233
130014,2012,186,195
130014,2013,0,223
130014,2014,215,223
130014,2015,197,204
130014,2016,207,211
130014,2017,230,233
130014,2018,240,242
130014,2019,237,239
130020,2012,339,357
130020,2013,0,354
130020,2014,423,435
130020,2015,432,439
130020,2016,375,380
130020,2017,368,382
130020,2018,350,357
130020,2019,308,313
130030,2012,803,877
130030,2013,0,877
130030,2014,889,955
130030,2015,782,829
130030,2016,843,890
130030,2017,862,897
130030,2018,911,948
130030,2019,871,872
130040,2012,429,469
130040,2013,0,480
130040,2014,378,419
130040,2015,432,505
130040,2016,443,496
130040,2017,457,524
130040,2018,465,570
130040,2019,482,556
130050,2012,663,707
130050,2013,0,769
130050,2014,713,756
130050,2015,779,815
130050,2016,772,810
130050,2017,840,870
130050,2018,831,851
130050,2019,848,857
130060,2012,905,1053
130060,2013,0,1036
130060,2014,1066,1077
130060,2015,954,968
130060,2016,1002,1021
130060,2017,1032,1039
130060,2018,974,985
130060,2019,1025,1030
130063,2012,395,427
130063,2013,0,428
130063,2014,475,488
130063,2015,479,489
130063,2016,469,510
130063,2017,581,597
130063,2018,460,501
130063,2019,495,525
130068,2012,247,260
130068,2013,0,321
130068,2014,320,328
130068,2015,362,369
130068,2016,301,312
130068,2017,310,319
130068,2018,311,318
130068,2019,324,330
130070,2012,725,741
130070,2013,0,763
130070,2014,722,734
130070,2015,689,695
130070,2016,653,653
130070,2017,768,771
130070,2018,729,739
130070,2019,722,725
130080,2012,655,690
130080,2013,0,705
130080,2014,702,711
130080,2015,718,725
130080,2016,658,663
130080,2017,792,797
130080,2018,778,789
130080,2019,759,763
130083,2012,132,138
130083,2013,0,203
130083,2014,196,204
130083,2015,167,173
130083,2016,174,183
130083,2017,215,216
130083,2018,181,188
130083,2019,166,169
130090,2012,208,213
130090,2013,0,196
130090,2014,224,231
130090,2015,215,219
130090,2016,215,217
130090,2017,187,191
130090,2018,149,222
130090,2019,170,192
130100,2012,543,656
130100,2013,0,633
130100,2014,569,658
130100,2015,566,628
130100,2016,563,625
130100,2017,577,626
130100,2018,602,636
130100,2019,605,635
130110,2012,390,414
130110,2013,0,442
130110,2014,445,474
130110,2015,371,419
130110,2016,453,481
130110,2017,492,512
130110,2018,532,550
130110,2019,551,564
130115,2012,148,171
130115,2013,0,168
130115,2014,162,208
130115,2015,185,215
130115,2016,173,199
130115,2017,225,237
130115,2018,266,275
130115,2019,195,198
130120,2012,1510,1668
130120,2013,0,1750
130120,2014,1648,1704
130120,2015,1702,1744
130120,2016,1587,1646
130120,2017,1604,1656
130120,2018,1715,1747
