CODMUNRES,Ano,Qtd_Total,Pop
130100,2013,253,3263
130100,2014,247,3210
130100,2015,242,3161
130100,2016,213,3083
130100,2017,220,3000
130100,2018,200,2917
130100,2019,208,2838
130110,2012,126,3851
130110,2013,126,3840
130110,2014,141,3815
130110,2015,124,3788
130110,2016,117,3704
130110,2017,141,3613
130110,2018,137,3523
130110,2019,137,3436
130115,2012,66,2650
130115,2013,51,2621
130115,2014,60,2582
130115,2015,61,2543
130115,2016,58,2525
130115,2017,56,2503
130115,2018,64,2480
130115,2019,46,2462
130120,2012,534,9288
130120,2013,596,9159
130120,2014,564,8995
130120,2015,566,8829
130120,2016,503,8727
130120,2017,512,8613
130120,2018,540,8494
130120,2019,534,8394
130130,2012,175,2956
130130,2013,122,2966
130130,2014,146,2963
130130,2015,152,2960
130130,2016,127,2912
130130,2017,159,2861
130130,2018,140,2809
130130,2019,160,2759
130140,2012,270,3781
130140,2013,299,3747
130140,2014,264,3698
130140,2015,275,3650
130140,2016,272,3628
130140,2017,308,3602
130140,2018,308,3576
130140,2019,279,3557
130150,2012,106,2156
130150,2013,128,2149
130150,2014,126,2133
130150,2015,163,2118
130150,2016,134,2107
130150,2017,149,2092
130150,2018,125,2077
130150,2019,117,2066
130160,2012,201,2557
130160,2013,212,2437
130160,2014,217,2305
130160,2015,257,2176
130160,2016,229,2086
130160,2017,232,1993
130160,2018,225,1899
130160,2019,216,1809
130165,2012,88,1844
130165,2013,103,1842
130165,2014,117,1831
130165,2015,101,1822
130165,2016,96,1797
130165,2017,94,1770
130165,2018,94,1742
130165,2019,88,1718
130170,2012,280,5390
130170,2013,293,5408
130170,2014,302,5406
130170,2015,305,5403
130170,2016,297,5317
130170,2017,317,5223
130170,2018,321,5127
130170,2019,283,5037
130180,2012,132,2829
130180,2013,138,2942
130180,2014,124,3040
130180,2015,129,3140
130180,2016,132,3159
130180,2017,123,3176
130180,2018,138,3194
130180,2019,115,3215
130185,2012,289,4765
130185,2013,284,4789
130185,2014,298,4794
130185,2015,290,4801
130185,2016,298,4769
130185,2017,252,4735
130185,2018,261,4701
130185,2019,262,4670
130190,2012,596,9997
130190,2013,677,9942
130190,2014,615,9848
130190,2015,596,9752
130190,2016,613,9639
130190,2017,547,9515
130190,2018,518,9385
130190,2019,501,9271
130195,2012,89,943
130195,2013,74,925
130195,2014,89,905
130195,2015,98,885
130195,2016,78,844
130195,2017,80,801
130195,2018,102,758
130195,2019,72,716
130200,2012,70,964
130200,2013,58,941
130200,2014,42,914
130200,2015,42,888
130200,2016,57,875
130200,2017,56,859
130200,2018,54,846
130200,2019,60,832
