CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total
130110,2018,41,550
130110,2019,28,564
130115,2012,27,171
130115,2013,19,168
130115,2014,20,208
130115,2015,19,215
130115,2016,15,199
130115,2017,15,237
130115,2018,15,275
130115,2019,10,198
130120,2012,238,1668
130120,2013,252,1750
130120,2014,165,1704
130120,2015,130,1744
130120,2016,124,1646
130120,2017,113,1656
130120,2018,98,1747
130120,2019,89,1698
130130,2012,54,432
130130,2013,55,424
130130,2014,36,426
130130,2015,59,434
130130,2016,62,404
130130,2017,37,439
130130,2018,40,429
130130,2019,35,468
130140,2012,282,833
130140,2013,250,852
130140,2014,269,852
130140,2015,221,825
130140,2016,190,787
130140,2017,155,854
130140,2018,177,830
130140,2019,155,792
130150,2012,67,314
130150,2013,127,366
130150,2014,104,386
130150,2015,93,412
130150,2016,92,369
130150,2017,102,424
130150,2018,72,369
130150,2019,88,391
130160,2012,75,520
130160,2013,79,556
130160,2014,50,606
130160,2015,70,670
130160,2016,52,573
130160,2017,51,630
130160,2018,43,621
130160,2019,31,579
130165,2012,74,360
130165,2013,53,329
130165,2014,44,356
130165,2015,83,334
130165,2016,59,284
130165,2017,39,326
130165,2018,27,293
130165,2019,14,285
130170,2012,137,847
130170,2013,102,902
130170,2014,100,970
130170,2015,79,941
130170,2016,66,977
130170,2017,71,1001
130170,2018,45,1006
130170,2019,52,978
130180,2012,246,439
130180,2013,222,407
130180,2014,190,406
130180,2015,216,441
130180,2016,157,389
130180,2017,190,409
130180,2018,95,413
130180,2019,65,376
130185,2012,79,898
130185,2013,38,849
130185,2014,55,873
130185,2015,35,867
130185,2016,46,928
130185,2017,29,941
130185,2018,36,945
130185,2019,31,1021
130190,2012,158,2019
130190,2013,115,2085
130190,2014,108,2068
130190,2015,74,2078
130190,2016,59,2028
130190,2017,61,1985
130190,2018,68,2068
130190,2019,35,2034
130195,2012,78,197
130195,2013,99,260
130195,2014,71,260
130195,2015,83,293
130195,2016,78,263
130195,2017,73,245
130195,2018,66,303
130195,2019,53,247
130200,2012,2,199
130200,2013,2,184
130200,2014,2,154
130200,2015,1,148
130200,2016,1,187
130200,2017,0,165
130200,2018,1,171
130200,2019,0,173
130210,2012,16,142
130210,2013,26,130
130210,2014,16,148
130210,2015,14,169
130210,2016,12,150
130210,2017,11,161
130210,2018,15,151
130210,2019,7,121
130220,2012,44,171
130220,2013,47,202
130220,2014,40,193
130220,2015,46,217
130220,2016,39,175
130220,2017,53,253
130220,2018,52,251
130220,2019,36,235
130230,2012,161,601
130230,2013,213,629
130230,2014,193,631
130230,2015,169,633
130230,2016,142,604
130230,2017,96,659
130230,2018,124,648
130230,2019,127,646
130240,2012,144,682
130240,2013,159,728
130240,2014,123,715
130240,2015,76,659
130240,2016,75,652
130240,2017,92,741
130240,2018,100,779
130240,2019,59,892
130250,2012,190,1886
130250,2013,142,2000
130250,2014,125,2130
130250,2015,111,2070
130250,2016,114,1795
130250,2017,80,1938
130250,2018,93,2056
130250,2019,66,2115
130255,2012,18,250
130255,2013,13,249
130255,2014,21,233
130255,2015,12,234
130255,2016,11,253
130255,2017,5,300
130255,2018,8,303
130255,2019,5,276
130260,2012,1092,41169
130260,2013,1048,41640
130260,2014,898,42809
130260,2015,716,42342
130260,2016,626,39603
130260,2017,560,38498
130260,2018,430,38588
130260,2019,417,37939
130270,2012,198,810
130270,2013,128,850
130270,2014,117,903
130270,2015,94,930
130270,2016,73,911
130270,2017,75,989
130270,2018,75,1013
130270,2019,60,1023
130280,2012,58,313
130280,2013,57,338
130280,2014,53,399
130280,2015,37,323
130280,2016,39,358
130280,2017,44,418
130280,2018,41,405
