CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total
130430,2017,1,270
130430,2018,1,261
130430,2019,3,318
130440,2012,0,321
130440,2013,1,325
130440,2014,0,329
130440,2015,0,282
130440,2016,0,299
130440,2017,0,315
130440,2018,0,313
130440,2019,0,321
140000,2012,0,2
140000,2013,0,8
140000,2014,0,7
140000,2015,0,3
140000,2016,0,1
140000,2018,0,1
140002,2012,0,308
140002,2013,2,307
140002,2014,0,298
140002,2015,1,339
140002,2016,2,331
140002,2017,1,355
140002,2018,6,433
140002,2019,2,446
140005,2012,4,600
140005,2013,2,601
140005,2014,1,563
140005,2015,2,550
140005,2016,5,620
140005,2017,6,526
140005,2018,3,737
140005,2019,5,711
140010,2012,59,6358
140010,2013,111,6350
140010,2014,62,6755
140010,2015,144,6719
140010,2016,205,6749
140010,2017,214,7043
140010,2018,326,8163
140010,2019,406,8936
140015,2012,4,312
140015,2013,5,327
140015,2014,0,325
140015,2015,6,355
140015,2016,5,365
140015,2017,3,377
140015,2018,7,391
140015,2019,10,470
140017,2012,1,315
140017,2013,5,335
140017,2014,1,362
140017,2015,0,327
140017,2016,1,315
140017,2017,9,352
140017,2018,12,337
140017,2019,8,385
140020,2012,4,425
140020,2013,8,424
140020,2014,6,393
140020,2015,11,414
140020,2016,13,381
140020,2017,10,407
140020,2018,16,406
140020,2019,13,445
140023,2012,6,138
140023,2013,5,151
140023,2014,4,154
140023,2015,2,139
140023,2016,4,145
140023,2017,9,183
140023,2018,9,181
140023,2019,5,204
140028,2012,5,173
140028,2013,5,147
140028,2014,5,156
140028,2015,1,169
140028,2016,7,138
140028,2017,6,154
140028,2018,7,138
140028,2019,10,185
140030,2012,7,270
140030,2013,7,351
140030,2014,2,299
140030,2015,1,341
140030,2016,9,308
140030,2017,7,309
140030,2018,13,325
140030,2019,14,372
140040,2012,0,319
140040,2013,1,381
140040,2014,1,376
140040,2015,2,442
140040,2016,1,428
140040,2017,0,415
140040,2018,2,463
140040,2019,0,489
140045,2012,0,327
140045,2013,2,351
140045,2014,0,340
140045,2015,2,361
140045,2016,6,357
140045,2017,8,380
140045,2018,5,423
140045,2019,16,556
