CODMUNRES,Ano,Qtd_Total,Pop
130426,2018,286,3875
130426,2019,351,3914
130430,2012,298,4976
130430,2013,302,4948
130430,2014,284,4911
130430,2015,272,4878
130430,2016,265,4837
130430,2017,270,4795
130430,2018,261,4753
130430,2019,318,4708
130440,2012,321,5625
130440,2013,325,5814
130440,2014,329,5995
130440,2015,282,6177
130440,2016,299,6356
130440,2017,315,6533
130440,2018,313,6710
130440,2019,321,6883
140005,2012,599,4455
140005,2013,600,4395
140005,2014,557,4338
140005,2015,545,4272
140005,2016,618,4227
140005,2017,524,4184
140005,2018,717,4140
140005,2019,698,4089
140002,2012,308,2718
140002,2013,307,2847
140002,2014,298,2978
140002,2015,337,3104
140002,2016,329,3217
140002,2017,354,3337
140002,2018,433,3460
140002,2019,436,3580
140010,2012,6358,105903
140010,2013,6350,108206
140010,2014,6754,110575
140010,2015,6718,112913
140010,2016,6749,115600
140010,2017,7041,120663
140010,2018,8161,128153
140010,2019,8934,135395
140015,2012,312,3076
140015,2013,325,3114
140015,2014,325,3151
140015,2015,355,3184
140015,2016,365,3199
140015,2017,377,3219
140015,2018,386,3234
140015,2019,470,3248
140017,2012,315,4216
140017,2013,334,4361
140017,2014,362,4505
140017,2015,327,4644
140017,2016,315,4769
140017,2017,352,4887
140017,2018,336,4996
140017,2019,385,5105
140020,2012,425,5983
140020,2013,424,6108
140020,2014,393,6232
140020,2015,413,6336
140020,2016,381,6434
140020,2017,407,6522
140020,2018,405,6610
140020,2019,445,6674
140023,2012,138,2623
140023,2013,151,2693
140023,2014,154,2767
140023,2015,139,2838
140023,2016,145,2898
140023,2017,183,2959
140023,2018,181,3011
140023,2019,204,3067
140028,2012,173,2960
140028,2013,146,3079
140028,2014,156,3203
140028,2015,169,3324
140028,2016,136,3435
140028,2017,154,3544
140028,2018,138,3645
140028,2019,185,3745
140030,2012,270,4742
140030,2013,351,4858
140030,2014,299,4980
140030,2015,340,5085
140030,2016,308,5169
140030,2017,309,5242
140030,2018,324,5307
140030,2019,372,5365
140040,2012,319,2606
140040,2013,381,2673
140040,2014,376,2743
140040,2015,442,2808
140040,2016,428,2859
140040,2017,415,2914
140040,2018,461,2965
140040,2019,488,3012
140045,2012,327,3336
140045,2013,350,3434
140045,2014,339,3537
140045,2015,360,3642
140045,2016,356,3786
140045,2017,380,4131
140045,2018,422,4694
140045,2019,556,5241
140047,2012,422,8233
140047,2013,422,8433
140047,2014,442,8640
140047,2015,527,8826
140047,2016,542,8994
140047,2017,563,9140
140047,2018,627,9268
140047,2019,567,9394
140050,2012,116,2293
140050,2013,120,2346
140050,2014,117,2402
140050,2015,117,2454
140050,2016,104,2499
140050,2017,122,2542
140050,2018,119,2583
140050,2019,131,2617
140060,2012,84,2331
140060,2013,80,2368
140060,2014,67,2407
140060,2015,91,2442
140060,2016,83,2471
140060,2017,106,2495
140060,2018,86,2517
140060,2019,107,2530
140070,2012,432,2392
140070,2013,457,2458
140070,2014,462,2527
140070,2015,518,2593
140070,2016,509,2650
140070,2017,445,2712
140070,2018,512,2775
140070,2019,616,2832
150010,2012,2530,48394
150010,2013,2538,49007
150010,2014,2703,49589
150010,2015,2660,50130
150010,2016,2532,50643
150010,2017,2713,51112
150010,2018,2671,51533
150010,2019,2623,51912
150013,2012,114,2203
150013,2013,129,2223
150013,2014,100,2239
150013,2015,143,2256
150013,2016,117,2267
150013,2017,142,2278
150013,2018,130,2287
150013,2019,132,2293
150020,2012,965,16556
150020,2013,1039,16642
150020,2014,1115,16720
150020,2015,936,16779
150020,2016,996,16832
150020,2017,992,16872
150020,2018,1013,16895
150020,2019,980,16900
150030,2012,804,10767
150030,2013,788,10964
150030,2014,806,11157
150030,2015,871,11336
150030,2016,911,11480
150030,2017,968,11613
150030,2018,1022,11735
150030,2019,1014,11845
150034,2012,163,8669
150034,2013,190,8808
150034,2014,182,8941
150034,2015,199,9072
150034,2016,163,9153
150034,2017,215,9220
150034,2018,223,9286
150034,2019,225,9344
150040,2012,1138,16150
150040,2013,1126,16365
