CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total
130060,2015,366,968
130060,2016,473,1021
130060,2017,510,1039
130060,2018,472,985
130060,2019,501,1030
130063,2012,55,427
130063,2013,16,428
130063,2014,28,488
130063,2015,33,489
130063,2016,16,510
130063,2017,12,597
130063,2018,9,501
130063,2019,11,525
130068,2012,0,260
130068,2013,1,321
130068,2014,0,328
130068,2015,0,369
130068,2016,0,312
130068,2017,0,319
130068,2018,3,318
130068,2019,2,330
130070,2012,24,741
130070,2013,18,763
130070,2014,33,734
130070,2015,23,695
130070,2016,37,653
130070,2017,35,771
130070,2018,43,739
130070,2019,52,725
130080,2012,173,690
130080,2013,129,705
130080,2014,149,711
130080,2015,180,725
130080,2016,162,663
130080,2017,209,797
130080,2018,243,789
130080,2019,223,763
130083,2012,0,138
130083,2013,0,203
130083,2014,1,204
130083,2015,1,173
130083,2016,0,183
130083,2017,0,216
130083,2018,0,188
130083,2019,0,169
130090,2012,7,213
130090,2013,2,196
130090,2014,7,231
130090,2015,2,219
130090,2016,1,217
130090,2017,3,191
130090,2018,5,222
130090,2019,10,192
130100,2012,8,656
130100,2013,11,633
130100,2014,6,658
130100,2015,6,628
130100,2016,15,625
130100,2017,10,626
130100,2018,13,636
130100,2019,11,635
130110,2012,4,414
130110,2013,4,442
130110,2014,8,474
130110,2015,10,419
130110,2016,15,481
130110,2017,8,512
130110,2018,16,550
130110,2019,6,564
130115,2012,1,171
130115,2013,4,168
130115,2014,3,208
130115,2015,4,215
130115,2016,0,199
130115,2017,7,237
130115,2018,6,275
130115,2019,6,198
130120,2012,7,1668
130120,2013,4,1750
130120,2014,5,1704
130120,2015,8,1744
130120,2016,8,1646
130120,2017,5,1656
130120,2018,10,1747
130120,2019,18,1698
130130,2012,0,432
130130,2013,1,424
130130,2014,0,426
130130,2015,0,434
130130,2016,0,404
130130,2017,1,439
130130,2018,1,429
130130,2019,5,468
130140,2012,78,833
130140,2013,99,852
130140,2014,106,852
130140,2015,107,825
130140,2016,97,787
130140,2017,114,854
130140,2018,118,830
130140,2019,107,792
130150,2012,6,314
130150,2013,42,366
130150,2014,45,386
130150,2015,37,412
130150,2016,44,369
130150,2017,42,424
130150,2018,33,369
130150,2019,41,391
130160,2012,27,520
130160,2013,19,556
130160,2014,24,606
130160,2015,46,670
130160,2016,34,573
130160,2017,35,630
130160,2018,37,621
130160,2019,23,579
130165,2012,3,360
130165,2013,0,329
130165,2014,0,356
130165,2015,1,334
130165,2016,1,284
130165,2017,1,326
130165,2018,0,293
130165,2019,5,285
130170,2012,38,847
130170,2013,44,902
130170,2014,37,970
130170,2015,34,941
130170,2016,46,977
130170,2017,44,1001
130170,2018,35,1006
130170,2019,41,978
130180,2012,43,439
130180,2013,43,407
130180,2014,62,406
130180,2015,47,441
130180,2016,45,389
130180,2017,53,409
130180,2018,29,413
130180,2019,23,376
130185,2012,1,898
130185,2013,1,849
130185,2014,0,873
130185,2015,1,867
130185,2016,0,928
130185,2017,7,941
130185,2018,8,945
130185,2019,11,1021
130190,2012,3,2019
130190,2013,2,2085
130190,2014,5,2068
130190,2015,5,2078
130190,2016,3,2028
130190,2017,8,1985
130190,2018,1,2068
130190,2019,2,2034
130195,2012,24,197
130195,2013,46,260
130195,2014,44,260
130195,2015,50,293
130195,2016,62,263
130195,2017,64,245
130195,2018,82,303
130195,2019,59,247
130200,2012,0,199
130200,2013,0,184
130200,2014,0,154
130200,2015,0,148
130200,2016,0,187
130200,2017,0,165
130200,2018,0,171
130200,2019,0,173
130210,2012,17,142
130210,2013,23,130
130210,2014,26,148
