CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total,Ratio
110143,2017,10.0,94,0.10638297872340426
110143,2018,10.0,87,0.11494252873563218
110143,2019,11.0,104,0.10576923076923077
110143,2020,14.0,87,0.16091954022988506
110145,2012,7.0,63,0.1111111111111111
110145,2013,1.0,55,0.01818181818181818
110145,2014,3.0,49,0.061224489795918366
110145,2015,4.0,54,0.07407407407407407
110145,2016,2.0,50,0.04
110145,2017,3.0,51,0.058823529411764705
110145,2018,6.0,53,0.11320754716981132
110145,2019,7.0,44,0.1590909090909091
110145,2020,4.0,59,0.06779661016949153
110146,2012,2.0,51,0.0392156862745098
110146,2013,6.0,42,0.14285714285714285
110146,2014,2.0,37,0.05405405405405406
110146,2015,3.0,52,0.057692307692307696
110146,2016,3.0,34,0.08823529411764706
110146,2017,5.0,52,0.09615384615384616
110146,2018,6.0,52,0.11538461538461539
110146,2019,2.0,40,0.05
110146,2020,3.0,39,0.07692307692307693
110147,2012,2.0,43,0.046511627906976744
110147,2013,4.0,39,0.10256410256410256
110147,2014,1.0,47,0.02127659574468085
110147,2015,7.0,40,0.175
110147,2016,1.0,56,0.017857142857142856
110147,2017,3.0,63,0.047619047619047616
110147,2018,3.0,38,0.07894736842105263
110147,2019,5.0,43,0.11627906976744186
110147,2020,5.0,38,0.13157894736842105
110148,2012,2.0,64,0.03125
110148,2013,8.0,61,0.13114754098360656
110148,2014,3.0,59,0.05084745762711865
110148,2015,8.0,73,0.1095890410958904
110148,2016,2.0,54,0.037037037037037035
110148,2017,8.0,75,0.10666666666666667
110148,2018,7.0,54,0.12962962962962962
110148,2019,8.0,54,0.14814814814814814
110148,2020,7.0,65,0.1076923076923077
110149,2012,12.0,246,0.04878048780487805
110149,2013,10.0,266,0.03759398496240601
110149,2014,20.0,308,0.06493506493506493
110149,2015,28.0,319,0.0877742946708464
110149,2016,18.0,305,0.05901639344262295
110149,2017,20.0,333,0.06006006006006006
110149,2018,24.0,327,0.07339449541284404
110149,2019,31.0,303,0.10231023102310231
110149,2020,20.0,266,0.07518796992481203
110150,2012,9.0,190,0.04736842105263158
110150,2013,4.0,184,0.021739130434782608
110150,2014,8.0,170,0.047058823529411764
110150,2015,11.0,188,0.05851063829787234
110150,2016,12.0,171,0.07017543859649122
110150,2017,12.0,188,0.06382978723404255
110150,2018,9.0,154,0.05844155844155844
110150,2019,15.0,168,0.08928571428571429
110150,2020,14.0,162,0.08641975308641975
110155,2012,3.0,57,0.05263157894736842
110155,2013,4.0,80,0.05
110155,2014,5.0,69,0.07246376811594203
110155,2015,11.0,71,0.15492957746478872
110155,2016,4.0,59,0.06779661016949153
110155,2017,5.0,58,0.08620689655172414
110155,2018,5.0,60,0.08333333333333333
110155,2019,3.0,64,0.046875
110155,2020,7.0,42,0.16666666666666666
110160,2012,5.0,133,0.03759398496240601
110160,2013,7.0,106,0.0660377358490566
110160,2014,9.0,125,0.072
110160,2015,10.0,107,0.09345794392523364
110160,2016,13.0,131,0.09923664122137404
110160,2017,18.0,146,0.1232876712328767
110160,2018,12.0,131,0.0916030534351145
110160,2019,11.0,97,0.1134020618556701
110160,2020,12.0,115,0.10434782608695652
110170,2012,10.0,146,0.0684931506849315
110170,2013,11.0,150,0.07333333333333333
110170,2014,7.0,122,0.05737704918032787
110170,2015,15.0,138,0.10869565217391304
110170,2016,12.0,151,0.07947019867549669
110170,2017,19.0,150,0.12666666666666668
110170,2018,16.0,139,0.11510791366906475
110170,2019,19.0,170,0.11176470588235295
110170,2020,18.0,143,0.1258741258741259
110175,2012,4.0,86,0.046511627906976744
110175,2013,7.0,89,0.07865168539325842
110175,2014,13.0,128,0.1015625
110175,2015,10.0,106,0.09433962264150944
110175,2016,7.0,110,0.06363636363636363
110175,2017,9.0,86,0.10465116279069768
110175,2018,7.0,91,0.07692307692307693
110175,2019,8.0,93,0.08602150537634409
110175,2020,4.0,72,0.05555555555555555
110180,2012,6.0,83,0.07228915662650602
110180,2013,8.0,107,0.07476635514018691
110180,2014,5.0,90,0.05555555555555555
110180,2015,5.0,63,0.07936507936507936
110180,2016,7.0,98,0.07142857142857142
110180,2017,8.0,79,0.10126582278481013
110180,2018,8.0,95,0.08421052631578947
110180,2019,8.0,81,0.09876543209876543
110180,2020,4.0,62,0.06451612903225806
120000,2012,0.0,1,0.0
120001,2012,13.0,253,0.05138339920948617
120001,2013,24.0,258,0.09302325581395349
120001,2014,24.0,269,0.08921933085501858
120001,2015,16.0,217,0.07373271889400922
120001,2016,14.0,222,0.06306306306306306
120001,2017,18.0,256,0.0703125
120001,2018,24.0,216,0.1111111111111111
120001,2019,34.0,257,0.13229571984435798
120001,2020,34.0,237,0.14345991561181434
120005,2012,27.0,219,0.1232876712328767
120005,2013,15.0,213,0.07042253521126761
120005,2014,20.0,196,0.10204081632653061
120005,2015,24.0,238,0.10084033613445378
120005,2016,27.0,190,0.14210526315789473
120005,2017,30.0,248,0.12096774193548387
120005,2018,35.0,264,0.13257575757575757
120005,2019,37.0,266,0.13909774436090225
120005,2020,26.0,215,0.12093023255813953
120010,2012,35.0,505,0.06930693069306931
120010,2013,37.0,530,0.06981132075471698
120010,2014,44.0,547,0.08043875685557587
120010,2015,56.0,531,0.10546139359698682
120010,2016,32.0,490,0.0653061224489796
120010,2017,50.0,570,0.08771929824561403
120010,2018,55.0,540,0.10185185185185185
120010,2019,47.0,540,0.08703703703703704
120010,2020,57.0,527,0.10815939278937381
120013,2012,15.0,198,0.07575757575757576
120013,2013,16.0,202,0.07920792079207921
120013,2014,23.0,242,0.09504132231404959
120013,2015,25.0,248,0.10080645161290322
120013,2016,28.0,248,0.11290322580645161
120013,2017,33.0,307,0.10749185667752444
120013,2018,37.0,306,0.12091503267973856
120013,2019,46.0,329,0.1398176291793313
120013,2020,23.0,241,0.0954356846473029
120017,2012,20.0,201,0.09950248756218906
120017,2013,17.0,193,0.08808290155440414
120017,2014,31.0,234,0.13247863247863248
120017,2015,24.0,219,0.1095890410958904
120017,2016,24.0,194,0.12371134020618557
120017,2017,27.0,243,0.1111111111111111
120017,2018,25.0,222,0.11261261261261261
120017,2019,28.0,217,0.12903225806451613
120017,2020,28.0,190,0.14736842105263157
120020,2012,127.0,1741,0.07294658242389432
120020,2013,137.0,1783,0.07683679192372406
120020,2014,159.0,1818,0.08745874587458746
120020,2015,179.0,1839,0.09733550842849374
120020,2016,166.0,1632,0.1017156862745098
120020,2017,196.0,1684,0.1163895486935867
120020,2018,219.0,1756,0.12471526195899772
120020,2019,215.0,1809,0.11885019347705915
120020,2020,228.0,1691,0.1348314606741573
120025,2012,21.0,282,0.07446808510638298
120025,2013,22.0,275,0.08
120025,2014,21.0,262,0.08015267175572519
120025,2015,30.0,279,0.10752688172043011
120025,2016,29.0,270,0.10740740740740741
120025,2017,23.0,291,0.07903780068728522
120025,2018,31.0,273,0.11355311355311355
120025,2019,37.0,314,0.1178343949044586
120025,2020,30.0,293,0.10238907849829351
120030,2012,93.0,904,0.10287610619469026
120030,2013,59.0,791,0.07458912768647281
120030,2014,92.0,829,0.11097708082026538
120030,2015,66.0,772,0.08549222797927461
120030,2016,94.0,834,0.11270983213429256
120030,2017,97.0,833,0.11644657863145258
120030,2018,92.0,833,0.11044417767106843
120030,2019,93.0,871,0.10677382319173363
120030,2020,83.0,789,0.10519645120405577
120032,2012,33.0,269,0.12267657992565056
120032,2013,30.0,271,0.11070110701107011
120032,2014,32.0,282,0.11347517730496454
120032,2015,25.0,273,0.09157509157509157
120032,2016,34.0,263,0.12927756653992395
120032,2017,24.0,266,0.09022556390977443
120032,2018,24.0,274,0.08759124087591241
120032,2019,18.0,218,0.08256880733944955
120032,2020,17.0,205,0.08292682926829269
120033,2012,29.0,386,0.07512953367875648
120033,2013,32.0,399,0.08020050125313283
120033,2014,36.0,413,0.08716707021791767
120033,2015,33.0,395,0.08354430379746836
120033,2016,30.0,325,0.09230769230769231
120033,2017,32.0,358,0.0893854748603352
120033,2018,30.0,367,0.08174386920980926
120033,2019,42.0,345,0.12173913043478261
120033,2020,46.0,420,0.10952380952380952
120034,2012,25.0,256,0.09765625
120034,2013,18.0,229,0.07860262008733625
120034,2014,20.0,243,0.0823045267489712
120034,2015,28.0,266,0.10526315789473684
120034,2016,23.0,236,0.09745762711864407
120034,2017,25.0,261,0.09578544061302682
120034,2018,22.0,252,0.0873015873015873
120034,2019,20.0,230,0.08695652173913043
120034,2020,28.0,280,0.1
120035,2012,50.0,474,0.10548523206751055
120035,2013,36.0,485,0.07422680412371134
120035,2014,60.0,458,0.13100436681222707
120035,2015,52.0,445,0.11685393258426967
120035,2016,40.0,352,0.11363636363636363
120035,2017,46.0,388,0.11855670103092783
120035,2018,56.0,407,0.1375921375921376
120035,2019,39.0,448,0.08705357142857142
120035,2020,47.0,334,0.1407185628742515
120038,2012,36.0,353,0.10198300283286119
120038,2013,23.0,334,0.0688622754491018
120038,2014,37.0,322,0.11490683229813664
120038,2015,33.0,350,0.09428571428571429
120038,2016,42.0,339,0.12389380530973451
120038,2017,31.0,305,0.10163934426229508
120038,2018,32.0,309,0.10355987055016182
120038,2019,44.0,318,0.13836477987421383
120038,2020,33.0,285,0.11578947368421053
120039,2012,43.0,338,0.12721893491124261
120039,2013,32.0,287,0.11149825783972125
120039,2014,33.0,250,0.132
120039,2015,22.0,262,0.08396946564885496
120039,2016,26.0,230,0.11304347826086956
120039,2017,25.0,282,0.08865248226950355
120039,2018,18.0,254,0.07086614173228346
120039,2019,28.0,270,0.1037037037037037
120039,2020,38.0,287,0.13240418118466898
120040,2012,620.0,6531,0.0949318634206094
120040,2013,707.0,7116,0.09935356942102305
120040,2014,738.0,7011,0.10526315789473684
120040,2015,809.0,6965,0.11615218951902369
120040,2016,762.0,6614,0.1152101602661022
120040,2017,844.0,6460,0.1306501547987616
120040,2018,933.0,6495,0.14364896073903002
120040,2019,910.0,6324,0.14389626818469323
120040,2020,836.0,5745,0.14551784160139253
120042,2012,29.0,390,0.07435897435897436
120042,2013,30.0,363,0.08264462809917356
120042,2014,31.0,394,0.07868020304568528
120042,2015,36.0,396,0.09090909090909091
120042,2016,30.0,304,0.09868421052631579
120042,2017,42.0,366,0.11475409836065574
120042,2018,44.0,394,0.1116751269035533
120042,2019,34.0,334,0.10179640718562874
120042,2020,37.0,347,0.10662824207492795
120043,2012,41.0,259,0.1583011583011583
120043,2013,26.0,223,0.11659192825112108
120043,2014,37.0,185,0.2
120043,2015,15.0,150,0.1
120043,2016,18.0,95,0.18947368421052632
120043,2017,21.0,198,0.10606060606060606
120043,2018,19.0,207,0.09178743961352658
120043,2019,37.0,186,0.1989247311827957
120043,2020,18.0,149,0.12080536912751678
120045,2012,29.0,396,0.07323232323232323
120045,2013,28.0,425,0.06588235294117648
120045,2014,41.0,453,0.09050772626931568
120045,2015,44.0,443,0.09932279909706546
120045,2016,41.0,410,0.1
120045,2017,49.0,395,0.1240506329113924
120045,2018,53.0,476,0.11134453781512606
120045,2019,44.0,417,0.10551558752997602
120045,2020,47.0,401,0.1172069825436409
120050,2012,73.0,929,0.07857911733046287
120050,2013,71.0,904,0.07853982300884955
120050,2014,59.0,827,0.07134220072551391
120050,2015,75.0,847,0.0885478158205431
120050,2016,80.0,762,0.10498687664041995
120050,2017,81.0,780,0.10384615384615385
120050,2018,72.0,788,0.09137055837563451
120050,2019,76.0,768,0.09895833333333333
120050,2020,77.0,668,0.11526946107784432
120060,2012,111.0,1158,0.09585492227979274
120060,2013,96.0,1138,0.0843585237258348
120060,2014,106.0,1230,0.08617886178861789
120060,2015,116.0,1165,0.09957081545064378
120060,2016,92.0,1078,0.08534322820037106
120060,2017,99.0,1132,0.08745583038869258
120060,2018,100.0,1193,0.08382229673093043
120060,2019,98.0,1143,0.0857392825896763
120060,2020,111.0,1161,0.09560723514211886
120070,2012,25.0,311,0.08038585209003216
120070,2013,28.0,294,0.09523809523809523
120070,2014,27.0,306,0.08823529411764706
120070,2015,28.0,322,0.08695652173913043
120070,2016,30.0,329,0.0911854103343465
120070,2017,29.0,305,0.09508196721311475
120070,2018,29.0,325,0.08923076923076922
120070,2019,42.0,297,0.1414141414141414
120070,2020,39.0,316,0.12341772151898735
120080,2012,28.0,346,0.08092485549132948
