CODMUNRES,ano_nasc,Qtd_Consultas_Pre_Natal,Qtd_Total,Ratio
130014,2020,42,265,0.15849056603773584
130020,2012,27,357,0.07563025210084033
130020,2013,0,354,0.0
130020,2014,53,435,0.12183908045977011
130020,2015,49,439,0.11161731207289294
130020,2016,48,380,0.12631578947368421
130020,2017,55,382,0.14397905759162305
130020,2018,60,357,0.16806722689075632
130020,2019,51,313,0.16293929712460065
130020,2020,33,280,0.11785714285714285
130030,2012,114,877,0.12998859749144812
130030,2013,0,877,0.0
130030,2014,123,955,0.12879581151832462
130030,2015,113,829,0.13630880579010857
130030,2016,128,890,0.14382022471910114
130030,2017,117,897,0.13043478260869565
130030,2018,129,948,0.1360759493670886
130030,2019,120,872,0.13761467889908258
130030,2020,118,906,0.13024282560706402
130040,2012,36,469,0.0767590618336887
130040,2013,0,480,0.0
130040,2014,49,419,0.11694510739856802
130040,2015,36,505,0.07128712871287128
130040,2016,40,496,0.08064516129032258
130040,2017,39,524,0.07442748091603053
130040,2018,37,570,0.06491228070175438
130040,2019,57,556,0.10251798561151079
130040,2020,44,497,0.08853118712273642
130050,2012,101,707,0.14285714285714285
130050,2013,0,769,0.0
130050,2014,97,756,0.1283068783068783
