CODMUNRES,ano_nasc,Qtd_Robson10,Qtd_Robson9,Qtd_Robson8,Qtd_Robson7,Qtd_Robson6,Qtd_Robson5,Qtd_Robson4,Qtd_Robson3,Qtd_Robson2,Qtd_Robson1,Qtd_cesariana,Qtd_Total
210740,2018,5.0,5.0,4.0,7.0,4.0,53.0,1.0,25.0,4.0,61.0,180.0,273
210740,2019,9.0,1.0,2.0,10.0,7.0,64.0,4.0,13.0,10.0,47.0,172.0,249
210745,2012,8.0,0.0,0.0,2.0,3.0,4.0,3.0,2.0,3.0,10.0,40.0,182
210745,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,208
210745,2014,14.0,0.0,0.0,1.0,1.0,25.0,2.0,16.0,6.0,29.0,94.0,209
210745,2015,6.0,0.0,0.0,1.0,1.0,21.0,1.0,19.0,0.0,21.0,73.0,196
210745,2016,7.0,0.0,6.0,1.0,0.0,7.0,2.0,9.0,0.0,19.0,53.0,177
210745,2017,8.0,0.0,1.0,0.0,1.0,19.0,1.0,10.0,2.0,32.0,81.0,207
210745,2018,9.0,1.0,3.0,2.0,2.0,24.0,3.0,17.0,1.0,43.0,108.0,255
210745,2019,11.0,0.0,4.0,2.0,3.0,29.0,0.0,13.0,2.0,31.0,96.0,223
210750,2012,81.0,1.0,33.0,16.0,17.0,143.0,10.0,28.0,56.0,131.0,649.0,1549
210750,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,1587
210750,2014,64.0,1.0,32.0,13.0,12.0,174.0,47.0,60.0,78.0,140.0,667.0,1682
210750,2015,83.0,1.0,17.0,17.0,18.0,234.0,30.0,101.0,85.0,203.0,827.0,1775
210750,2016,69.0,0.0,27.0,20.0,17.0,238.0,34.0,124.0,79.0,192.0,812.0,1710
210750,2017,89.0,3.0,24.0,15.0,10.0,294.0,40.0,105.0,72.0,249.0,922.0,1722
210750,2018,81.0,1.0,57.0,18.0,11.0,278.0,37.0,125.0,94.0,205.0,930.0,1775
210750,2019,112.0,1.0,28.0,18.0,11.0,314.0,46.0,117.0,120.0,209.0,986.0,1841
210760,2012,9.0,5.0,0.0,17.0,4.0,12.0,1.0,2.0,5.0,11.0,76.0,262
210760,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,280
210760,2014,1.0,1.0,0.0,5.0,6.0,13.0,0.0,6.0,2.0,14.0,55.0,288
210760,2015,6.0,0.0,2.0,2.0,0.0,6.0,1.0,4.0,2.0,4.0,65.0,309
210760,2016,6.0,0.0,3.0,2.0,3.0,9.0,1.0,4.0,3.0,10.0,104.0,311
210760,2017,6.0,0.0,0.0,8.0,2.0,6.0,1.0,4.0,5.0,8.0,108.0,316
210760,2018,4.0,0.0,0.0,4.0,5.0,9.0,0.0,6.0,2.0,7.0,111.0,306
210760,2019,5.0,0.0,0.0,7.0,2.0,19.0,2.0,7.0,6.0,6.0,135.0,310
210770,2012,18.0,1.0,0.0,5.0,4.0,41.0,1.0,6.0,6.0,54.0,152.0,284
210770,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,379
210770,2014,15.0,0.0,3.0,2.0,1.0,75.0,4.0,31.0,7.0,68.0,212.0,350
210770,2015,11.0,0.0,0.0,6.0,0.0,68.0,8.0,30.0,12.0,63.0,201.0,344
210770,2016,12.0,1.0,3.0,6.0,1.0,79.0,3.0,19.0,8.0,48.0,181.0,341
210770,2017,10.0,2.0,0.0,4.0,2.0,74.0,4.0,14.0,11.0,41.0,164.0,327
210770,2018,13.0,0.0,8.0,3.0,1.0,71.0,4.0,16.0,8.0,30.0,154.0,333
210770,2019,11.0,1.0,0.0,1.0,2.0,78.0,0.0,21.0,4.0,42.0,162.0,314
210780,2012,37.0,1.0,6.0,5.0,2.0,33.0,6.0,8.0,4.0,26.0,166.0,584
210780,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,537
210780,2014,16.0,1.0,6.0,5.0,2.0,49.0,2.0,21.0,5.0,42.0,166.0,493
210780,2015,20.0,1.0,5.0,5.0,4.0,60.0,5.0,23.0,6.0,34.0,170.0,486
210780,2016,16.0,0.0,8.0,1.0,3.0,53.0,3.0,30.0,11.0,46.0,179.0,484
210780,2017,18.0,0.0,5.0,5.0,3.0,72.0,4.0,29.0,3.0,34.0,175.0,518
210780,2018,14.0,1.0,5.0,7.0,3.0,59.0,6.0,24.0,7.0,28.0,156.0,481
210780,2019,20.0,0.0,4.0,7.0,4.0,54.0,1.0,23.0,14.0,20.0,150.0,432
210790,2012,6.0,0.0,4.0,2.0,1.0,21.0,9.0,11.0,12.0,15.0,85.0,340
210790,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,338
210790,2014,2.0,1.0,2.0,0.0,1.0,4.0,3.0,5.0,2.0,7.0,28.0,353
210790,2015,1.0,0.0,2.0,2.0,0.0,6.0,0.0,8.0,3.0,8.0,32.0,354
210790,2016,2.0,0.0,5.0,0.0,3.0,13.0,0.0,5.0,0.0,26.0,56.0,341
210790,2017,8.0,1.0,7.0,2.0,0.0,12.0,2.0,9.0,0.0,14.0,56.0,368
210790,2018,8.0,0.0,5.0,0.0,0.0,11.0,0.0,8.0,3.0,11.0,47.0,381
210790,2019,5.0,0.0,0.0,1.0,0.0,18.0,1.0,5.0,2.0,10.0,42.0,303
210800,2012,18.0,0.0,0.0,1.0,1.0,47.0,0.0,11.0,2.0,47.0,130.0,325
210800,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,319
210800,2014,11.0,0.0,4.0,1.0,2.0,46.0,5.0,15.0,2.0,38.0,130.0,329
210800,2015,14.0,1.0,1.0,3.0,0.0,49.0,2.0,30.0,2.0,35.0,140.0,305
210800,2016,7.0,0.0,1.0,1.0,0.0,42.0,2.0,34.0,1.0,19.0,108.0,318
210800,2017,9.0,0.0,2.0,0.0,0.0,46.0,3.0,42.0,1.0,12.0,117.0,324
210800,2018,8.0,0.0,0.0,1.0,0.0,57.0,4.0,35.0,2.0,21.0,130.0,353
210800,2019,5.0,0.0,0.0,1.0,1.0,48.0,5.0,26.0,4.0,31.0,131.0,302
210805,2012,8.0,8.0,2.0,0.0,1.0,13.0,3.0,6.0,8.0,19.0,70.0,340
210805,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,306
210805,2014,11.0,0.0,0.0,5.0,0.0,15.0,2.0,10.0,5.0,32.0,85.0,292
210805,2015,5.0,0.0,3.0,0.0,0.0,15.0,2.0,15.0,3.0,33.0,79.0,298
210805,2016,2.0,0.0,1.0,5.0,4.0,19.0,7.0,13.0,4.0,25.0,86.0,312
210805,2017,5.0,0.0,6.0,0.0,0.0,23.0,0.0,15.0,3.0,25.0,105.0,346
210805,2018,10.0,0.0,1.0,0.0,1.0,19.0,2.0,17.0,7.0,28.0,101.0,355
210805,2019,9.0,1.0,8.0,1.0,1.0,40.0,3.0,18.0,5.0,49.0,150.0,380
210810,2012,16.0,4.0,4.0,6.0,8.0,37.0,2.0,13.0,8.0,35.0,136.0,380
210810,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,393
210810,2014,12.0,0.0,1.0,5.0,1.0,40.0,1.0,27.0,7.0,59.0,165.0,418
210810,2015,12.0,2.0,4.0,1.0,1.0,45.0,3.0,29.0,5.0,61.0,166.0,383
210810,2016,9.0,1.0,4.0,4.0,1.0,49.0,2.0,16.0,9.0,61.0,159.0,377
210810,2017,14.0,0.0,3.0,6.0,2.0,32.0,3.0,17.0,7.0,45.0,133.0,306
210810,2018,13.0,3.0,6.0,3.0,3.0,53.0,4.0,29.0,11.0,56.0,185.0,384
210810,2019,6.0,4.0,2.0,3.0,5.0,61.0,1.0,29.0,7.0,68.0,189.0,366
210820,2012,33.0,25.0,4.0,7.0,3.0,100.0,14.0,35.0,31.0,95.0,368.0,680
210820,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,671
210820,2014,36.0,6.0,9.0,8.0,3.0,124.0,21.0,63.0,46.0,97.0,418.0,693
210820,2015,26.0,1.0,8.0,7.0,6.0,137.0,17.0,34.0,35.0,87.0,362.0,618
210820,2016,32.0,0.0,11.0,9.0,2.0,111.0,15.0,47.0,27.0,76.0,333.0,564
210820,2017,18.0,0.0,6.0,14.0,3.0,111.0,11.0,40.0,28.0,116.0,349.0,534
210820,2018,39.0,1.0,7.0,4.0,5.0,131.0,18.0,65.0,28.0,116.0,414.0,573
210820,2019,32.0,1.0,6.0,4.0,3.0,148.0,16.0,58.0,36.0,128.0,437.0,591
210825,2012,8.0,0.0,8.0,2.0,2.0,7.0,1.0,2.0,4.0,12.0,49.0,372
210825,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,291
210825,2014,13.0,3.0,5.0,1.0,2.0,10.0,1.0,5.0,1.0,11.0,59.0,287
210825,2015,6.0,0.0,4.0,2.0,4.0,12.0,0.0,5.0,4.0,15.0,57.0,237
210825,2016,6.0,1.0,6.0,2.0,0.0,13.0,2.0,3.0,3.0,11.0,50.0,210
210825,2017,9.0,1.0,5.0,5.0,3.0,16.0,6.0,4.0,5.0,18.0,72.0,339
210825,2018,7.0,0.0,0.0,4.0,3.0,27.0,1.0,11.0,13.0,21.0,88.0,383
210825,2019,4.0,2.0,4.0,3.0,0.0,17.0,6.0,16.0,9.0,28.0,89.0,415
210830,2012,6.0,1.0,2.0,4.0,3.0,18.0,1.0,2.0,4.0,11.0,65.0,637
210830,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,651
210830,2014,6.0,1.0,3.0,4.0,2.0,20.0,3.0,13.0,7.0,28.0,96.0,651
210830,2015,7.0,0.0,2.0,7.0,2.0,23.0,3.0,16.0,8.0,33.0,111.0,703
210830,2016,20.0,1.0,6.0,3.0,1.0,29.0,4.0,13.0,1.0,40.0,138.0,682
210830,2017,14.0,3.0,3.0,3.0,4.0,31.0,4.0,39.0,5.0,39.0,174.0,711
210830,2018,14.0,3.0,6.0,8.0,2.0,42.0,6.0,33.0,9.0,58.0,190.0,669
210830,2019,7.0,6.0,10.0,13.0,2.0,35.0,11.0,13.0,12.0,38.0,165.0,641
210840,2012,4.0,1.0,1.0,1.0,0.0,9.0,3.0,4.0,3.0,9.0,38.0,144
210840,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,140
210840,2014,4.0,1.0,3.0,3.0,0.0,7.0,0.0,5.0,4.0,15.0,44.0,135
210840,2015,1.0,0.0,3.0,0.0,4.0,7.0,0.0,6.0,3.0,4.0,31.0,141
210840,2016,4.0,0.0,1.0,1.0,2.0,8.0,1.0,5.0,4.0,7.0,37.0,131
210840,2017,5.0,0.0,4.0,5.0,5.0,8.0,0.0,3.0,4.0,8.0,44.0,123
210840,2018,4.0,1.0,0.0,2.0,0.0,3.0,2.0,6.0,3.0,5.0,30.0,98
210840,2019,5.0,0.0,1.0,1.0,1.0,9.0,2.0,5.0,4.0,8.0,49.0,133
210845,2012,22.0,3.0,8.0,3.0,2.0,20.0,5.0,8.0,9.0,8.0,114.0,373
210845,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,393
210845,2014,18.0,9.0,10.0,4.0,1.0,41.0,9.0,19.0,7.0,56.0,185.0,443
210845,2015,15.0,0.0,10.0,4.0,4.0,64.0,1.0,31.0,12.0,42.0,188.0,369
210845,2016,14.0,0.0,6.0,5.0,3.0,44.0,11.0,39.0,13.0,47.0,186.0,369
210845,2017,17.0,0.0,6.0,10.0,1.0,55.0,4.0,47.0,2.0,65.0,208.0,379
210845,2018,21.0,0.0,0.0,3.0,2.0,53.0,8.0,35.0,13.0,51.0,188.0,379
210845,2019,18.0,1.0,7.0,6.0,1.0,76.0,4.0,40.0,3.0,44.0,200.0,339
210850,2012,17.0,3.0,0.0,8.0,8.0,57.0,8.0,32.0,22.0,53.0,223.0,578
210850,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,520
210850,2014,14.0,2.0,3.0,5.0,8.0,70.0,7.0,37.0,8.0,97.0,264.0,605
210850,2015,15.0,0.0,3.0,5.0,8.0,57.0,6.0,31.0,10.0,76.0,222.0,544
210850,2016,13.0,1.0,6.0,1.0,2.0,70.0,5.0,32.0,7.0,74.0,213.0,568
210850,2017,9.0,3.0,6.0,9.0,3.0,66.0,11.0,43.0,21.0,63.0,239.0,533
210850,2018,9.0,3.0,0.0,10.0,11.0,76.0,6.0,36.0,5.0,69.0,237.0,490
210850,2019,14.0,17.0,8.0,5.0,4.0,82.0,5.0,52.0,7.0,80.0,280.0,530
210860,2012,58.0,1.0,14.0,18.0,14.0,95.0,7.0,44.0,64.0,103.0,438.0,1430
210860,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,1388
210860,2014,45.0,1.0,17.0,6.0,15.0,115.0,18.0,91.0,39.0,158.0,543.0,1442
210860,2015,46.0,1.0,15.0,8.0,13.0,131.0,18.0,73.0,36.0,177.0,543.0,1498
