CODMUNRES,Ano,Qtd_Morte_Materna,Qtd_Total,Ratio
110150,2017,0.0,185.0,0.0
110150,2018,0.0,156.0,0.0
110150,2019,2.0,173.0,1156.0693641618498
110155,2012,0.0,57.0,0.0
110155,2013,0.0,80.0,0.0
110155,2014,0.0,69.0,0.0
110155,2015,0.0,75.0,0.0
110155,2016,0.0,61.0,0.0
110155,2017,0.0,52.0,0.0
110155,2018,0.0,64.0,0.0
110155,2019,0.0,68.0,0.0
110160,2012,0.0,133.0,0.0
110160,2013,0.0,106.0,0.0
110160,2014,0.0,125.0,0.0
110160,2015,0.0,120.0,0.0
110160,2016,0.0,132.0,0.0
110160,2017,0.0,151.0,0.0
110160,2018,0.0,128.0,0.0
110160,2019,0.0,109.0,0.0
110170,2012,1.0,146.0,684.931506849315
110170,2013,0.0,150.0,0.0
110170,2014,0.0,122.0,0.0
110170,2015,1.0,165.0,606.060606060606
110170,2016,0.0,172.0,0.0
110170,2017,0.0,162.0,0.0
110170,2018,0.0,152.0,0.0
110170,2019,0.0,181.0,0.0
110175,2012,0.0,86.0,0.0
110175,2013,0.0,89.0,0.0
110175,2014,0.0,128.0,0.0
110175,2015,0.0,112.0,0.0
110175,2016,0.0,109.0,0.0
110175,2017,0.0,92.0,0.0
110175,2018,0.0,104.0,0.0
110175,2019,0.0,113.0,0.0
110180,2012,0.0,83.0,0.0
110180,2013,0.0,107.0,0.0
110180,2014,0.0,90.0,0.0
110180,2015,0.0,72.0,0.0
110180,2016,0.0,96.0,0.0
110180,2017,0.0,77.0,0.0
110180,2018,0.0,97.0,0.0
110180,2019,0.0,86.0,0.0
120000,2012,0.0,1.0,0.0
120001,2012,0.0,253.0,0.0
120001,2013,0.0,258.0,0.0
120001,2014,0.0,269.0,0.0
120001,2015,0.0,197.0,0.0
120001,2016,0.0,213.0,0.0
120001,2017,0.0,254.0,0.0
120001,2018,0.0,222.0,0.0
120001,2019,0.0,262.0,0.0
120005,2012,0.0,219.0,0.0
120005,2013,0.0,213.0,0.0
120005,2014,0.0,196.0,0.0
120005,2015,0.0,252.0,0.0
120005,2016,0.0,196.0,0.0
120005,2017,0.0,257.0,0.0
120005,2018,0.0,286.0,0.0
120005,2019,0.0,285.0,0.0
120010,2012,0.0,505.0,0.0
120010,2013,0.0,530.0,0.0
120010,2014,0.0,547.0,0.0
120010,2015,1.0,549.0,182.14936247723134
120010,2016,0.0,488.0,0.0
120010,2017,1.0,562.0,177.9359430604982
120010,2018,0.0,522.0,0.0
120010,2019,0.0,517.0,0.0
120013,2012,0.0,198.0,0.0
120013,2013,0.0,202.0,0.0
120013,2014,1.0,242.0,413.22314049586777
120013,2015,0.0,235.0,0.0
120013,2016,1.0,218.0,458.7155963302753
120013,2017,0.0,272.0,0.0
120013,2018,0.0,290.0,0.0
120013,2019,0.0,304.0,0.0
120017,2012,0.0,201.0,0.0
120017,2013,0.0,193.0,0.0
120017,2014,0.0,234.0,0.0
120017,2015,0.0,200.0,0.0
120017,2016,0.0,178.0,0.0
120017,2017,0.0,240.0,0.0
120017,2018,0.0,222.0,0.0
120017,2019,0.0,206.0,0.0
120020,2012,0.0,1741.0,0.0
120020,2013,2.0,1783.0,112.17049915872126
120020,2014,1.0,1818.0,55.005500550055004
120020,2015,2.0,2061.0,97.0402717127608
120020,2016,0.0,1675.0,0.0
120020,2017,1.0,1701.0,58.78894767783657
120020,2018,0.0,1768.0,0.0
120020,2019,0.0,1791.0,0.0
120025,2012,0.0,282.0,0.0
120025,2013,0.0,275.0,0.0
120025,2014,0.0,262.0,0.0
120025,2015,0.0,280.0,0.0
120025,2016,0.0,276.0,0.0
120025,2017,0.0,304.0,0.0
120025,2018,0.0,288.0,0.0
120025,2019,0.0,338.0,0.0
120030,2012,1.0,904.0,110.61946902654867
120030,2013,1.0,791.0,126.42225031605564
120030,2014,0.0,829.0,0.0
120030,2015,0.0,782.0,0.0
120030,2016,0.0,855.0,0.0
120030,2017,1.0,852.0,117.37089201877934
120030,2018,1.0,853.0,117.23329425556857
120030,2019,0.0,903.0,0.0
120032,2012,0.0,269.0,0.0
120032,2013,0.0,271.0,0.0
120032,2014,0.0,282.0,0.0
120032,2015,1.0,283.0,353.35689045936397
120032,2016,0.0,273.0,0.0
120032,2017,0.0,302.0,0.0
120032,2018,0.0,315.0,0.0
120032,2019,1.0,232.0,431.0344827586207
120033,2012,0.0,386.0,0.0
120033,2013,0.0,399.0,0.0
120033,2014,0.0,413.0,0.0
120033,2015,1.0,379.0,263.8522427440633
120033,2016,0.0,327.0,0.0
120033,2017,0.0,374.0,0.0
120033,2018,0.0,389.0,0.0
120033,2019,0.0,371.0,0.0
120034,2012,0.0,256.0,0.0
120034,2013,0.0,229.0,0.0
120034,2014,1.0,243.0,411.522633744856
120034,2015,0.0,283.0,0.0
120034,2016,1.0,258.0,387.5968992248062
120034,2017,0.0,272.0,0.0
120034,2018,0.0,283.0,0.0
120034,2019,1.0,253.0,395.2569169960474
120035,2012,0.0,474.0,0.0
120035,2013,0.0,485.0,0.0
120035,2014,0.0,458.0,0.0
120035,2015,0.0,437.0,0.0
120035,2016,1.0,374.0,267.379679144385
120035,2017,1.0,407.0,245.7002457002457
120035,2018,0.0,424.0,0.0
120035,2019,0.0,488.0,0.0
120038,2012,0.0,353.0,0.0
120038,2013,1.0,334.0,299.4011976047904
120038,2014,0.0,322.0,0.0
120038,2015,0.0,331.0,0.0
120038,2016,0.0,338.0,0.0
120038,2017,0.0,300.0,0.0
120038,2018,0.0,314.0,0.0
120038,2019,0.0,306.0,0.0
120039,2012,0.0,338.0,0.0
120039,2013,0.0,287.0,0.0
120039,2014,0.0,250.0,0.0
120039,2015,0.0,262.0,0.0
120039,2016,1.0,229.0,436.68122270742356
120039,2017,0.0,291.0,0.0
120039,2018,0.0,284.0,0.0
120039,2019,0.0,293.0,0.0
120040,2012,7.0,6531.0,107.18113612004286
120040,2013,4.0,7116.0,56.21135469364812
120040,2014,3.0,7011.0,42.78990158322636
120040,2015,3.0,7339.0,40.87750374710451
120040,2016,3.0,6909.0,43.421623968736434
120040,2017,2.0,6605.0,30.28009084027252
120040,2018,6.0,6679.0,89.83380745620602
120040,2019,4.0,6542.0,61.14338122898196
120042,2012,0.0,390.0,0.0
120042,2013,0.0,363.0,0.0
120042,2014,1.0,394.0,253.80710659898475
120042,2015,0.0,361.0,0.0
120042,2016,0.0,305.0,0.0
120042,2017,0.0,389.0,0.0
120042,2018,0.0,413.0,0.0
120042,2019,0.0,359.0,0.0
120043,2012,1.0,259.0,386.1003861003861
120043,2013,0.0,223.0,0.0
120043,2014,1.0,185.0,540.5405405405405
120043,2015,1.0,182.0,549.4505494505495
120043,2016,0.0,166.0,0.0
120043,2017,1.0,208.0,480.7692307692308
120043,2018,0.0,205.0,0.0
120043,2019,0.0,249.0,0.0
120045,2012,0.0,396.0,0.0
