CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total,Ratio
110147,2018,0.0,38,0.0
110147,2019,0.0,43,0.0
110147,2020,0.0,38,0.0
110148,2012,0.0,64,0.0
110148,2013,0.0,61,0.0
110148,2014,0.0,59,0.0
110148,2015,0.0,73,0.0
110148,2016,0.0,54,0.0
110148,2017,1.0,75,0.013333333333333334
110148,2018,0.0,54,0.0
110148,2019,0.0,54,0.0
110148,2020,0.0,65,0.0
110149,2012,0.0,246,0.0
110149,2013,2.0,266,0.007518796992481203
110149,2014,0.0,308,0.0
110149,2015,0.0,319,0.0
110149,2016,2.0,305,0.006557377049180328
110149,2017,4.0,333,0.012012012012012012
110149,2018,2.0,327,0.0061162079510703364
110149,2019,3.0,303,0.009900990099009901
110149,2020,3.0,266,0.011278195488721804
110150,2012,0.0,190,0.0
110150,2013,0.0,184,0.0
110150,2014,0.0,170,0.0
110150,2015,0.0,188,0.0
110150,2016,0.0,171,0.0
110150,2017,2.0,188,0.010638297872340425
110150,2018,0.0,154,0.0
110150,2019,2.0,168,0.011904761904761904
110150,2020,1.0,162,0.006172839506172839
110155,2012,0.0,57,0.0
110155,2013,0.0,80,0.0
110155,2014,0.0,69,0.0
110155,2015,0.0,71,0.0
110155,2016,0.0,59,0.0
110155,2017,0.0,58,0.0
110155,2018,0.0,60,0.0
110155,2019,0.0,64,0.0
110155,2020,0.0,42,0.0
110160,2012,1.0,133,0.007518796992481203
110160,2013,0.0,106,0.0
110160,2014,0.0,125,0.0
110160,2015,0.0,107,0.0
110160,2016,0.0,131,0.0
110160,2017,0.0,146,0.0
110160,2018,0.0,131,0.0
110160,2019,0.0,97,0.0
110160,2020,0.0,115,0.0
110170,2012,0.0,146,0.0
110170,2013,1.0,150,0.006666666666666667
110170,2014,0.0,122,0.0
110170,2015,0.0,138,0.0
110170,2016,0.0,151,0.0
110170,2017,0.0,150,0.0
110170,2018,0.0,139,0.0
110170,2019,0.0,170,0.0
110170,2020,0.0,143,0.0
110175,2012,0.0,86,0.0
110175,2013,0.0,89,0.0
110175,2014,0.0,128,0.0
110175,2015,0.0,106,0.0
110175,2016,0.0,110,0.0
110175,2017,0.0,86,0.0
110175,2018,0.0,91,0.0
110175,2019,0.0,93,0.0
110175,2020,0.0,72,0.0
110180,2012,0.0,83,0.0
110180,2013,0.0,107,0.0
110180,2014,0.0,90,0.0
110180,2015,0.0,63,0.0
110180,2016,0.0,98,0.0
110180,2017,0.0,79,0.0
110180,2018,0.0,95,0.0
110180,2019,0.0,81,0.0
110180,2020,0.0,62,0.0
120000,2012,0.0,1,0.0
120001,2012,0.0,253,0.0
120001,2013,0.0,258,0.0
120001,2014,0.0,269,0.0
120001,2015,0.0,217,0.0
120001,2016,1.0,222,0.0045045045045045045
120001,2017,0.0,256,0.0
120001,2018,0.0,216,0.0
120001,2019,0.0,257,0.0
120001,2020,0.0,237,0.0
120005,2012,62.0,219,0.2831050228310502
120005,2013,61.0,213,0.2863849765258216
120005,2014,55.0,196,0.28061224489795916
120005,2015,79.0,238,0.3319327731092437
120005,2016,46.0,190,0.24210526315789474
120005,2017,46.0,248,0.18548387096774194
120005,2018,30.0,264,0.11363636363636363
120005,2019,23.0,266,0.08646616541353383
120005,2020,36.0,215,0.16744186046511628
120010,2012,5.0,505,0.009900990099009901
120010,2013,7.0,530,0.013207547169811321
120010,2014,10.0,547,0.018281535648994516
120010,2015,14.0,531,0.026365348399246705
120010,2016,6.0,490,0.012244897959183673
120010,2017,8.0,570,0.014035087719298246
120010,2018,7.0,540,0.012962962962962963
120010,2019,5.0,540,0.009259259259259259
120010,2020,13.0,527,0.024667931688804556
120013,2012,0.0,198,0.0
120013,2013,0.0,202,0.0
120013,2014,0.0,242,0.0
120013,2015,0.0,248,0.0
120013,2016,0.0,248,0.0
120013,2017,0.0,307,0.0
120013,2018,1.0,306,0.0032679738562091504
120013,2019,0.0,329,0.0
120013,2020,1.0,241,0.004149377593360996
120017,2012,0.0,201,0.0
120017,2013,0.0,193,0.0
120017,2014,1.0,234,0.004273504273504274
120017,2015,0.0,219,0.0
120017,2016,0.0,194,0.0
120017,2017,0.0,243,0.0
120017,2018,0.0,222,0.0
120017,2019,0.0,217,0.0
120017,2020,0.0,190,0.0
120020,2012,33.0,1741,0.018954623779437105
120020,2013,16.0,1783,0.0089736399326977
120020,2014,36.0,1818,0.019801980198019802
120020,2015,28.0,1839,0.015225666122892877
120020,2016,32.0,1632,0.0196078431372549
120020,2017,48.0,1684,0.028503562945368172
120020,2018,29.0,1756,0.01651480637813212
120020,2019,18.0,1809,0.009950248756218905
120020,2020,14.0,1691,0.00827912477823773
120025,2012,0.0,282,0.0
120025,2013,0.0,275,0.0
120025,2014,3.0,262,0.011450381679389313
120025,2015,3.0,279,0.010752688172043012
120025,2016,0.0,270,0.0
120025,2017,0.0,291,0.0
120025,2018,0.0,273,0.0
120025,2019,0.0,314,0.0
120025,2020,0.0,293,0.0
120030,2012,122.0,904,0.13495575221238937
120030,2013,103.0,791,0.1302149178255373
120030,2014,127.0,829,0.15319662243667068
120030,2015,114.0,772,0.14766839378238342
120030,2016,136.0,834,0.1630695443645084
120030,2017,142.0,833,0.17046818727490998
120030,2018,145.0,833,0.17406962785114047
120030,2019,141.0,871,0.1618828932261768
120030,2020,71.0,789,0.08998732572877059
120032,2012,143.0,269,0.5315985130111525
120032,2013,156.0,271,0.5756457564575646
120032,2014,138.0,282,0.48936170212765956
120032,2015,156.0,273,0.5714285714285714
120032,2016,140.0,263,0.532319391634981
120032,2017,152.0,266,0.5714285714285714
120032,2018,145.0,274,0.5291970802919708
120032,2019,122.0,218,0.5596330275229358
120032,2020,99.0,205,0.48292682926829267
120033,2012,19.0,386,0.04922279792746114
120033,2013,24.0,399,0.06015037593984962
120033,2014,17.0,413,0.04116222760290557
120033,2015,22.0,395,0.05569620253164557
120033,2016,26.0,325,0.08
120033,2017,17.0,358,0.04748603351955307
120033,2018,18.0,367,0.04904632152588556
120033,2019,15.0,345,0.043478260869565216
120033,2020,26.0,420,0.06190476190476191
120034,2012,27.0,256,0.10546875
120034,2013,27.0,229,0.11790393013100436
120034,2014,32.0,243,0.13168724279835392
120034,2015,40.0,266,0.15037593984962405
120034,2016,18.0,236,0.07627118644067797
120034,2017,40.0,261,0.1532567049808429
120034,2018,34.0,252,0.1349206349206349
120034,2019,16.0,230,0.06956521739130435
120034,2020,46.0,280,0.16428571428571428
120035,2012,80.0,474,0.16877637130801687
120035,2013,59.0,485,0.12164948453608247
120035,2014,87.0,458,0.18995633187772926
120035,2015,88.0,445,0.19775280898876405
120035,2016,80.0,352,0.22727272727272727
120035,2017,69.0,388,0.17783505154639176
120035,2018,92.0,407,0.22604422604422605
120035,2019,102.0,448,0.22767857142857142
120035,2020,41.0,334,0.12275449101796407
120038,2012,0.0,353,0.0
120038,2013,0.0,334,0.0
120038,2014,0.0,322,0.0
120038,2015,1.0,350,0.002857142857142857
120038,2016,1.0,339,0.0029498525073746312
120038,2017,0.0,305,0.0
120038,2018,1.0,309,0.003236245954692557
120038,2019,1.0,318,0.0031446540880503146
120038,2020,1.0,285,0.0035087719298245615
120039,2012,12.0,338,0.03550295857988166
120039,2013,27.0,287,0.09407665505226481
120039,2014,10.0,250,0.04
120039,2015,14.0,262,0.05343511450381679
120039,2016,9.0,230,0.0391304347826087
120039,2017,21.0,282,0.07446808510638298
120039,2018,13.0,254,0.051181102362204724
120039,2019,17.0,270,0.06296296296296296
120039,2020,16.0,287,0.05574912891986063
120040,2012,15.0,6531,0.0022967386311437757
120040,2013,11.0,7116,0.0015458122540753232
120040,2014,29.0,7011,0.004136357153045215
120040,2015,19.0,6965,0.0027279253409906675
120040,2016,21.0,6614,0.0031750831569398244
120040,2017,20.0,6460,0.0030959752321981426
120040,2018,25.0,6495,0.003849114703618168
120040,2019,19.0,6324,0.003004427577482606
120040,2020,33.0,5745,0.005744125326370757
120042,2012,2.0,390,0.005128205128205128
120042,2013,3.0,363,0.008264462809917356
120042,2014,4.0,394,0.01015228426395939
120042,2015,5.0,396,0.012626262626262626
120042,2016,4.0,304,0.013157894736842105
120042,2017,4.0,366,0.01092896174863388
120042,2018,7.0,394,0.017766497461928935
120042,2019,4.0,334,0.011976047904191617
120042,2020,2.0,347,0.005763688760806916
120043,2012,211.0,259,0.8146718146718147
120043,2013,172.0,223,0.7713004484304933
120043,2014,137.0,185,0.7405405405405405
120043,2015,109.0,150,0.7266666666666667
120043,2016,43.0,95,0.45263157894736844
120043,2017,124.0,198,0.6262626262626263
120043,2018,150.0,207,0.7246376811594203
120043,2019,129.0,186,0.6935483870967742
120043,2020,87.0,149,0.5838926174496645
120045,2012,2.0,396,0.005050505050505051
120045,2013,0.0,425,0.0
120045,2014,0.0,453,0.0
120045,2015,3.0,443,0.006772009029345372
120045,2016,1.0,410,0.0024390243902439024
120045,2017,0.0,395,0.0
120045,2018,1.0,476,0.0021008403361344537
120045,2019,0.0,417,0.0
120045,2020,2.0,401,0.004987531172069825
120050,2012,20.0,929,0.021528525296017224
120050,2013,50.0,904,0.05530973451327434
120050,2014,38.0,827,0.045949214026602174
120050,2015,33.0,847,0.03896103896103896
120050,2016,20.0,762,0.026246719160104987
120050,2017,22.0,780,0.028205128205128206
120050,2018,13.0,788,0.01649746192893401
120050,2019,11.0,768,0.014322916666666666
120050,2020,12.0,668,0.017964071856287425
