CODMUNRES,Ano,OICFSI,OISFSI,ONI,Total,Indicador
110018,2015,15,0,0,15,100.0
110018,2016,12,0,0,12,100.0
110018,2017,13,0,0,13,100.0
110018,2018,19,0,0,19,100.0
110018,2019,13,0,0,13,100.0
110018,2020,9,0,0,9,100.0
110020,2012,135,2,50,187,73.2620320855615
110020,2013,141,1,34,176,80.68181818181817
110020,2014,162,1,22,185,88.10810810810811
110020,2015,120,0,47,167,71.8562874251497
110020,2016,150,0,31,181,82.87292817679558
110020,2017,166,0,1,167,99.40119760479041
110020,2018,135,1,6,142,95.77464788732394
110020,2019,143,2,5,150,96.66666666666667
110020,2020,206,0,14,220,93.63636363636364
110025,2012,3,0,4,7,42.857142857142854
110025,2013,2,0,4,6,33.33333333333333
110025,2014,8,0,3,11,72.72727272727273
110025,2015,9,0,0,9,100.0
110025,2016,6,0,0,6,100.0
110025,2017,8,0,0,8,100.0
110025,2018,5,0,0,5,100.0
110025,2019,7,0,0,7,100.0
110025,2020,6,0,0,6,100.0
110026,2012,3,0,0,3,100.0
110026,2013,1,0,0,1,100.0
110026,2014,0,0,1,1,0.0
110026,2016,1,0,1,2,50.0
110026,2017,1,0,0,1,100.0
110026,2018,1,0,0,1,100.0
110026,2020,2,0,0,2,100.0
110028,2012,15,0,0,15,100.0
110028,2013,18,0,0,18,100.0
110028,2014,18,0,1,19,94.73684210526315
110028,2015,18,0,0,18,100.0
110028,2016,19,0,0,19,100.0
110028,2017,18,0,0,18,100.0
110028,2018,14,0,0,14,100.0
110028,2019,18,0,0,18,100.0
110028,2020,15,0,0,15,100.0
110029,2012,4,0,0,4,100.0
110029,2013,3,0,0,3,100.0
110029,2014,4,0,0,4,100.0
110029,2015,1,0,0,1,100.0
110029,2016,1,0,0,1,100.0
110029,2018,2,0,0,2,100.0
110029,2019,2,0,2,4,50.0
110029,2020,1,0,2,3,33.33333333333333
110030,2012,27,0,0,27,100.0
110030,2013,27,0,0,27,100.0
110030,2014,29,0,0,29,100.0
110030,2015,20,0,0,20,100.0
110030,2016,19,0,0,19,100.0
110030,2017,30,0,0,30,100.0
110030,2018,34,0,0,34,100.0
110030,2019,20,0,0,20,100.0
110030,2020,39,0,1,40,97.5
110032,2012,7,0,0,7,100.0
110032,2013,3,0,0,3,100.0
110032,2014,3,0,0,3,100.0
110032,2015,8,0,0,8,100.0
110032,2016,6,0,0,6,100.0
110032,2017,6,0,0,6,100.0
110032,2018,6,0,0,6,100.0
110032,2019,2,0,0,2,100.0
110032,2020,4,0,1,5,80.0
