CODMUNRES,ano_nasc,Qtd_2Parto,Qtd_Total,Ratio
110045,2016,483.0,624,0.7740384615384616
110045,2017,504.0,632,0.7974683544303798
110045,2018,493.0,617,0.7990275526742301
110045,2019,430.0,583,0.7375643224699828
110050,2012,103.0,125,0.824
110050,2013,109.0,122,0.8934426229508197
110050,2014,82.0,93,0.8817204301075269
110050,2015,95.0,109,0.8715596330275229
110050,2016,85.0,95,0.8947368421052632
110050,2017,82.0,91,0.9010989010989011
110050,2018,97.0,111,0.8738738738738738
110050,2019,88.0,98,0.8979591836734694
110060,2012,48.0,61,0.7868852459016393
110060,2013,48.0,63,0.7619047619047619
110060,2014,45.0,58,0.7758620689655172
110060,2015,53.0,72,0.7361111111111112
110060,2016,52.0,67,0.7761194029850746
110060,2017,53.0,71,0.7464788732394366
110060,2018,57.0,80,0.7125
110060,2019,56.0,75,0.7466666666666667
110070,2012,123.0,164,0.75
110070,2013,144.0,183,0.7868852459016393
110070,2014,148.0,181,0.8176795580110497
110070,2015,131.0,156,0.8397435897435898
110070,2016,125.0,162,0.7716049382716049
110070,2017,135.0,174,0.7758620689655172
110070,2018,152.0,195,0.7794871794871795
110070,2019,126.0,166,0.7590361445783133
110080,2012,199.0,430,0.4627906976744186
110080,2013,190.0,405,0.4691358024691358
110080,2014,147.0,296,0.4966216216216216
110080,2015,167.0,323,0.5170278637770898
110080,2016,153.0,372,0.4112903225806452
110080,2017,169.0,397,0.4256926952141058
110080,2018,206.0,421,0.48931116389548696
110080,2019,164.0,337,0.486646884272997
110090,2012,43.0,53,0.8113207547169812
110090,2013,28.0,36,0.7777777777777778
110090,2014,40.0,46,0.8695652173913043
110090,2015,41.0,52,0.7884615384615384
110090,2016,48.0,55,0.8727272727272727
110090,2017,34.0,39,0.8717948717948718
110090,2018,51.0,56,0.9107142857142857
110090,2019,24.0,32,0.75
110092,2012,83.0,118,0.7033898305084746
110092,2013,120.0,158,0.759493670886076
110092,2014,127.0,158,0.8037974683544303
110092,2015,111.0,154,0.7207792207792207
110092,2016,126.0,153,0.8235294117647058
110092,2017,128.0,169,0.757396449704142
110092,2018,115.0,181,0.6353591160220995
110092,2019,110.0,162,0.6790123456790124
110094,2012,90.0,161,0.5590062111801242
110094,2013,117.0,203,0.5763546798029556
110094,2014,148.0,240,0.6166666666666667
110094,2015,181.0,274,0.6605839416058394
110094,2016,149.0,241,0.6182572614107884
110094,2017,130.0,209,0.6220095693779905
110094,2018,140.0,229,0.611353711790393
110094,2019,117.0,205,0.5707317073170731
110100,2012,91.0,133,0.6842105263157895
110100,2013,82.0,116,0.7068965517241379
110100,2014,96.0,124,0.7741935483870968
110100,2015,101.0,132,0.7651515151515151
110100,2016,78.0,112,0.6964285714285714
110100,2017,81.0,109,0.7431192660550459
110100,2018,100.0,133,0.7518796992481203
110100,2019,76.0,112,0.6785714285714286
110110,2012,48.0,114,0.42105263157894735
110110,2013,55.0,123,0.44715447154471544
110110,2014,46.0,97,0.4742268041237113
110110,2015,52.0,112,0.4642857142857143
110110,2016,61.0,129,0.4728682170542636
