CODMUNRES,ano_nasc,Qtd_mais_de_3parto,Qtd_Total,Ratio
110040,2017,1.0,242,0.004132231404958678
110040,2018,8.0,219,0.0365296803652968
110040,2019,9.0,226,0.03982300884955752
110040,2020,12.0,218,0.05504587155963303
110045,2012,20.0,555,0.036036036036036036
110045,2013,15.0,598,0.02508361204013378
110045,2014,14.0,620,0.02258064516129032
110045,2015,12.0,608,0.019736842105263157
110045,2016,12.0,624,0.019230769230769232
110045,2017,11.0,632,0.01740506329113924
110045,2018,10.0,617,0.01620745542949757
110045,2019,13.0,583,0.022298456260720412
110045,2020,12.0,508,0.023622047244094488
110050,2012,4.0,125,0.032
110050,2013,3.0,122,0.02459016393442623
110050,2014,0.0,93,0.0
110050,2015,1.0,109,0.009174311926605505
110050,2016,5.0,95,0.05263157894736842
110050,2017,3.0,91,0.03296703296703297
110050,2018,0.0,111,0.0
110050,2019,1.0,98,0.01020408163265306
110050,2020,1.0,78,0.01282051282051282
110060,2012,3.0,61,0.04918032786885246
110060,2013,3.0,63,0.047619047619047616
110060,2014,4.0,58,0.06896551724137931
110060,2015,1.0,72,0.013888888888888888
110060,2016,0.0,67,0.0
110060,2017,1.0,71,0.014084507042253521
110060,2018,3.0,80,0.0375
110060,2019,1.0,75,0.013333333333333334
110060,2020,0.0,70,0.0
110070,2012,10.0,164,0.06097560975609756
110070,2013,6.0,183,0.03278688524590164
110070,2014,11.0,181,0.06077348066298342
110070,2015,3.0,156,0.019230769230769232
110070,2016,3.0,162,0.018518518518518517
110070,2017,5.0,174,0.028735632183908046
110070,2018,13.0,195,0.06666666666666667
110070,2019,5.0,166,0.030120481927710843
110070,2020,5.0,173,0.028901734104046242
110080,2012,43.0,430,0.1
110080,2013,35.0,405,0.08641975308641975
110080,2014,23.0,296,0.0777027027027027
110080,2015,28.0,323,0.08668730650154799
110080,2016,34.0,372,0.0913978494623656
110080,2017,19.0,397,0.04785894206549118
110080,2018,23.0,421,0.05463182897862233
110080,2019,27.0,337,0.08011869436201781
110080,2020,23.0,344,0.06686046511627906
110090,2012,2.0,53,0.03773584905660377
110090,2013,0.0,36,0.0
110090,2014,0.0,46,0.0
110090,2015,0.0,52,0.0
110090,2016,1.0,55,0.01818181818181818
110090,2017,1.0,39,0.02564102564102564
110090,2018,3.0,56,0.05357142857142857
110090,2019,1.0,32,0.03125
110090,2020,0.0,37,0.0
110092,2012,7.0,118,0.059322033898305086
110092,2013,12.0,158,0.0759493670886076
110092,2014,10.0,158,0.06329113924050633
110092,2015,11.0,154,0.07142857142857142
110092,2016,9.0,153,0.058823529411764705
110092,2017,6.0,169,0.03550295857988166
110092,2018,11.0,181,0.06077348066298342
110092,2019,6.0,162,0.037037037037037035
110092,2020,4.0,162,0.024691358024691357
110094,2012,13.0,161,0.08074534161490683
110094,2013,9.0,203,0.04433497536945813
110094,2014,14.0,240,0.058333333333333334
110094,2015,16.0,274,0.058394160583941604
110094,2016,12.0,241,0.04979253112033195
110094,2017,9.0,209,0.0430622009569378
110094,2018,7.0,229,0.03056768558951965
110094,2019,9.0,205,0.04390243902439024
110094,2020,10.0,246,0.04065040650406504
110100,2012,5.0,133,0.03759398496240601
110100,2013,4.0,116,0.034482758620689655
110100,2014,8.0,124,0.06451612903225806
110100,2015,2.0,132,0.015151515151515152
110100,2016,3.0,112,0.026785714285714284
110100,2017,1.0,109,0.009174311926605505
110100,2018,4.0,133,0.03007518796992481
110100,2019,1.0,112,0.008928571428571428
110100,2020,4.0,86,0.046511627906976744
110110,2012,7.0,114,0.06140350877192982
110110,2013,9.0,123,0.07317073170731707
110110,2014,9.0,97,0.09278350515463918
110110,2015,5.0,112,0.044642857142857144
110110,2016,8.0,129,0.06201550387596899
110110,2017,2.0,95,0.021052631578947368
110110,2018,5.0,92,0.05434782608695652
110110,2019,7.0,109,0.06422018348623854
110110,2020,5.0,119,0.04201680672268908
110120,2012,7.0,100,0.07
110120,2013,5.0,104,0.04807692307692308
110120,2014,4.0,107,0.037383177570093455
110120,2015,2.0,93,0.021505376344086023
110120,2016,6.0,93,0.06451612903225806
110120,2017,2.0,100,0.02
110120,2018,1.0,92,0.010869565217391304
110120,2019,4.0,84,0.047619047619047616
110120,2020,0.0,74,0.0
110130,2012,6.0,148,0.04054054054054054
110130,2013,3.0,122,0.02459016393442623
110130,2014,8.0,137,0.058394160583941604
110130,2015,6.0,179,0.0335195530726257
110130,2016,6.0,148,0.04054054054054054
110130,2017,3.0,156,0.019230769230769232
110130,2018,6.0,160,0.0375
110130,2019,3.0,164,0.018292682926829267
110130,2020,6.0,168,0.03571428571428571
110140,2012,12.0,170,0.07058823529411765
110140,2013,13.0,223,0.05829596412556054
110140,2014,10.0,204,0.049019607843137254
110140,2015,4.0,240,0.016666666666666666
110140,2016,4.0,173,0.023121387283236993
110140,2017,7.0,200,0.035
110140,2018,3.0,220,0.013636363636363636
110140,2019,5.0,199,0.02512562814070352
110140,2020,4.0,167,0.023952095808383235
110143,2012,2.0,99,0.020202020202020204
110143,2013,1.0,82,0.012195121951219513
110143,2014,1.0,110,0.00909090909090909
110143,2015,2.0,73,0.0273972602739726
110143,2016,0.0,90,0.0
110143,2017,0.0,94,0.0
110143,2018,1.0,87,0.011494252873563218
110143,2019,3.0,104,0.028846153846153848
110143,2020,2.0,87,0.022988505747126436
110145,2012,3.0,63,0.047619047619047616
110145,2013,2.0,55,0.03636363636363636
110145,2014,1.0,49,0.02040816326530612
110145,2015,0.0,54,0.0
110145,2016,1.0,50,0.02
110145,2017,2.0,51,0.0392156862745098
110145,2018,1.0,53,0.018867924528301886
110145,2019,1.0,44,0.022727272727272728
110145,2020,2.0,59,0.03389830508474576
110146,2012,2.0,51,0.0392156862745098
110146,2013,3.0,42,0.07142857142857142
110146,2014,1.0,37,0.02702702702702703
110146,2015,3.0,52,0.057692307692307696
110146,2016,3.0,34,0.08823529411764706
110146,2017,3.0,52,0.057692307692307696
110146,2018,7.0,52,0.1346153846153846
110146,2019,4.0,40,0.1
110146,2020,4.0,39,0.10256410256410256
110147,2012,0.0,43,0.0
110147,2013,0.0,39,0.0
110147,2014,0.0,47,0.0
110147,2015,0.0,40,0.0
110147,2016,0.0,56,0.0
110147,2017,0.0,63,0.0
110147,2018,0.0,38,0.0
110147,2019,1.0,43,0.023255813953488372
110147,2020,0.0,38,0.0
110148,2012,0.0,64,0.0
110148,2013,2.0,61,0.03278688524590164
110148,2014,2.0,59,0.03389830508474576
110148,2015,2.0,73,0.0273972602739726
110148,2016,2.0,54,0.037037037037037035
110148,2017,1.0,75,0.013333333333333334
110148,2018,0.0,54,0.0
110148,2019,1.0,54,0.018518518518518517
110148,2020,1.0,65,0.015384615384615385
110149,2012,10.0,246,0.04065040650406504
110149,2013,17.0,266,0.06390977443609022
110149,2014,22.0,308,0.07142857142857142
110149,2015,15.0,319,0.047021943573667714
110149,2016,17.0,305,0.05573770491803279
110149,2017,13.0,333,0.03903903903903904
110149,2018,5.0,327,0.01529051987767584
110149,2019,13.0,303,0.0429042904290429
110149,2020,8.0,266,0.03007518796992481
110150,2012,8.0,190,0.042105263157894736
110150,2013,5.0,184,0.02717391304347826
110150,2014,3.0,170,0.01764705882352941
110150,2015,4.0,188,0.02127659574468085
110150,2016,3.0,171,0.017543859649122806
110150,2017,8.0,188,0.0425531914893617
110150,2018,5.0,154,0.032467532467532464
110150,2019,4.0,168,0.023809523809523808
110150,2020,10.0,162,0.06172839506172839
110155,2012,1.0,57,0.017543859649122806
110155,2013,5.0,80,0.0625
110155,2014,1.0,69,0.014492753623188406
110155,2015,3.0,71,0.04225352112676056
110155,2016,1.0,59,0.01694915254237288
110155,2017,0.0,58,0.0
110155,2018,2.0,60,0.03333333333333333
110155,2019,1.0,64,0.015625
110155,2020,1.0,42,0.023809523809523808
110160,2012,3.0,133,0.022556390977443608
110160,2013,7.0,106,0.0660377358490566
110160,2014,4.0,125,0.032
110160,2015,7.0,107,0.06542056074766354
110160,2016,2.0,131,0.015267175572519083
110160,2017,3.0,146,0.02054794520547945
110160,2018,6.0,131,0.04580152671755725
110160,2019,2.0,97,0.020618556701030927
110160,2020,4.0,115,0.034782608695652174
110170,2012,4.0,146,0.0273972602739726
110170,2013,1.0,150,0.006666666666666667
110170,2014,4.0,122,0.03278688524590164
110170,2015,2.0,138,0.014492753623188406
110170,2016,0.0,151,0.0
110170,2017,4.0,150,0.02666666666666667
110170,2018,4.0,139,0.02877697841726619
110170,2019,3.0,170,0.01764705882352941
110170,2020,4.0,143,0.027972027972027972
110175,2012,4.0,86,0.046511627906976744
110175,2013,4.0,89,0.0449438202247191
110175,2014,8.0,128,0.0625
110175,2015,2.0,106,0.018867924528301886
110175,2016,6.0,110,0.05454545454545454
110175,2017,5.0,86,0.05813953488372093
110175,2018,3.0,91,0.03296703296703297
110175,2019,4.0,93,0.043010752688172046
110175,2020,3.0,72,0.041666666666666664
110180,2012,1.0,83,0.012048192771084338
110180,2013,2.0,107,0.018691588785046728
110180,2014,2.0,90,0.022222222222222223
110180,2015,1.0,63,0.015873015873015872
110180,2016,4.0,98,0.04081632653061224
110180,2017,2.0,79,0.02531645569620253
110180,2018,5.0,95,0.05263157894736842
110180,2019,2.0,81,0.024691358024691357
110180,2020,0.0,62,0.0
120000,2012,0.0,1,0.0
120001,2012,31.0,253,0.1225296442687747
120001,2013,33.0,258,0.12790697674418605
120001,2014,33.0,269,0.12267657992565056
120001,2015,25.0,217,0.1152073732718894
120001,2016,18.0,222,0.08108108108108109
120001,2017,27.0,256,0.10546875
120001,2018,22.0,216,0.10185185185185185
120001,2019,23.0,257,0.08949416342412451
120001,2020,20.0,237,0.08438818565400844
120005,2012,38.0,219,0.1735159817351598
120005,2013,31.0,213,0.14553990610328638
120005,2014,31.0,196,0.15816326530612246
120005,2015,47.0,238,0.19747899159663865
120005,2016,39.0,190,0.20526315789473684
120005,2017,31.0,248,0.125
120005,2018,28.0,264,0.10606060606060606
120005,2019,23.0,266,0.08646616541353383
120005,2020,27.0,215,0.12558139534883722
120010,2012,60.0,505,0.1188118811881188
120010,2013,49.0,530,0.09245283018867924
120010,2014,47.0,547,0.08592321755027423
120010,2015,46.0,531,0.08662900188323917
120010,2016,50.0,490,0.10204081632653061
120010,2017,49.0,570,0.08596491228070176
120010,2018,43.0,540,0.07962962962962963
120010,2019,32.0,540,0.05925925925925926
120010,2020,36.0,527,0.0683111954459203
120013,2012,28.0,198,0.1414141414141414
120013,2013,22.0,202,0.10891089108910891
120013,2014,29.0,242,0.11983471074380166
120013,2015,34.0,248,0.13709677419354838
120013,2016,39.0,248,0.15725806451612903
120013,2017,46.0,307,0.1498371335504886
120013,2018,53.0,306,0.17320261437908496
120013,2019,46.0,329,0.1398176291793313
120013,2020,28.0,241,0.11618257261410789
120017,2012,36.0,201,0.1791044776119403
120017,2013,21.0,193,0.10880829015544041
120017,2014,39.0,234,0.16666666666666666
120017,2015,21.0,219,0.0958904109589041
120017,2016,35.0,194,0.18041237113402062
120017,2017,40.0,243,0.1646090534979424
120017,2018,31.0,222,0.13963963963963963
120017,2019,28.0,217,0.12903225806451613
120017,2020,25.0,190,0.13157894736842105
120020,2012,284.0,1741,0.16312464101091326
120020,2013,273.0,1783,0.1531127313516545
120020,2014,270.0,1818,0.1485148514851485
120020,2015,236.0,1839,0.12833061446438282
120020,2016,192.0,1632,0.11764705882352941
120020,2017,197.0,1684,0.1169833729216152
120020,2018,204.0,1756,0.11617312072892938
120020,2019,201.0,1809,0.1111111111111111
120020,2020,183.0,1691,0.10821998817267889
120025,2012,21.0,282,0.07446808510638298
120025,2013,28.0,275,0.10181818181818182
120025,2014,25.0,262,0.09541984732824428
120025,2015,22.0,279,0.07885304659498207
120025,2016,32.0,270,0.11851851851851852
120025,2017,28.0,291,0.09621993127147767
120025,2018,17.0,273,0.06227106227106227
120025,2019,23.0,314,0.0732484076433121
120025,2020,25.0,293,0.08532423208191127
120030,2012,294.0,904,0.3252212389380531
120030,2013,221.0,791,0.27939317319848295
120030,2014,278.0,829,0.3353437876960193
120030,2015,211.0,772,0.27331606217616583
120030,2016,213.0,834,0.25539568345323743
120030,2017,225.0,833,0.27010804321728693
120030,2018,190.0,833,0.22809123649459784
120030,2019,179.0,871,0.20551090700344432
120030,2020,147.0,789,0.18631178707224336
120032,2012,104.0,269,0.38661710037174724
120032,2013,96.0,271,0.35424354243542433
120032,2014,95.0,282,0.33687943262411346
120032,2015,85.0,273,0.31135531135531136
120032,2016,103.0,263,0.3916349809885932
120032,2017,93.0,266,0.34962406015037595
120032,2018,79.0,274,0.28832116788321166
120032,2019,48.0,218,0.22018348623853212
120032,2020,46.0,205,0.22439024390243903
120033,2012,92.0,386,0.23834196891191708
120033,2013,83.0,399,0.20802005012531327
120033,2014,71.0,413,0.17191283292978207
120033,2015,67.0,395,0.16962025316455695
120033,2016,47.0,325,0.14461538461538462
120033,2017,64.0,358,0.1787709497206704
120033,2018,43.0,367,0.11716621253405994
120033,2019,51.0,345,0.14782608695652175
120033,2020,54.0,420,0.12857142857142856
120034,2012,67.0,256,0.26171875
120034,2013,46.0,229,0.20087336244541484
120034,2014,60.0,243,0.24691358024691357
120034,2015,55.0,266,0.20676691729323307
120034,2016,61.0,236,0.2584745762711864
120034,2017,59.0,261,0.2260536398467433
120034,2018,49.0,252,0.19444444444444445
120034,2019,51.0,230,0.2217391304347826
120034,2020,53.0,280,0.18928571428571428
120035,2012,153.0,474,0.3227848101265823
120035,2013,137.0,485,0.2824742268041237
120035,2014,137.0,458,0.29912663755458513
120035,2015,119.0,445,0.26741573033707866
120035,2016,85.0,352,0.24147727272727273
120035,2017,78.0,388,0.20103092783505155
120035,2018,89.0,407,0.21867321867321868
120035,2019,80.0,448,0.17857142857142858
120035,2020,67.0,334,0.20059880239520958
120038,2012,50.0,353,0.141643059490085
120038,2013,43.0,334,0.12874251497005987
120038,2014,46.0,322,0.14285714285714285
120038,2015,50.0,350,0.14285714285714285
120038,2016,51.0,339,0.1504424778761062
120038,2017,42.0,305,0.1377049180327869
120038,2018,38.0,309,0.12297734627831715
120038,2019,31.0,318,0.09748427672955975
120038,2020,31.0,285,0.10877192982456141
120039,2012,117.0,338,0.34615384615384615
120039,2013,114.0,287,0.397212543554007
120039,2014,97.0,250,0.388
120039,2015,79.0,262,0.3015267175572519
120039,2016,46.0,230,0.2
120039,2017,68.0,282,0.24113475177304963
120039,2018,53.0,254,0.20866141732283464
120039,2019,46.0,270,0.17037037037037037
120039,2020,59.0,287,0.20557491289198607
120040,2012,537.0,6531,0.08222324299494717
120040,2013,477.0,7116,0.06703204047217538
120040,2014,582.0,7011,0.08301240907145914
120040,2015,629.0,6965,0.09030868628858578
120040,2016,676.0,6614,0.1022074387662534
120040,2017,583.0,6460,0.09024767801857585
120040,2018,555.0,6495,0.08545034642032333
120040,2019,496.0,6324,0.0784313725490196
120040,2020,403.0,5745,0.070147954743255
120042,2012,104.0,390,0.26666666666666666
120042,2013,93.0,363,0.256198347107438
120042,2014,99.0,394,0.2512690355329949
120042,2015,101.0,396,0.255050505050505
120042,2016,66.0,304,0.21710526315789475
120042,2017,72.0,366,0.19672131147540983
120042,2018,81.0,394,0.20558375634517767
120042,2019,55.0,334,0.16467065868263472
