CODMUNRES,ano_nasc,Qtd_Nascimentos_Prematuros,Qtd_Total,Ratio
110147,2020,3.0,38,0.07894736842105263
110148,2012,1.0,64,0.015625
110148,2013,4.0,61,0.06557377049180328
110148,2014,4.0,59,0.06779661016949153
110148,2015,10.0,73,0.136986301369863
110148,2016,5.0,54,0.09259259259259259
110148,2017,9.0,75,0.12
110148,2018,4.0,54,0.07407407407407407
110148,2019,5.0,54,0.09259259259259259
110148,2020,3.0,65,0.046153846153846156
110149,2012,16.0,246,0.06504065040650407
110149,2013,15.0,266,0.05639097744360902
110149,2014,25.0,308,0.08116883116883117
110149,2015,27.0,319,0.08463949843260188
110149,2016,23.0,305,0.07540983606557378
110149,2017,18.0,333,0.05405405405405406
110149,2018,41.0,327,0.12538226299694188
110149,2019,24.0,303,0.07920792079207921
110149,2020,21.0,266,0.07894736842105263
110150,2012,10.0,190,0.05263157894736842
110150,2013,18.0,184,0.09782608695652174
110150,2014,16.0,170,0.09411764705882353
110150,2015,10.0,188,0.05319148936170213
110150,2016,14.0,171,0.08187134502923976
110150,2017,15.0,188,0.0797872340425532
110150,2018,10.0,154,0.06493506493506493
110150,2019,14.0,168,0.08333333333333333
110150,2020,10.0,162,0.06172839506172839
110155,2012,5.0,57,0.08771929824561403
110155,2013,5.0,80,0.0625
110155,2014,1.0,69,0.014492753623188406
110155,2015,7.0,71,0.09859154929577464
110155,2016,5.0,59,0.0847457627118644
110155,2017,5.0,58,0.08620689655172414
110155,2018,4.0,60,0.06666666666666667
110155,2019,7.0,64,0.109375
110155,2020,5.0,42,0.11904761904761904
110160,2012,12.0,133,0.09022556390977443
110160,2013,6.0,106,0.05660377358490566
110160,2014,6.0,125,0.048
110160,2015,3.0,107,0.028037383177570093
110160,2016,8.0,131,0.061068702290076333
110160,2017,2.0,146,0.0136986301369863
110160,2018,5.0,131,0.03816793893129771
110160,2019,7.0,97,0.07216494845360824
110160,2020,12.0,115,0.10434782608695652
110170,2012,14.0,146,0.0958904109589041
110170,2013,16.0,150,0.10666666666666667
110170,2014,14.0,122,0.11475409836065574
110170,2015,10.0,138,0.07246376811594203
110170,2016,20.0,151,0.13245033112582782
110170,2017,18.0,150,0.12
110170,2018,16.0,139,0.11510791366906475
110170,2019,13.0,170,0.07647058823529412
110170,2020,16.0,143,0.11188811188811189
110175,2012,9.0,86,0.10465116279069768
110175,2013,8.0,89,0.0898876404494382
110175,2014,3.0,128,0.0234375
110175,2015,11.0,106,0.10377358490566038
110175,2016,8.0,110,0.07272727272727272
110175,2017,5.0,86,0.05813953488372093
110175,2018,2.0,91,0.02197802197802198
110175,2019,8.0,93,0.08602150537634409
110175,2020,11.0,72,0.1527777777777778
110180,2012,7.0,83,0.08433734939759036
110180,2013,7.0,107,0.06542056074766354
110180,2014,5.0,90,0.05555555555555555
110180,2015,4.0,63,0.06349206349206349
110180,2016,10.0,98,0.10204081632653061
110180,2017,5.0,79,0.06329113924050633
110180,2018,3.0,95,0.031578947368421054
110180,2019,4.0,81,0.04938271604938271
110180,2020,7.0,62,0.11290322580645161
120000,2012,0.0,1,0.0
120001,2012,45.0,253,0.17786561264822134
120001,2013,34.0,258,0.13178294573643412
120001,2014,32.0,269,0.11895910780669144
120001,2015,23.0,217,0.10599078341013825
120001,2016,15.0,222,0.06756756756756757
120001,2017,33.0,256,0.12890625
120001,2018,27.0,216,0.125
120001,2019,29.0,257,0.11284046692607004
120001,2020,31.0,237,0.1308016877637131
120005,2012,23.0,219,0.1050228310502283
120005,2013,21.0,213,0.09859154929577464
120005,2014,30.0,196,0.15306122448979592
120005,2015,30.0,238,0.12605042016806722
120005,2016,20.0,190,0.10526315789473684
120005,2017,42.0,248,0.1693548387096774
