CODMUNRES,Ano,Qtd_Morte_Materna_Direta,Qtd_Total,Ratio
120040,2013,1.0,7116,14.05283867341203
120040,2014,1.0,7011,14.26330052774212
120040,2015,3.0,6965,43.07250538406317
120040,2016,3.0,6614,45.358330813426065
120040,2017,2.0,6460,30.959752321981426
120040,2018,6.0,6495,92.37875288683603
120040,2019,3.0,6324,47.43833017077799
120042,2012,0.0,390,0.0
120042,2013,0.0,363,0.0
120042,2014,1.0,394,253.80710659898475
120042,2015,0.0,396,0.0
120042,2016,0.0,304,0.0
120042,2017,0.0,366,0.0
120042,2018,0.0,394,0.0
120042,2019,0.0,334,0.0
120043,2012,1.0,259,386.1003861003861
120043,2013,0.0,223,0.0
120043,2014,1.0,185,540.5405405405405
120043,2015,1.0,150,666.6666666666667
120043,2016,0.0,95,0.0
120043,2017,1.0,198,505.0505050505051
120043,2018,0.0,207,0.0
120043,2019,0.0,186,0.0
120045,2012,0.0,396,0.0
120045,2013,0.0,425,0.0
120045,2014,0.0,453,0.0
120045,2015,1.0,443,225.7336343115124
120045,2016,0.0,410,0.0
120045,2017,0.0,395,0.0
120045,2018,1.0,476,210.08403361344537
120045,2019,0.0,417,0.0
120050,2012,0.0,929,0.0
120050,2013,0.0,904,0.0
120050,2014,0.0,827,0.0
120050,2015,0.0,847,0.0
120050,2016,0.0,762,0.0
120050,2017,0.0,780,0.0
120050,2018,0.0,788,0.0
120050,2019,1.0,768,130.20833333333331
120060,2012,0.0,1158,0.0
120060,2013,2.0,1138,175.7469244288225
120060,2014,0.0,1230,0.0
120060,2015,0.0,1165,0.0
120060,2016,1.0,1078,92.7643784786642
120060,2017,0.0,1132,0.0
120060,2018,1.0,1193,83.82229673093043
120060,2019,1.0,1143,87.48906386701663
120070,2012,0.0,311,0.0
120070,2013,0.0,294,0.0
120070,2014,0.0,306,0.0
120070,2015,0.0,322,0.0
120070,2016,0.0,329,0.0
120070,2017,1.0,305,327.8688524590164
120070,2018,0.0,325,0.0
120070,2019,0.0,297,0.0
120080,2012,0.0,346,0.0
120080,2013,0.0,362,0.0
120080,2014,0.0,368,0.0
120080,2015,0.0,358,0.0
