CODMUNRES,ano_nasc,Qtd_1parto,Qtd_Total,Ratio
120001,2018,18.0,216,0.08333333333333333
120001,2019,49.0,257,0.19066147859922178
120001,2020,61.0,237,0.25738396624472576
120005,2012,34.0,219,0.1552511415525114
120005,2013,53.0,213,0.24882629107981222
120005,2014,28.0,196,0.14285714285714285
120005,2015,17.0,238,0.07142857142857142
120005,2016,6.0,190,0.031578947368421054
120005,2017,7.0,248,0.028225806451612902
120005,2018,13.0,264,0.04924242424242424
120005,2019,13.0,266,0.04887218045112782
120005,2020,49.0,215,0.22790697674418606
120010,2012,184.0,505,0.36435643564356435
120010,2013,189.0,530,0.35660377358490564
120010,2014,74.0,547,0.13528336380255943
120010,2015,35.0,531,0.06591337099811675
120010,2016,19.0,490,0.03877551020408163
120010,2017,22.0,570,0.03859649122807018
120010,2018,48.0,540,0.08888888888888889
120010,2019,60.0,540,0.1111111111111111
120010,2020,189.0,527,0.3586337760910816
120013,2012,29.0,198,0.14646464646464646
120013,2013,10.0,202,0.04950495049504951
120013,2014,10.0,242,0.04132231404958678
120013,2015,15.0,248,0.06048387096774194
120013,2016,28.0,248,0.11290322580645161
120013,2017,35.0,307,0.11400651465798045
120013,2018,41.0,306,0.13398692810457516
120013,2019,81.0,329,0.24620060790273557
120013,2020,77.0,241,0.31950207468879666
120017,2012,27.0,201,0.13432835820895522
120017,2013,2.0,193,0.010362694300518135
120017,2014,7.0,234,0.029914529914529916
120017,2015,13.0,219,0.0593607305936073
120017,2016,9.0,194,0.04639175257731959
120017,2017,25.0,243,0.102880658436214
120017,2018,17.0,222,0.07657657657657657
120017,2019,49.0,217,0.22580645161290322
120017,2020,48.0,190,0.25263157894736843
120020,2012,654.0,1741,0.3756461803561172
120020,2013,688.0,1783,0.3858665171060011
120020,2014,719.0,1818,0.39548954895489546
120020,2015,621.0,1839,0.3376835236541599
120020,2016,683.0,1632,0.4185049019607843
120020,2017,668.0,1684,0.39667458432304037
120020,2018,708.0,1756,0.4031890660592255
120020,2019,721.0,1809,0.39856274184632395
120020,2020,692.0,1691,0.4092253104671792
120025,2012,77.0,282,0.2730496453900709
120025,2013,97.0,275,0.3527272727272727
120025,2014,45.0,262,0.1717557251908397
120025,2015,18.0,279,0.06451612903225806
120025,2016,10.0,270,0.037037037037037035
120025,2017,7.0,291,0.024054982817869417
120025,2018,27.0,273,0.0989010989010989
120025,2019,33.0,314,0.10509554140127389
120025,2020,100.0,293,0.3412969283276451
120030,2012,34.0,904,0.03761061946902655
120030,2013,31.0,791,0.039190897597977246
120030,2014,35.0,829,0.04221954161640531
120030,2015,59.0,772,0.07642487046632124
120030,2016,159.0,834,0.1906474820143885
120030,2017,90.0,833,0.10804321728691477
120030,2018,213.0,833,0.25570228091236497
120030,2019,249.0,871,0.28587830080367393
120030,2020,249.0,789,0.3155893536121673
120032,2012,18.0,269,0.06691449814126393
120032,2013,47.0,271,0.17343173431734318
120032,2014,43.0,282,0.1524822695035461
120032,2015,35.0,273,0.1282051282051282
120032,2016,36.0,263,0.13688212927756654
120032,2017,38.0,266,0.14285714285714285
120032,2018,44.0,274,0.16058394160583941
120032,2019,57.0,218,0.26146788990825687
120032,2020,42.0,205,0.2048780487804878
120033,2012,117.0,386,0.30310880829015546
120033,2013,133.0,399,0.3333333333333333
120033,2014,132.0,413,0.3196125907990315
120033,2015,105.0,395,0.26582278481012656
120033,2016,124.0,325,0.38153846153846155
120033,2017,128.0,358,0.3575418994413408
120033,2018,160.0,367,0.4359673024523161
120033,2019,125.0,345,0.36231884057971014
120033,2020,145.0,420,0.34523809523809523
120034,2012,79.0,256,0.30859375
120034,2013,52.0,229,0.22707423580786026
120034,2014,38.0,243,0.15637860082304528
120034,2015,37.0,266,0.13909774436090225
120034,2016,48.0,236,0.2033898305084746
120034,2017,48.0,261,0.1839080459770115
120034,2018,50.0,252,0.1984126984126984
120034,2019,55.0,230,0.2391304347826087
120034,2020,79.0,280,0.28214285714285714
120035,2012,99.0,474,0.2088607594936709
120035,2013,120.0,485,0.24742268041237114
120035,2014,105.0,458,0.2292576419213974
120035,2015,125.0,445,0.2808988764044944
120035,2016,101.0,352,0.2869318181818182
120035,2017,101.0,388,0.2603092783505155
120035,2018,84.0,407,0.20638820638820637
120035,2019,133.0,448,0.296875
120035,2020,100.0,334,0.2994011976047904
120038,2012,56.0,353,0.15864022662889518
120038,2013,12.0,334,0.03592814371257485
120038,2014,8.0,322,0.024844720496894408
120038,2015,24.0,350,0.06857142857142857
120038,2016,40.0,339,0.11799410029498525
120038,2017,28.0,305,0.09180327868852459
120038,2018,28.0,309,0.09061488673139159
120038,2019,67.0,318,0.21069182389937108
120038,2020,77.0,285,0.27017543859649124
120039,2012,68.0,338,0.20118343195266272
120039,2013,55.0,287,0.1916376306620209
120039,2014,48.0,250,0.192
120039,2015,59.0,262,0.22519083969465647
120039,2016,96.0,230,0.41739130434782606
120039,2017,89.0,282,0.31560283687943264
120039,2018,86.0,254,0.33858267716535434
120039,2019,96.0,270,0.35555555555555557
120039,2020,98.0,287,0.34146341463414637
120040,2012,1082.0,6531,0.1656714132598377
120040,2013,256.0,7116,0.035975267003934795
120040,2014,163.0,7011,0.023249179860219654
120040,2015,437.0,6965,0.06274228284278535
120040,2016,921.0,6614,0.13925007559721803
120040,2017,1053.0,6460,0.1630030959752322
120040,2018,938.0,6495,0.14441878367975367
120040,2019,1643.0,6324,0.25980392156862747
120040,2020,1726.0,5745,0.3004351610095735
120042,2012,104.0,390,0.26666666666666666
120042,2013,92.0,363,0.2534435261707989
120042,2014,124.0,394,0.3147208121827411
120042,2015,104.0,396,0.26262626262626265
120042,2016,105.0,304,0.34539473684210525
120042,2017,127.0,366,0.3469945355191257
120042,2018,122.0,394,0.3096446700507614
120042,2019,128.0,334,0.38323353293413176
120042,2020,114.0,347,0.3285302593659942
120043,2012,31.0,259,0.11969111969111969
120043,2013,21.0,223,0.09417040358744394
120043,2014,19.0,185,0.10270270270270271
120043,2015,22.0,150,0.14666666666666667
120043,2016,11.0,95,0.11578947368421053
120043,2017,28.0,198,0.1414141414141414
120043,2018,22.0,207,0.10628019323671498
120043,2019,28.0,186,0.15053763440860216
120043,2020,29.0,149,0.19463087248322147
120045,2012,46.0,396,0.11616161616161616
120045,2013,16.0,425,0.03764705882352941
120045,2014,6.0,453,0.013245033112582781
120045,2015,19.0,443,0.04288939051918736
120045,2016,37.0,410,0.09024390243902439
120045,2017,42.0,395,0.10632911392405063
120045,2018,42.0,476,0.08823529411764706
120045,2019,77.0,417,0.18465227817745802
120045,2020,126.0,401,0.314214463840399
120050,2012,294.0,929,0.31646932185145316
120050,2013,273.0,904,0.3019911504424779
120050,2014,240.0,827,0.29020556227327693
120050,2015,227.0,847,0.2680047225501771
120050,2016,181.0,762,0.23753280839895013
120050,2017,219.0,780,0.28076923076923077
120050,2018,203.0,788,0.25761421319796957
120050,2019,258.0,768,0.3359375
120050,2020,252.0,668,0.3772455089820359
120060,2012,269.0,1158,0.23229706390328153
120060,2013,295.0,1138,0.2592267135325132
120060,2014,277.0,1230,0.2252032520325203
120060,2015,352.0,1165,0.3021459227467811
120060,2016,316.0,1078,0.29313543599257885
120060,2017,341.0,1132,0.30123674911660775
120060,2018,417.0,1193,0.3495389773679799
120060,2019,401.0,1143,0.35083114610673666
120060,2020,377.0,1161,0.32472006890611543
120070,2012,69.0,311,0.22186495176848875
120070,2013,40.0,294,0.1360544217687075
120070,2014,32.0,306,0.10457516339869281
120070,2015,19.0,322,0.059006211180124224
120070,2016,26.0,329,0.0790273556231003
120070,2017,16.0,305,0.05245901639344262
120070,2018,15.0,325,0.046153846153846156
120070,2019,40.0,297,0.13468013468013468
120070,2020,105.0,316,0.3322784810126582
120080,2012,49.0,346,0.1416184971098266
