CODMUNRES,ano_nasc,Qtd_7a_serie,Qtd_Total,Ratio
110170,2016,40.0,151,0.26490066225165565
110170,2017,24.0,150,0.16
110170,2018,41.0,139,0.2949640287769784
110170,2019,36.0,170,0.21176470588235294
110175,2012,37.0,86,0.43023255813953487
110175,2013,36.0,89,0.4044943820224719
110175,2014,43.0,128,0.3359375
110175,2015,19.0,106,0.1792452830188679
110175,2016,42.0,110,0.38181818181818183
110175,2017,23.0,86,0.26744186046511625
110175,2018,25.0,91,0.27472527472527475
110175,2019,27.0,93,0.2903225806451613
110180,2012,38.0,83,0.4578313253012048
110180,2013,50.0,107,0.4672897196261682
110180,2014,23.0,90,0.25555555555555554
110180,2015,10.0,63,0.15873015873015872
110180,2016,26.0,98,0.2653061224489796
110180,2017,25.0,79,0.31645569620253167
110180,2018,20.0,95,0.21052631578947367
110180,2019,17.0,81,0.20987654320987653
120000,2012,0.0,1,0.0
120001,2012,142.0,253,0.5612648221343873
120001,2013,117.0,258,0.45348837209302323
120001,2014,133.0,269,0.4944237918215613
120001,2015,98.0,217,0.45161290322580644
120001,2016,99.0,222,0.44594594594594594
120001,2017,111.0,256,0.43359375
120001,2018,97.0,216,0.44907407407407407
120001,2019,132.0,257,0.5136186770428015
120005,2012,139.0,219,0.634703196347032
120005,2013,138.0,213,0.647887323943662
120005,2014,125.0,196,0.6377551020408163
120005,2015,168.0,238,0.7058823529411765
120005,2016,124.0,190,0.6526315789473685
120005,2017,143.0,248,0.5766129032258065
120005,2018,143.0,264,0.5416666666666666
120005,2019,150.0,266,0.5639097744360902
120010,2012,154.0,505,0.30495049504950494
120010,2013,262.0,530,0.49433962264150944
120010,2014,337.0,547,0.6160877513711152
120010,2015,314.0,531,0.591337099811676
120010,2016,242.0,490,0.49387755102040815
120010,2017,255.0,570,0.4473684210526316
120010,2018,231.0,540,0.42777777777777776
120010,2019,206.0,540,0.3814814814814815
120013,2012,105.0,198,0.5303030303030303
120013,2013,100.0,202,0.49504950495049505
120013,2014,131.0,242,0.5413223140495868
120013,2015,125.0,248,0.5040322580645161
120013,2016,121.0,248,0.4879032258064516
120013,2017,158.0,307,0.5146579804560261
120013,2018,154.0,306,0.5032679738562091
120013,2019,172.0,329,0.5227963525835866
120017,2012,102.0,201,0.5074626865671642
120017,2013,97.0,193,0.5025906735751295
120017,2014,132.0,234,0.5641025641025641
120017,2015,105.0,219,0.4794520547945205
120017,2016,91.0,194,0.4690721649484536
120017,2017,126.0,243,0.5185185185185185
120017,2018,118.0,222,0.5315315315315315
120017,2019,117.0,217,0.5391705069124424
120020,2012,626.0,1741,0.3595634692705342
120020,2013,521.0,1783,0.29220415030846886
120020,2014,481.0,1818,0.2645764576457646
120020,2015,711.0,1839,0.3866231647634584
120020,2016,387.0,1632,0.23713235294117646
120020,2017,334.0,1684,0.19833729216152018
120020,2018,284.0,1756,0.16173120728929385
120020,2019,250.0,1809,0.13819789939192925
120025,2012,88.0,282,0.3120567375886525
120025,2013,102.0,275,0.3709090909090909
120025,2014,116.0,262,0.44274809160305345
120025,2015,150.0,279,0.5376344086021505
120025,2016,104.0,270,0.3851851851851852
120025,2017,116.0,291,0.39862542955326463
120025,2018,98.0,273,0.358974358974359
120025,2019,117.0,314,0.37261146496815284
120030,2012,585.0,904,0.6471238938053098
120030,2013,515.0,791,0.6510745891276865
120030,2014,559.0,829,0.6743063932448733
120030,2015,424.0,772,0.5492227979274611
120030,2016,463.0,834,0.5551558752997602
120030,2017,421.0,833,0.5054021608643458
120030,2018,400.0,833,0.4801920768307323
120030,2019,365.0,871,0.4190585533869116
120032,2012,214.0,269,0.7955390334572491
120032,2013,217.0,271,0.8007380073800738
120032,2014,190.0,282,0.6737588652482269
120032,2015,194.0,273,0.7106227106227107
120032,2016,151.0,263,0.5741444866920152
120032,2017,145.0,266,0.5451127819548872
120032,2018,149.0,274,0.5437956204379562
120032,2019,121.0,218,0.555045871559633
120033,2012,167.0,386,0.4326424870466321
120033,2013,155.0,399,0.38847117794486213
120033,2014,123.0,413,0.29782082324455206
120033,2015,162.0,395,0.41012658227848103
120033,2016,110.0,325,0.3384615384615385
120033,2017,96.0,358,0.2681564245810056
120033,2018,75.0,367,0.20435967302452315
120033,2019,66.0,345,0.19130434782608696
120034,2012,195.0,256,0.76171875
120034,2013,157.0,229,0.6855895196506551
120034,2014,176.0,243,0.7242798353909465
120034,2015,189.0,266,0.7105263157894737
120034,2016,153.0,236,0.6483050847457628
120034,2017,148.0,261,0.5670498084291188
120034,2018,164.0,252,0.6507936507936508
120034,2019,146.0,230,0.6347826086956522
120035,2012,308.0,474,0.6497890295358649
120035,2013,293.0,485,0.6041237113402061
120035,2014,260.0,458,0.5676855895196506
120035,2015,253.0,445,0.5685393258426966
120035,2016,199.0,352,0.5653409090909091
120035,2017,166.0,388,0.42783505154639173
120035,2018,169.0,407,0.4152334152334152
120035,2019,180.0,448,0.4017857142857143
120038,2012,190.0,353,0.5382436260623229
120038,2013,158.0,334,0.47305389221556887
120038,2014,164.0,322,0.5093167701863354
120038,2015,163.0,350,0.4657142857142857
120038,2016,146.0,339,0.4306784660766962
120038,2017,138.0,305,0.4524590163934426
120038,2018,151.0,309,0.4886731391585761
120038,2019,150.0,318,0.4716981132075472
120039,2012,178.0,338,0.5266272189349113
120039,2013,178.0,287,0.6202090592334495
120039,2014,159.0,250,0.636
120039,2015,144.0,262,0.549618320610687
120039,2016,112.0,230,0.48695652173913045
120039,2017,128.0,282,0.45390070921985815
120039,2018,91.0,254,0.35826771653543305
120039,2019,78.0,270,0.28888888888888886
120040,2012,2100.0,6531,0.3215434083601286
120040,2013,2135.0,7116,0.30002810567734683
120040,2014,2169.0,7011,0.30937098844672656
120040,2015,2134.0,6965,0.30638908829863604
120040,2016,1995.0,6614,0.3016328999092833
120040,2017,1860.0,6460,0.28792569659442724
120040,2018,1911.0,6495,0.29422632794457276
120040,2019,1986.0,6324,0.31404174573055027
120042,2012,210.0,390,0.5384615384615384
120042,2013,176.0,363,0.48484848484848486
120042,2014,159.0,394,0.4035532994923858
120042,2015,193.0,396,0.48737373737373735
120042,2016,119.0,304,0.39144736842105265
120042,2017,125.0,366,0.34153005464480873
120042,2018,129.0,394,0.32741116751269034
120042,2019,88.0,334,0.2634730538922156
120043,2012,224.0,259,0.8648648648648649
120043,2013,185.0,223,0.8295964125560538
120043,2014,153.0,185,0.827027027027027
120043,2015,117.0,150,0.78
120043,2016,63.0,95,0.6631578947368421
120043,2017,107.0,198,0.5404040404040404
120043,2018,93.0,207,0.4492753623188406
120043,2019,121.0,186,0.6505376344086021
120045,2012,176.0,396,0.4444444444444444
120045,2013,161.0,425,0.3788235294117647
120045,2014,194.0,453,0.4282560706401766
120045,2015,209.0,443,0.4717832957110609
120045,2016,179.0,410,0.43658536585365854
120045,2017,155.0,395,0.3924050632911392
120045,2018,199.0,476,0.4180672268907563
120045,2019,192.0,417,0.460431654676259
120050,2012,556.0,929,0.5984930032292788
120050,2013,533.0,904,0.5896017699115044
120050,2014,452.0,827,0.5465538089480049
120050,2015,449.0,847,0.5301062573789846
120050,2016,383.0,762,0.5026246719160105
120050,2017,353.0,780,0.45256410256410257
120050,2018,383.0,788,0.4860406091370558
120050,2019,345.0,768,0.44921875
120060,2012,653.0,1158,0.5639032815198618
120060,2013,679.0,1138,0.5966608084358523
120060,2014,708.0,1230,0.5756097560975609
120060,2015,630.0,1165,0.5407725321888412
120060,2016,544.0,1078,0.5046382189239332
120060,2017,550.0,1132,0.48586572438162545
120060,2018,555.0,1193,0.4652137468566639
120060,2019,487.0,1143,0.42607174103237094
120070,2012,172.0,311,0.5530546623794212
120070,2013,159.0,294,0.5408163265306123
120070,2014,194.0,306,0.6339869281045751
120070,2015,158.0,322,0.4906832298136646
120070,2016,152.0,329,0.46200607902735563
120070,2017,129.0,305,0.42295081967213116
120070,2018,156.0,325,0.48
120070,2019,157.0,297,0.5286195286195287
120080,2012,207.0,346,0.5982658959537572
120080,2013,207.0,362,0.5718232044198895
120080,2014,208.0,368,0.5652173913043478
120080,2015,193.0,358,0.5391061452513967
120080,2016,194.0,356,0.5449438202247191
120080,2017,199.0,430,0.4627906976744186
120080,2018,198.0,392,0.5051020408163265
120080,2019,191.0,379,0.503957783641161
130000,2012,3.0,8,0.375
130000,2013,8.0,18,0.4444444444444444
130000,2014,2.0,23,0.08695652173913043
130000,2015,1.0,18,0.05555555555555555
130000,2016,7.0,25,0.28
130000,2017,8.0,17,0.47058823529411764
130000,2018,4.0,25,0.16
130000,2019,1.0,12,0.08333333333333333
130002,2012,194.0,320,0.60625
130002,2013,174.0,346,0.5028901734104047
130002,2014,164.0,308,0.5324675324675324
130002,2015,179.0,342,0.5233918128654971
130002,2016,126.0,325,0.38769230769230767
130002,2017,155.0,401,0.3865336658354115
130002,2018,112.0,346,0.3236994219653179
130002,2019,140.0,418,0.3349282296650718
130006,2012,169.0,242,0.6983471074380165
130006,2013,175.0,261,0.6704980842911877
130006,2014,161.0,264,0.6098484848484849
130006,2015,88.0,214,0.411214953271028
130006,2016,151.0,280,0.5392857142857143
130006,2017,121.0,267,0.45318352059925093
130006,2018,121.0,247,0.4898785425101215
130006,2019,97.0,265,0.3660377358490566
130008,2012,91.0,199,0.457286432160804
130008,2013,75.0,201,0.373134328358209
130008,2014,64.0,212,0.3018867924528302
130008,2015,48.0,163,0.294478527607362
130008,2016,49.0,182,0.2692307692307692
130008,2017,43.0,196,0.2193877551020408
130008,2018,63.0,214,0.29439252336448596
130008,2019,30.0,190,0.15789473684210525
130010,2012,115.0,247,0.46558704453441296
130010,2013,104.0,285,0.3649122807017544
130010,2014,90.0,267,0.33707865168539325
130010,2015,72.0,255,0.2823529411764706
130010,2016,80.0,266,0.3007518796992481
130010,2017,57.0,257,0.22178988326848248
130010,2018,51.0,247,0.20647773279352227
130010,2019,57.0,233,0.2446351931330472
130014,2012,101.0,195,0.517948717948718
130014,2013,83.0,223,0.3721973094170404
130014,2014,74.0,223,0.33183856502242154
130014,2015,65.0,204,0.31862745098039214
130014,2016,63.0,211,0.2985781990521327
130014,2017,54.0,233,0.2317596566523605
130014,2018,63.0,242,0.2603305785123967
130014,2019,57.0,239,0.2384937238493724
130020,2012,276.0,357,0.773109243697479
130020,2013,249.0,354,0.7033898305084746
130020,2014,266.0,435,0.6114942528735632
130020,2015,254.0,439,0.5785876993166287
130020,2016,251.0,380,0.6605263157894737
130020,2017,257.0,382,0.6727748691099477
130020,2018,233.0,357,0.6526610644257703
130020,2019,194.0,313,0.6198083067092651
130030,2012,442.0,877,0.5039908779931584
130030,2013,306.0,877,0.34891676168757124
130030,2014,320.0,955,0.33507853403141363
130030,2015,299.0,829,0.3606755126658625
130030,2016,319.0,890,0.35842696629213483
130030,2017,283.0,897,0.31549609810479373
130030,2018,309.0,948,0.3259493670886076
130030,2019,268.0,872,0.3073394495412844
130040,2012,304.0,469,0.6481876332622601
130040,2013,272.0,480,0.5666666666666667
130040,2014,175.0,419,0.41766109785202865
