res_MUNNOME,CODMUNRES,REGIAO,ESTADO
Chapada de Areia,170460,NORTE,TOCANTINS
Chapada da Natividade,170510,NORTE,TOCANTINS
Colinas do Tocantins,170550,NORTE,TOCANTINS
Combinado,170555,NORTE,TOCANTINS
Conceição do Tocantins,170560,NORTE,TOCANTINS
Couto de Magalhães,170600,NORTE,TOCANTINS
Cristalândia,170610,NORTE,TOCANTINS
Crixás do Tocantins,170625,NORTE,TOCANTINS
Darcinópolis,170650,NORTE,TOCANTINS
Dianópolis,170700,NORTE,TOCANTINS
Divinópolis do Tocantins,170710,NORTE,TOCANTINS
Dois Irmãos do Tocantins,170720,NORTE,TOCANTINS
Dueré,170730,NORTE,TOCANTINS
Esperantina,170740,NORTE,TOCANTINS
Fátima,170755,NORTE,TOCANTINS
Figueirópolis,170765,NORTE,TOCANTINS
Filadélfia,170770,NORTE,TOCANTINS
Formoso do Araguaia,170820,NORTE,TOCANTINS
Fortaleza do Tabocão,170825,NORTE,TOCANTINS
Goianorte,170830,NORTE,TOCANTINS
Goiatins,170900,NORTE,TOCANTINS
Guaraí,170930,NORTE,TOCANTINS
Gurupi,170950,NORTE,TOCANTINS
Ipueiras,170980,NORTE,TOCANTINS
Itacajá,171050,NORTE,TOCANTINS
Itaguatins,171070,NORTE,TOCANTINS
Itapiratins,171090,NORTE,TOCANTINS
Itaporã do Tocantins,171110,NORTE,TOCANTINS
Jaú do Tocantins,171150,NORTE,TOCANTINS
Juarina,171180,NORTE,TOCANTINS
Lagoa da Confusão,171190,NORTE,TOCANTINS
Lagoa do Tocantins,171195,NORTE,TOCANTINS
Lajeado,171200,NORTE,TOCANTINS
Lavandeira,171215,NORTE,TOCANTINS
Lizarda,171240,NORTE,TOCANTINS
Luzinópolis,171245,NORTE,TOCANTINS
Marianópolis do Tocantins,171250,NORTE,TOCANTINS
Mateiros,171270,NORTE,TOCANTINS
Maurilândia do Tocantins,171280,NORTE,TOCANTINS
Miracema do Tocantins,171320,NORTE,TOCANTINS
Miranorte,171330,NORTE,TOCANTINS
Monte do Carmo,171360,NORTE,TOCANTINS
Monte Santo do Tocantins,171370,NORTE,TOCANTINS
Palmeiras do Tocantins,171380,NORTE,TOCANTINS
Muricilândia,171395,NORTE,TOCANTINS
Natividade,171420,NORTE,TOCANTINS
Nazaré,171430,NORTE,TOCANTINS
Nova Olinda,171488,NORTE,TOCANTINS
Nova Rosalândia,171500,NORTE,TOCANTINS
Novo Acordo,171510,NORTE,TOCANTINS
Novo Alegre,171515,NORTE,TOCANTINS
Novo Jardim,171525,NORTE,TOCANTINS
Oliveira de Fátima,171550,NORTE,TOCANTINS
Palmeirante,171570,NORTE,TOCANTINS
Palmeirópolis,171575,NORTE,TOCANTINS
Paraíso do Tocantins,171610,NORTE,TOCANTINS
Paranã,171620,NORTE,TOCANTINS
Pau D'Arco,171630,NORTE,TOCANTINS
Pedro Afonso,171650,NORTE,TOCANTINS
Peixe,171660,NORTE,TOCANTINS
Pequizeiro,171665,NORTE,TOCANTINS
Colméia,171670,NORTE,TOCANTINS
Pindorama do Tocantins,171700,NORTE,TOCANTINS
Piraquê,171720,NORTE,TOCANTINS
Pium,171750,NORTE,TOCANTINS
Ponte Alta do Bom Jesus,171780,NORTE,TOCANTINS
Ponte Alta do Tocantins,171790,NORTE,TOCANTINS
Porto Alegre do Tocantins,171800,NORTE,TOCANTINS
Porto Nacional,171820,NORTE,TOCANTINS
Praia Norte,171830,NORTE,TOCANTINS
Presidente Kennedy,171840,NORTE,TOCANTINS
Pugmil,171845,NORTE,TOCANTINS
Recursolândia,171850,NORTE,TOCANTINS
Riachinho,171855,NORTE,TOCANTINS
Rio da Conceição,171865,NORTE,TOCANTINS
Rio dos Bois,171870,NORTE,TOCANTINS
Rio Sono,171875,NORTE,TOCANTINS
Sampaio,171880,NORTE,TOCANTINS
Sandolândia,171884,NORTE,TOCANTINS
Santa Fé do Araguaia,171886,NORTE,TOCANTINS
Santa Maria do Tocantins,171888,NORTE,TOCANTINS
Santa Rita do Tocantins,171889,NORTE,TOCANTINS
Santa Rosa do Tocantins,171890,NORTE,TOCANTINS
Santa Tereza do Tocantins,171900,NORTE,TOCANTINS
Santa Terezinha do Tocantins,172000,NORTE,TOCANTINS
São Bento do Tocantins,172010,NORTE,TOCANTINS
São Félix do Tocantins,172015,NORTE,TOCANTINS
São Miguel do Tocantins,172020,NORTE,TOCANTINS
São Salvador do Tocantins,172025,NORTE,TOCANTINS
São Sebastião do Tocantins,172030,NORTE,TOCANTINS
São Valério da Natividade,172049,NORTE,TOCANTINS
Silvanópolis,172065,NORTE,TOCANTINS
Sítio Novo do Tocantins,172080,NORTE,TOCANTINS
Sucupira,172085,NORTE,TOCANTINS
Taguatinga,172090,NORTE,TOCANTINS
Taipas do Tocantins,172093,NORTE,TOCANTINS
Talismã,172097,NORTE,TOCANTINS
Palmas,172100,NORTE,TOCANTINS
Tocantínia,172110,NORTE,TOCANTINS
Tocantinópolis,172120,NORTE,TOCANTINS
Tupirama,172125,NORTE,TOCANTINS
Tupiratins,172130,NORTE,TOCANTINS
Wanderlândia,172208,NORTE,TOCANTINS
Xambioá,172210,NORTE,TOCANTINS
Município ignorado - MA,210000,NORDESTE,MARANHAO
Açailândia,210005,NORDESTE,MARANHAO
Afonso Cunha,210010,NORDESTE,MARANHAO
Água Doce do Maranhão,210015,NORDESTE,MARANHAO
Alcântara,210020,NORDESTE,MARANHAO
Aldeias Altas,210030,NORDESTE,MARANHAO
Altamira do Maranhão,210040,NORDESTE,MARANHAO
Alto Alegre do Maranhão,210043,NORDESTE,MARANHAO
Alto Alegre do Pindaré,210047,NORDESTE,MARANHAO
Alto Parnaíba,210050,NORDESTE,MARANHAO
Amapá do Maranhão,210055,NORDESTE,MARANHAO
Amarante do Maranhão,210060,NORDESTE,MARANHAO
Anajatuba,210070,NORDESTE,MARANHAO
Anapurus,210080,NORDESTE,MARANHAO
Apicum-Açu,210083,NORDESTE,MARANHAO
Araguanã,210087,NORDESTE,MARANHAO
Araioses,210090,NORDESTE,MARANHAO
Arame,210095,NORDESTE,MARANHAO
Arari,210100,NORDESTE,MARANHAO
Axixá,210110,NORDESTE,MARANHAO
Bacabal,210120,NORDESTE,MARANHAO
Bacabeira,210125,NORDESTE,MARANHAO
Bacuri,210130,NORDESTE,MARANHAO
Bacurituba,210135,NORDESTE,MARANHAO
Balsas,210140,NORDESTE,MARANHAO
Barão de Grajaú,210150,NORDESTE,MARANHAO
Barra do Corda,210160,NORDESTE,MARANHAO
Barreirinhas,210170,NORDESTE,MARANHAO
Belágua,210173,NORDESTE,MARANHAO
Bela Vista do Maranhão,210177,NORDESTE,MARANHAO
Benedito Leite,210180,NORDESTE,MARANHAO
Bequimão,210190,NORDESTE,MARANHAO
Bernardo do Mearim,210193,NORDESTE,MARANHAO
Boa Vista do Gurupi,210197,NORDESTE,MARANHAO
Bom Jardim,210200,NORDESTE,MARANHAO
Bom Jesus das Selvas,210203,NORDESTE,MARANHAO
Bom Lugar,210207,NORDESTE,MARANHAO
Brejo,210210,NORDESTE,MARANHAO
Brejo de Areia,210215,NORDESTE,MARANHAO
Buriti,210220,NORDESTE,MARANHAO
Buriti Bravo,210230,NORDESTE,MARANHAO
Buriticupu,210232,NORDESTE,MARANHAO
Buritirana,210235,NORDESTE,MARANHAO
Cachoeira Grande,210237,NORDESTE,MARANHAO
Cajapió,210240,NORDESTE,MARANHAO
Cajari,210250,NORDESTE,MARANHAO
Campestre do Maranhão,210255,NORDESTE,MARANHAO
Cândido Mendes,210260,NORDESTE,MARANHAO
Cantanhede,210270,NORDESTE,MARANHAO
Capinzal do Norte,210275,NORDESTE,MARANHAO
Carolina,210280,NORDESTE,MARANHAO
Carutapera,210290,NORDESTE,MARANHAO
Caxias,210300,NORDESTE,MARANHAO
Cedral,210310,NORDESTE,MARANHAO
Central do Maranhão,210312,NORDESTE,MARANHAO
Centro do Guilherme,210315,NORDESTE,MARANHAO
Centro Novo do Maranhão,210317,NORDESTE,MARANHAO
Chapadinha,210320,NORDESTE,MARANHAO
Cidelândia,210325,NORDESTE,MARANHAO
Codó,210330,NORDESTE,MARANHAO
Coelho Neto,210340,NORDESTE,MARANHAO
Colinas,210350,NORDESTE,MARANHAO
Conceição do Lago-Açu,210355,NORDESTE,MARANHAO
Coroatá,210360,NORDESTE,MARANHAO
Cururupu,210370,NORDESTE,MARANHAO
Davinópolis,210375,NORDESTE,MARANHAO
Dom Pedro,210380,NORDESTE,MARANHAO
Duque Bacelar,210390,NORDESTE,MARANHAO
Esperantinópolis,210400,NORDESTE,MARANHAO
Estreito,210405,NORDESTE,MARANHAO
Feira Nova do Maranhão,210407,NORDESTE,MARANHAO
Fernando Falcão,210408,NORDESTE,MARANHAO
Formosa da Serra Negra,210409,NORDESTE,MARANHAO
Fortaleza dos Nogueiras,210410,NORDESTE,MARANHAO
Fortuna,210420,NORDESTE,MARANHAO
Godofredo Viana,210430,NORDESTE,MARANHAO
Gonçalves Dias,210440,NORDESTE,MARANHAO
Governador Archer,210450,NORDESTE,MARANHAO
Governador Edison Lobão,210455,NORDESTE,MARANHAO
Governador Eugênio Barros,210460,NORDESTE,MARANHAO
Governador Luiz Rocha,210462,NORDESTE,MARANHAO
Governador Newton Bello,210465,NORDESTE,MARANHAO
Governador Nunes Freire,210467,NORDESTE,MARANHAO
Graça Aranha,210470,NORDESTE,MARANHAO
Grajaú,210480,NORDESTE,MARANHAO
Guimarães,210490,NORDESTE,MARANHAO
Humberto de Campos,210500,NORDESTE,MARANHAO
Icatu,210510,NORDESTE,MARANHAO
Igarapé do Meio,210515,NORDESTE,MARANHAO
Igarapé Grande,210520,NORDESTE,MARANHAO
Imperatriz,210530,NORDESTE,MARANHAO
Itaipava do Grajaú,210535,NORDESTE,MARANHAO
Itapecuru Mirim,210540,NORDESTE,MARANHAO
Itinga do Maranhão,210542,NORDESTE,MARANHAO
Jatobá,210545,NORDESTE,MARANHAO
Jenipapo dos Vieiras,210547,NORDESTE,MARANHAO
João Lisboa,210550,NORDESTE,MARANHAO
Joselândia,210560,NORDESTE,MARANHAO
Junco do Maranhão,210565,NORDESTE,MARANHAO
Lago da Pedra,210570,NORDESTE,MARANHAO
Lago do Junco,210580,NORDESTE,MARANHAO
Lago Verde,210590,NORDESTE,MARANHAO
Lagoa do Mato,210592,NORDESTE,MARANHAO
Lago dos Rodrigues,210594,NORDESTE,MARANHAO
Lagoa Grande do Maranhão,210596,NORDESTE,MARANHAO
Lajeado Novo,210598,NORDESTE,MARANHAO
Lima Campos,210600,NORDESTE,MARANHAO
Loreto,210610,NORDESTE,MARANHAO
Luís Domingues,210620,NORDESTE,MARANHAO
Magalhães de Almeida,210630,NORDESTE,MARANHAO
Maracaçumé,210632,NORDESTE,MARANHAO
Marajá do Sena,210635,NORDESTE,MARANHAO
Maranhãozinho,210637,NORDESTE,MARANHAO
Mata Roma,210640,NORDESTE,MARANHAO
Matinha,210650,NORDESTE,MARANHAO
Matões,210660,NORDESTE,MARANHAO
Matões do Norte,210663,NORDESTE,MARANHAO
Milagres do Maranhão,210667,NORDESTE,MARANHAO
Mirador,210670,NORDESTE,MARANHAO
Miranda do Norte,210675,NORDESTE,MARANHAO
Mirinzal,210680,NORDESTE,MARANHAO
Monção,210690,NORDESTE,MARANHAO
Montes Altos,210700,NORDESTE,MARANHAO
Morros,210710,NORDESTE,MARANHAO
Nina Rodrigues,210720,NORDESTE,MARANHAO
Nova Colinas,210725,NORDESTE,MARANHAO
Nova Iorque,210730,NORDESTE,MARANHAO
Nova Olinda do Maranhão,210735,NORDESTE,MARANHAO
Olho d'Água das Cunhãs,210740,NORDESTE,MARANHAO
Olinda Nova do Maranhão,210745,NORDESTE,MARANHAO
Paço do Lumiar,210750,NORDESTE,MARANHAO
Palmeirândia,210760,NORDESTE,MARANHAO
Paraibano,210770,NORDESTE,MARANHAO
Parnarama,210780,NORDESTE,MARANHAO
Passagem Franca,210790,NORDESTE,MARANHAO
Pastos Bons,210800,NORDESTE,MARANHAO
Paulino Neves,210805,NORDESTE,MARANHAO
Paulo Ramos,210810,NORDESTE,MARANHAO
Pedreiras,210820,NORDESTE,MARANHAO
Pedro do Rosário,210825,NORDESTE,MARANHAO
Penalva,210830,NORDESTE,MARANHAO
Peri Mirim,210840,NORDESTE,MARANHAO
Peritoró,210845,NORDESTE,MARANHAO
