CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total,Ratio
110180,2017,2.0,79,0.02531645569620253
110180,2018,1.0,95,0.010526315789473684
110180,2019,4.0,81,0.04938271604938271
110180,2020,3.0,62,0.04838709677419355
120000,2012,0.0,1,0.0
120001,2012,12.0,253,0.04743083003952569
120001,2013,2.0,258,0.007751937984496124
120001,2014,6.0,269,0.022304832713754646
120001,2015,8.0,217,0.03686635944700461
120001,2016,6.0,222,0.02702702702702703
120001,2017,8.0,256,0.03125
120001,2018,6.0,216,0.027777777777777776
120001,2019,1.0,257,0.0038910505836575876
120001,2020,4.0,237,0.016877637130801686
120005,2012,1.0,219,0.0045662100456621
120005,2013,3.0,213,0.014084507042253521
120005,2014,1.0,196,0.00510204081632653
120005,2015,1.0,238,0.004201680672268907
120005,2016,1.0,190,0.005263157894736842
120005,2017,0.0,248,0.0
120005,2018,1.0,264,0.003787878787878788
120005,2019,0.0,266,0.0
120005,2020,2.0,215,0.009302325581395349
120010,2012,3.0,505,0.005940594059405941
120010,2013,6.0,530,0.011320754716981131
120010,2014,6.0,547,0.010968921389396709
120010,2015,9.0,531,0.01694915254237288
120010,2016,5.0,490,0.01020408163265306
120010,2017,4.0,570,0.007017543859649123
120010,2018,4.0,540,0.007407407407407408
120010,2019,9.0,540,0.016666666666666666
120010,2020,3.0,527,0.0056925996204933585
120013,2012,2.0,198,0.010101010101010102
120013,2013,1.0,202,0.0049504950495049506
120013,2014,3.0,242,0.012396694214876033
120013,2015,7.0,248,0.028225806451612902
120013,2016,2.0,248,0.008064516129032258
120013,2017,3.0,307,0.009771986970684038
120013,2018,2.0,306,0.006535947712418301
120013,2019,8.0,329,0.0243161094224924
120013,2020,6.0,241,0.024896265560165973
120017,2012,5.0,201,0.024875621890547265
120017,2013,3.0,193,0.015544041450777202
120017,2014,4.0,234,0.017094017094017096
120017,2015,4.0,219,0.0182648401826484
120017,2016,6.0,194,0.030927835051546393
120017,2017,2.0,243,0.00823045267489712
120017,2018,1.0,222,0.0045045045045045045
120017,2019,2.0,217,0.009216589861751152
120017,2020,3.0,190,0.015789473684210527
120020,2012,13.0,1741,0.007466973004020678
120020,2013,12.0,1783,0.006730229949523275
120020,2014,13.0,1818,0.007150715071507151
120020,2015,9.0,1839,0.004893964110929853
120020,2016,21.0,1632,0.012867647058823529
120020,2017,14.0,1684,0.00831353919239905
120020,2018,11.0,1756,0.006264236902050114
120020,2019,9.0,1809,0.004975124378109453
120020,2020,3.0,1691,0.0017740981667652277
120025,2012,1.0,282,0.0035460992907801418
120025,2013,3.0,275,0.01090909090909091
120025,2014,2.0,262,0.007633587786259542
120025,2015,2.0,279,0.007168458781362007
120025,2016,2.0,270,0.007407407407407408
120025,2017,2.0,291,0.006872852233676976
120025,2018,2.0,273,0.007326007326007326
120025,2019,4.0,314,0.012738853503184714
120025,2020,3.0,293,0.010238907849829351
120030,2012,4.0,904,0.004424778761061947
120030,2013,9.0,791,0.011378002528445006
120030,2014,3.0,829,0.0036188178528347406
120030,2015,8.0,772,0.010362694300518135
120030,2016,3.0,834,0.0035971223021582736
120030,2017,6.0,833,0.007202881152460984
120030,2018,8.0,833,0.009603841536614645
120030,2019,15.0,871,0.01722158438576349
120030,2020,14.0,789,0.017743979721166033
