CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total,Ratio
110100,2015,4.0,132,0.030303030303030304
110100,2016,0.0,112,0.0
110100,2017,2.0,109,0.01834862385321101
110100,2018,3.0,133,0.022556390977443608
110100,2019,0.0,112,0.0
110100,2020,4.0,86,0.046511627906976744
110110,2012,0.0,114,0.0
110110,2013,0.0,123,0.0
110110,2014,0.0,97,0.0
110110,2015,0.0,112,0.0
110110,2016,0.0,129,0.0
110110,2017,4.0,95,0.042105263157894736
110110,2018,2.0,92,0.021739130434782608
110110,2019,0.0,109,0.0
110110,2020,2.0,119,0.01680672268907563
110120,2012,0.0,100,0.0
110120,2013,2.0,104,0.019230769230769232
110120,2014,0.0,107,0.0
110120,2015,1.0,93,0.010752688172043012
110120,2016,2.0,93,0.021505376344086023
110120,2017,3.0,100,0.03
110120,2018,0.0,92,0.0
110120,2019,7.0,84,0.08333333333333333
110120,2020,2.0,74,0.02702702702702703
110130,2012,3.0,148,0.02027027027027027
110130,2013,2.0,122,0.01639344262295082
110130,2014,6.0,137,0.043795620437956206
110130,2015,9.0,179,0.05027932960893855
110130,2016,1.0,148,0.006756756756756757
110130,2017,4.0,156,0.02564102564102564
110130,2018,4.0,160,0.025
110130,2019,6.0,164,0.036585365853658534
110130,2020,8.0,168,0.047619047619047616
110140,2012,6.0,170,0.03529411764705882
110140,2013,2.0,223,0.008968609865470852
110140,2014,8.0,204,0.0392156862745098
110140,2015,0.0,240,0.0
110140,2016,2.0,173,0.011560693641618497
110140,2017,6.0,200,0.03
110140,2018,7.0,220,0.031818181818181815
110140,2019,3.0,199,0.01507537688442211
110140,2020,0.0,167,0.0
110143,2012,10.0,99,0.10101010101010101
110143,2013,0.0,82,0.0
110143,2014,0.0,110,0.0
110143,2015,0.0,73,0.0
110143,2016,1.0,90,0.011111111111111112
110143,2017,0.0,94,0.0
110143,2018,0.0,87,0.0
110143,2019,0.0,104,0.0
110143,2020,5.0,87,0.05747126436781609
110145,2012,2.0,63,0.031746031746031744
110145,2013,0.0,55,0.0
110145,2014,0.0,49,0.0
110145,2015,0.0,54,0.0
110145,2016,0.0,50,0.0
110145,2017,0.0,51,0.0
110145,2018,0.0,53,0.0
110145,2019,2.0,44,0.045454545454545456
110145,2020,2.0,59,0.03389830508474576
110146,2012,0.0,51,0.0
110146,2013,0.0,42,0.0
