CODMUNRES,Ano,Qtd_Neonatal_Precoce,Qtd_Total,Ratio
110149,2016,1.0,305,0.003278688524590164
110149,2017,1.0,333,0.003003003003003003
110149,2018,2.0,327,0.0061162079510703364
110149,2019,1.0,303,0.0033003300330033004
110150,2012,0.0,190,0.0
110150,2013,1.0,184,0.005434782608695652
110150,2014,2.0,170,0.011764705882352941
110150,2015,0.0,188,0.0
110150,2016,0.0,171,0.0
110150,2017,1.0,188,0.005319148936170213
110150,2018,0.0,154,0.0
110150,2019,1.0,168,0.005952380952380952
110155,2012,0.0,57,0.0
110155,2013,0.0,80,0.0
110155,2014,1.0,69,0.014492753623188406
110155,2015,0.0,71,0.0
110155,2016,0.0,59,0.0
110155,2017,0.0,58,0.0
110155,2018,1.0,60,0.016666666666666666
110155,2019,2.0,64,0.03125
110160,2012,2.0,133,0.015037593984962405
110160,2013,0.0,106,0.0
110160,2014,0.0,125,0.0
110160,2015,1.0,107,0.009345794392523364
110160,2016,0.0,131,0.0
110160,2017,0.0,146,0.0
110160,2018,0.0,131,0.0
110160,2019,0.0,97,0.0
110170,2012,2.0,146,0.0136986301369863
110170,2013,1.0,150,0.006666666666666667
110170,2014,0.0,122,0.0
110170,2015,2.0,138,0.014492753623188406
110170,2016,0.0,151,0.0
110170,2017,0.0,150,0.0
110170,2018,0.0,139,0.0
110170,2019,0.0,170,0.0
110175,2012,1.0,86,0.011627906976744186
110175,2013,0.0,89,0.0
110175,2014,0.0,128,0.0
110175,2015,1.0,106,0.009433962264150943
110175,2016,0.0,110,0.0
110175,2017,0.0,86,0.0
110175,2018,0.0,91,0.0
110175,2019,0.0,93,0.0
110180,2012,0.0,83,0.0
110180,2013,0.0,107,0.0
110180,2014,0.0,90,0.0
110180,2015,0.0,63,0.0
110180,2016,1.0,98,0.01020408163265306
110180,2017,0.0,79,0.0
110180,2018,0.0,95,0.0
110180,2019,0.0,81,0.0
120000,2012,0.0,1,0.0
120001,2012,1.0,253,0.003952569169960474
120001,2013,2.0,258,0.007751937984496124
120001,2014,1.0,269,0.0037174721189591076
120001,2015,0.0,217,0.0
120001,2016,0.0,222,0.0
120001,2017,2.0,256,0.0078125
120001,2018,0.0,216,0.0
120001,2019,0.0,257,0.0
120005,2012,1.0,219,0.0045662100456621
120005,2013,0.0,213,0.0
120005,2014,0.0,196,0.0
120005,2015,2.0,238,0.008403361344537815
120005,2016,3.0,190,0.015789473684210527
120005,2017,1.0,248,0.004032258064516129
120005,2018,2.0,264,0.007575757575757576
120005,2019,1.0,266,0.0037593984962406013
120010,2012,4.0,505,0.007920792079207921
120010,2013,3.0,530,0.005660377358490566
120010,2014,1.0,547,0.0018281535648994515
120010,2015,4.0,531,0.007532956685499058
120010,2016,3.0,490,0.006122448979591836
120010,2017,2.0,570,0.0035087719298245615
120010,2018,3.0,540,0.005555555555555556
120010,2019,2.0,540,0.003703703703703704
120013,2012,0.0,198,0.0
120013,2013,0.0,202,0.0
120013,2014,0.0,242,0.0
120013,2015,1.0,248,0.004032258064516129
120013,2016,0.0,248,0.0
120013,2017,0.0,307,0.0
120013,2018,1.0,306,0.0032679738562091504
120013,2019,0.0,329,0.0
120017,2012,0.0,201,0.0
120017,2013,1.0,193,0.0051813471502590676
120017,2014,1.0,234,0.004273504273504274
120017,2015,0.0,219,0.0
120017,2016,2.0,194,0.010309278350515464
120017,2017,0.0,243,0.0
120017,2018,3.0,222,0.013513513513513514
120017,2019,0.0,217,0.0
120020,2012,9.0,1741,0.005169442848937392
120020,2013,11.0,1783,0.0061693774537296695
120020,2014,3.0,1818,0.0016501650165016502
120020,2015,4.0,1839,0.002175095160413268
120020,2016,4.0,1632,0.0024509803921568627
120020,2017,7.0,1684,0.004156769596199525
120020,2018,11.0,1756,0.006264236902050114
120020,2019,6.0,1809,0.003316749585406302
120025,2012,3.0,282,0.010638297872340425
120025,2013,1.0,275,0.0036363636363636364
120025,2014,1.0,262,0.003816793893129771
120025,2015,1.0,279,0.0035842293906810036
120025,2016,1.0,270,0.003703703703703704
120025,2017,1.0,291,0.003436426116838488
120025,2018,3.0,273,0.01098901098901099
120025,2019,1.0,314,0.0031847133757961785
120030,2012,4.0,904,0.004424778761061947
120030,2013,7.0,791,0.008849557522123894
120030,2014,4.0,829,0.0048250904704463205
120030,2015,6.0,772,0.007772020725388601
120030,2016,3.0,834,0.0035971223021582736
120030,2017,3.0,833,0.003601440576230492
120030,2018,8.0,833,0.009603841536614645
120030,2019,6.0,871,0.006888633754305396
120032,2012,1.0,269,0.0037174721189591076
120032,2013,1.0,271,0.0036900369003690036
120032,2014,1.0,282,0.0035460992907801418
120032,2015,0.0,273,0.0
120032,2016,0.0,263,0.0
120032,2017,1.0,266,0.0037593984962406013
120032,2018,1.0,274,0.0036496350364963502
120032,2019,1.0,218,0.0045871559633027525
120033,2012,0.0,386,0.0
120033,2013,0.0,399,0.0
120033,2014,0.0,413,0.0
120033,2015,2.0,395,0.005063291139240506
120033,2016,0.0,325,0.0
120033,2017,2.0,358,0.00558659217877095
120033,2018,2.0,367,0.005449591280653951
120033,2019,1.0,345,0.002898550724637681
120034,2012,1.0,256,0.00390625
120034,2013,0.0,229,0.0
120034,2014,0.0,243,0.0
120034,2015,3.0,266,0.011278195488721804
120034,2016,1.0,236,0.00423728813559322
120034,2017,1.0,261,0.0038314176245210726
120034,2018,1.0,252,0.003968253968253968
120034,2019,2.0,230,0.008695652173913044
120035,2012,1.0,474,0.002109704641350211
120035,2013,1.0,485,0.002061855670103093
120035,2014,1.0,458,0.002183406113537118
120035,2015,2.0,445,0.0044943820224719105
120035,2016,0.0,352,0.0
120035,2017,2.0,388,0.005154639175257732
120035,2018,1.0,407,0.002457002457002457
120035,2019,1.0,448,0.002232142857142857
120038,2012,0.0,353,0.0
120038,2013,3.0,334,0.008982035928143712
120038,2014,1.0,322,0.003105590062111801
120038,2015,1.0,350,0.002857142857142857
120038,2016,0.0,339,0.0
120038,2017,0.0,305,0.0
120038,2018,1.0,309,0.003236245954692557
120038,2019,0.0,318,0.0
120039,2012,3.0,338,0.008875739644970414
120039,2013,2.0,287,0.006968641114982578
120039,2014,0.0,250,0.0
120039,2015,1.0,262,0.003816793893129771
120039,2016,0.0,230,0.0
120039,2017,1.0,282,0.0035460992907801418
120039,2018,1.0,254,0.003937007874015748
120039,2019,1.0,270,0.003703703703703704
120040,2012,34.0,6531,0.005205940897259225
120040,2013,36.0,7116,0.00505902192242833
120040,2014,21.0,7011,0.002995293110825845
120040,2015,28.0,6965,0.004020100502512563
120040,2016,16.0,6614,0.002419110976716057
120040,2017,22.0,6460,0.003405572755417957
120040,2018,28.0,6495,0.004311008468052348
120040,2019,20.0,6324,0.0031625553447185324
120042,2012,1.0,390,0.002564102564102564
120042,2013,0.0,363,0.0
120042,2014,1.0,394,0.0025380710659898475
120042,2015,1.0,396,0.0025252525252525255
120042,2016,4.0,304,0.013157894736842105
120042,2017,1.0,366,0.00273224043715847
120042,2018,1.0,394,0.0025380710659898475
120042,2019,2.0,334,0.005988023952095809
120043,2012,1.0,259,0.003861003861003861
120043,2013,1.0,223,0.004484304932735426
120043,2014,1.0,185,0.005405405405405406
120043,2015,0.0,150,0.0
120043,2016,0.0,95,0.0
120043,2017,1.0,198,0.005050505050505051
120043,2018,0.0,207,0.0
120043,2019,0.0,186,0.0
120045,2012,1.0,396,0.0025252525252525255
120045,2013,3.0,425,0.007058823529411765
120045,2014,6.0,453,0.013245033112582781
120045,2015,2.0,443,0.004514672686230248
120045,2016,1.0,410,0.0024390243902439024
120045,2017,1.0,395,0.002531645569620253
120045,2018,1.0,476,0.0021008403361344537
120045,2019,1.0,417,0.002398081534772182
120050,2012,6.0,929,0.006458557588805167
120050,2013,4.0,904,0.004424778761061947
120050,2014,4.0,827,0.0048367593712212815
120050,2015,0.0,847,0.0
120050,2016,4.0,762,0.005249343832020997
120050,2017,3.0,780,0.0038461538461538464
120050,2018,3.0,788,0.0038071065989847717
120050,2019,0.0,768,0.0
120060,2012,12.0,1158,0.010362694300518135
120060,2013,6.0,1138,0.005272407732864675
120060,2014,8.0,1230,0.0065040650406504065
120060,2015,13.0,1165,0.011158798283261802
120060,2016,2.0,1078,0.0018552875695732839
120060,2017,7.0,1132,0.006183745583038869
120060,2018,2.0,1193,0.0016764459346186086
120060,2019,3.0,1143,0.0026246719160104987
120070,2012,1.0,311,0.003215434083601286
120070,2013,1.0,294,0.003401360544217687
120070,2014,0.0,306,0.0
120070,2015,2.0,322,0.006211180124223602
120070,2016,0.0,329,0.0
120070,2017,1.0,305,0.003278688524590164
120070,2018,0.0,325,0.0
120070,2019,1.0,297,0.003367003367003367
120080,2012,2.0,346,0.005780346820809248
120080,2013,2.0,362,0.0055248618784530384
120080,2014,2.0,368,0.005434782608695652
120080,2015,2.0,358,0.00558659217877095
120080,2016,1.0,356,0.0028089887640449437
120080,2017,1.0,430,0.002325581395348837
120080,2018,2.0,392,0.00510204081632653
120080,2019,1.0,379,0.002638522427440633
130000,2012,0.0,8,0.0
130000,2013,0.0,18,0.0
130000,2014,0.0,23,0.0
130000,2015,0.0,18,0.0
130000,2016,0.0,25,0.0
130000,2017,0.0,17,0.0
130000,2018,0.0,25,0.0
130000,2019,0.0,12,0.0
130002,2012,1.0,320,0.003125
130002,2013,2.0,346,0.005780346820809248
130002,2014,1.0,308,0.003246753246753247
130002,2015,0.0,342,0.0
130002,2016,4.0,325,0.012307692307692308
130002,2017,3.0,401,0.007481296758104738
130002,2018,5.0,346,0.014450867052023121
130002,2019,2.0,418,0.004784688995215311
130006,2012,1.0,242,0.004132231404958678
130006,2013,2.0,261,0.007662835249042145
130006,2014,3.0,264,0.011363636363636364
130006,2015,2.0,214,0.009345794392523364
130006,2016,0.0,280,0.0
130006,2017,1.0,267,0.003745318352059925
130006,2018,0.0,247,0.0
130006,2019,0.0,265,0.0
130008,2012,0.0,199,0.0
130008,2013,2.0,201,0.009950248756218905
130008,2014,0.0,212,0.0
130008,2015,1.0,163,0.006134969325153374
130008,2016,2.0,182,0.01098901098901099
130008,2017,0.0,196,0.0
130008,2018,2.0,214,0.009345794392523364
130008,2019,1.0,190,0.005263157894736842
130010,2012,0.0,247,0.0
130010,2013,3.0,285,0.010526315789473684
130010,2014,0.0,267,0.0
130010,2015,1.0,255,0.00392156862745098
130010,2016,1.0,266,0.0037593984962406013
130010,2017,1.0,257,0.0038910505836575876
130010,2018,1.0,247,0.004048582995951417
130010,2019,2.0,233,0.008583690987124463
130014,2012,1.0,195,0.005128205128205128
130014,2013,3.0,223,0.013452914798206279
130014,2014,4.0,223,0.017937219730941704
130014,2015,3.0,204,0.014705882352941176
130014,2016,1.0,211,0.004739336492890996
130014,2017,1.0,233,0.004291845493562232
130014,2018,1.0,242,0.004132231404958678
130014,2019,4.0,239,0.016736401673640166
130020,2012,1.0,357,0.0028011204481792717
130020,2013,2.0,354,0.005649717514124294
130020,2014,3.0,435,0.006896551724137931
130020,2015,5.0,439,0.011389521640091117
130020,2016,2.0,380,0.005263157894736842
130020,2017,3.0,382,0.007853403141361256
130020,2018,0.0,357,0.0
130020,2019,1.0,313,0.003194888178913738
130030,2012,3.0,877,0.0034207525655644243
130030,2013,1.0,877,0.0011402508551881414
130030,2014,3.0,955,0.0031413612565445027
130030,2015,0.0,829,0.0
130030,2016,2.0,890,0.0022471910112359553
130030,2017,2.0,897,0.002229654403567447
130030,2018,0.0,948,0.0
130030,2019,2.0,872,0.0022935779816513763
130040,2012,0.0,469,0.0
130040,2013,2.0,480,0.004166666666666667
