CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total,Ratio
110170,2012,19.0,146,0.13013698630136986
110170,2013,11.0,150,0.07333333333333333
110170,2014,12.0,122,0.09836065573770492
110170,2015,3.0,138,0.021739130434782608
110170,2016,4.0,151,0.026490066225165563
110170,2017,2.0,150,0.013333333333333334
110170,2018,7.0,139,0.050359712230215826
110170,2019,4.0,170,0.023529411764705882
110175,2012,6.0,86,0.06976744186046512
110175,2013,9.0,89,0.10112359550561797
110175,2014,7.0,128,0.0546875
110175,2015,2.0,106,0.018867924528301886
110175,2016,7.0,110,0.06363636363636363
110175,2017,1.0,86,0.011627906976744186
110175,2018,3.0,91,0.03296703296703297
110175,2019,5.0,93,0.053763440860215055
110180,2012,10.0,83,0.12048192771084337
110180,2013,11.0,107,0.102803738317757
110180,2014,4.0,90,0.044444444444444446
110180,2015,2.0,63,0.031746031746031744
110180,2016,3.0,98,0.030612244897959183
110180,2017,7.0,79,0.08860759493670886
110180,2018,3.0,95,0.031578947368421054
110180,2019,0.0,80,0.0
120000,2012,0.0,1,0.0
120001,2012,41.0,253,0.16205533596837945
120001,2013,32.0,258,0.12403100775193798
120001,2014,31.0,269,0.11524163568773234
120001,2015,21.0,217,0.0967741935483871
120001,2016,18.0,222,0.08108108108108109
120001,2017,21.0,256,0.08203125
120001,2018,19.0,216,0.08796296296296297
120001,2019,31.0,257,0.12062256809338522
120005,2012,84.0,219,0.3835616438356164
120005,2013,68.0,213,0.3192488262910798
120005,2014,69.0,196,0.3520408163265306
120005,2015,89.0,238,0.3739495798319328
120005,2016,58.0,190,0.30526315789473685
120005,2017,73.0,247,0.29554655870445345
120005,2018,46.0,264,0.17424242424242425
120005,2019,60.0,266,0.22556390977443608
120010,2012,72.0,505,0.14257425742574256
120010,2013,102.0,530,0.19245283018867926
120010,2014,143.0,547,0.26142595978062155
120010,2015,88.0,530,0.1660377358490566
120010,2016,89.0,489,0.18200408997955012
120010,2017,84.0,570,0.14736842105263157
120010,2018,59.0,540,0.10925925925925926
120010,2019,44.0,540,0.08148148148148149
120013,2012,31.0,198,0.15656565656565657
120013,2013,29.0,202,0.14356435643564355
120013,2014,24.0,242,0.09917355371900827
120013,2015,29.0,248,0.11693548387096774
120013,2016,13.0,248,0.05241935483870968
