CODMUNRES,ano_nasc,Qtd_Total
130380,2014,1254
130380,2015,1120
130380,2016,1255
130380,2017,1214
130380,2018,1227
130380,2019,1436
130390,2012,959
130390,2013,914
130390,2014,987
130390,2015,753
130390,2016,871
130390,2017,999
130390,2018,935
130390,2019,956
130395,2012,178
130395,2013,160
130395,2014,163
130395,2015,180
130395,2016,178
130395,2017,206
130395,2018,186
130395,2019,200
130400,2012,181
130400,2013,208
130400,2014,180
130400,2015,202
130400,2016,208
130400,2017,246
130400,2018,197
130400,2019,229
130406,2012,1632
130406,2013,1619
130406,2014,1820
130406,2015,1615
130406,2016,1753
130406,2017,1701
130406,2018,1685
130406,2019,1770
130410,2012,401
130410,2013,421
130410,2014,391
130410,2015,439
130410,2016,389
130410,2017,405
130410,2018,394
130410,2019,432
130420,2012,1558
130420,2013,1732
130420,2014,1589
130420,2015,1754
130420,2016,1679
130420,2017,1763
130420,2018,1822
130420,2019,1927
130423,2012,348
130423,2013,322
130423,2014,366
130423,2015,391
130423,2016,363
130423,2017,458
130423,2018,435
130423,2019,429
130426,2012,288
130426,2013,304
130426,2014,302
130426,2015,295
130426,2016,264
130426,2017,333
130426,2018,286
130426,2019,351
130430,2012,298
130430,2013,302
130430,2014,284
130430,2015,272
130430,2016,265
130430,2017,270
130430,2018,261
130430,2019,318
130440,2012,321
130440,2013,325
130440,2014,329
130440,2015,282
130440,2016,299
130440,2017,315
130440,2018,313
130440,2019,321
140000,2012,2
140000,2013,8
140000,2014,7
140000,2015,3
140000,2016,1
140000,2018,1
140002,2012,308
140002,2013,307
140002,2014,298
140002,2015,339
140002,2016,331
140002,2017,355
140002,2018,433
140002,2019,446
140005,2012,600
140005,2013,601
140005,2014,563
140005,2015,550
140005,2016,620
140005,2017,526
140005,2018,737
140005,2019,711
140010,2012,6358
140010,2013,6350
140010,2014,6755
140010,2015,6719
140010,2016,6749
140010,2017,7043
140010,2018,8163
140010,2019,8936
140015,2012,312
140015,2013,327
140015,2014,325
140015,2015,355
140015,2016,365
140015,2017,377
140015,2018,391
140015,2019,470
140017,2012,315
140017,2013,335
140017,2014,362
140017,2015,327
140017,2016,315
140017,2017,352
140017,2018,337
140017,2019,385
140020,2012,425
140020,2013,424
140020,2014,393
140020,2015,414
140020,2016,381
140020,2017,407
140020,2018,406
140020,2019,445
140023,2012,138
140023,2013,151
140023,2014,154
140023,2015,139
140023,2016,145
140023,2017,183
140023,2018,181
140023,2019,204
140028,2012,173
140028,2013,147
140028,2014,156
140028,2015,169
140028,2016,138
140028,2017,154
140028,2018,138
140028,2019,185
140030,2012,270
140030,2013,351
140030,2014,299
140030,2015,341
140030,2016,308
140030,2017,309
140030,2018,325
140030,2019,372
140040,2012,319
140040,2013,381
140040,2014,376
140040,2015,442
140040,2016,428
140040,2017,415
140040,2018,463
140040,2019,489
140045,2012,327
140045,2013,351
140045,2014,340
140045,2015,361
140045,2016,357
140045,2017,380
140045,2018,423
140045,2019,556
140047,2012,422
140047,2013,422
140047,2014,442
140047,2015,527
140047,2016,542
140047,2017,563
140047,2018,628
140047,2019,567
140050,2012,116
140050,2013,120
140050,2014,117
140050,2015,117
140050,2016,104
140050,2017,122
140050,2018,119
140050,2019,131
140060,2012,84
140060,2013,80
140060,2014,67
140060,2015,91
140060,2016,83
140060,2017,106
140060,2018,86
140060,2019,107
140070,2012,432
140070,2013,459
140070,2014,466
140070,2015,518
140070,2016,509
140070,2017,445
140070,2018,513
140070,2019,616
150000,2012,4
150000,2013,8
150000,2014,2
150000,2015,2
150000,2016,2
150000,2017,2
150000,2018,1
150000,2019,3
150010,2012,2530
150010,2013,2538
150010,2014,2705
150010,2015,2660
150010,2016,2532
150010,2017,2713
150010,2018,2671
150010,2019,2623
150013,2012,114
150013,2013,129
150013,2014,100
150013,2015,143
150013,2016,117
150013,2017,142
150013,2018,130
150013,2019,132
150020,2012,966
150020,2013,1039
150020,2014,1116
150020,2015,936
150020,2016,996
150020,2017,992
150020,2018,1013
150020,2019,980
150030,2012,805
150030,2013,788
150030,2014,806
150030,2015,871
150030,2016,911
150030,2017,968
150030,2018,1022
150030,2019,1014
150034,2012,164
150034,2013,190
150034,2014,182
150034,2015,199
150034,2016,163
150034,2017,215
150034,2018,223
150034,2019,225
150040,2012,1138
150040,2013,1126
150040,2014,1133
150040,2015,1133
150040,2016,1031
150040,2017,1132
150040,2018,1190
150040,2019,1194
150050,2012,693
150050,2013,754
150050,2014,801
150050,2015,797
150050,2016,739
150050,2017,745
150050,2018,780
150050,2019,779
150060,2012,2105
150060,2013,2529
150060,2014,2866
150060,2015,2991
150060,2016,2846
150060,2017,2487
150060,2018,2568
150060,2019,2371
150070,2012,751
150070,2013,736
150070,2014,737
150070,2015,742
150070,2016,819
150070,2017,855
150070,2018,871
150070,2019,837
150080,2012,8195
150080,2013,8035
150080,2014,8282
150080,2015,8397
150080,2016,8011
150080,2017,7940
150080,2018,7772
150080,2019,7408
150085,2012,530
150085,2013,531
150085,2014,542
150085,2015,600
150085,2016,575
150085,2017,630
150085,2018,656
150085,2019,652
150090,2012,965
150090,2013,1050
150090,2014,990
150090,2015,954
150090,2016,954
150090,2017,935
150090,2018,901
150090,2019,809
150095,2012,372
150095,2013,418
150095,2014,472
150095,2015,440
150095,2016,395
150095,2017,401
150095,2018,368
150095,2019,425
150100,2012,206
150100,2013,215
150100,2014,194
150100,2015,198
150100,2016,205
150100,2017,160
150100,2018,182
150100,2019,146
150110,2012,465
150110,2013,460
150110,2014,548
150110,2015,556
150110,2016,562
150110,2017,553
150110,2018,582
150110,2019,549
150120,2012,538
150120,2013,532
150120,2014,578
150120,2015,575
150120,2016,567
150120,2017,630
150120,2018,580
150120,2019,501
150125,2012,42
150125,2013,43
150125,2014,48
150125,2015,45
150125,2016,37
150125,2017,49
150125,2018,49
150125,2019,46
150130,2012,2053
150130,2013,1998
150130,2014,2105
150130,2015,2098
150130,2016,2148
150130,2017,2154
150130,2018,2274
150130,2019,2294
150140,2012,21371
150140,2013,21884
150140,2014,21530
150140,2015,21250
150140,2016,19250
150140,2017,19409
150140,2018,19348
150140,2019,18587
150145,2012,243
150145,2013,269
150145,2014,240
150145,2015,273
150145,2016,241
150145,2017,272
150145,2018,296
150145,2019,314
150150,2012,1082
150150,2013,1010
150150,2014,1079
150150,2015,1008
150150,2016,950
150150,2017,1041
150150,2018,1037
150150,2019,999
150157,2012,229
150157,2013,230
150157,2014,203
150157,2015,253
150157,2016,248
150157,2017,225
150157,2018,277
150157,2019,292
150160,2012,217
150160,2013,195
150160,2014,215
150160,2015,212
150160,2016,182
150160,2017,184
150160,2018,188
150160,2019,210
150170,2012,2148
150170,2013,2191
150170,2014,2352
150170,2015,2192
150170,2016,2126
150170,2017,2099
150170,2018,2203
150170,2019,2127
150172,2012,279
150172,2013,269
150172,2014,290
150172,2015,255
150172,2016,272
150172,2017,333
150172,2018,351
150172,2019,325
150175,2012,97
150175,2013,95
150175,2014,92
150175,2015,103
150175,2016,79
150175,2017,93
150175,2018,92
150175,2019,100
150178,2012,799
150178,2013,786
150178,2014,851
150178,2015,832
150178,2016,766
150178,2017,785
150178,2018,790
150178,2019,765
150180,2012,2383
150180,2013,2660
150180,2014,2774
150180,2015,2588
150180,2016,2541
150180,2017,2723
150180,2018,2849
150180,2019,2772
150190,2012,508
150190,2013,498
150190,2014,501
150190,2015,482
150190,2016,504
150190,2017,473
150190,2018,474
150190,2019,463
150195,2012,356
150195,2013,323
150195,2014,313
150195,2015,304
150195,2016,344
150195,2017,311
150195,2018,306
150195,2019,309
150200,2012,236
150200,2013,268
150200,2014,301
150200,2015,319
150200,2016,339
150200,2017,330
150200,2018,350
150200,2019,343
150210,2012,2478
150210,2013,2469
150210,2014,2511
150210,2015,2445
150210,2016,2406
150210,2017,2417
150210,2018,2678
150210,2019,2488
150215,2012,875
150215,2013,954
150215,2014,1124
150215,2015,1332
150215,2016,1380
150215,2017,1234
