CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
310590,2012,10,11,0.9090909090909092
310590,2013,9,13,0.6923076923076923
310590,2014,2,9,0.2222222222222222
310590,2015,7,12,0.5833333333333334
310590,2016,4,10,0.4
310590,2017,0,9,0.0
310590,2018,3,7,0.4285714285714285
310590,2019,1,13,0.0769230769230769
310600,2012,0,2,0.0
310600,2013,0,7,0.0
310600,2014,0,8,0.0
310600,2015,0,5,0.0
310600,2016,0,4,0.0
310600,2017,0,4,0.0
310600,2018,3,4,0.75
310600,2019,0,2,0.0
310610,2013,1,2,0.5
310610,2015,0,1,0.0
310610,2016,0,1,0.0
310610,2017,2,2,1.0
310610,2018,1,1,1.0
310620,2012,723,823,0.8784933171324423
310620,2013,298,775,0.384516129032258
310620,2014,209,710,0.2943661971830986
310620,2015,259,638,0.4059561128526646
310620,2016,179,647,0.276661514683153
310620,2017,185,627,0.2950558213716108
310620,2018,211,625,0.3376
310620,2019,229,684,0.3347953216374269
310630,2012,10,10,1.0
310630,2013,11,11,1.0
310630,2014,11,11,1.0
310630,2015,13,13,1.0
310630,2016,5,5,1.0
310630,2017,9,9,1.0
310630,2018,11,14,0.7857142857142857
310630,2019,5,6,0.8333333333333334
310640,2012,0,2,0.0
310640,2013,0,3,0.0
310640,2014,0,4,0.0
310640,2015,1,4,0.25
310640,2016,0,3,0.0
310640,2019,0,2,0.0
310650,2012,0,2,0.0
310650,2013,0,2,0.0
310650,2014,0,1,0.0
310650,2015,0,4,0.0
310650,2016,0,2,0.0
310650,2017,0,3,0.0
310650,2018,1,4,0.25
310650,2019,0,6,0.0
310660,2012,1,4,0.25
310660,2013,0,2,0.0
310660,2014,0,1,0.0
310660,2015,1,4,0.25
310660,2016,2,3,0.6666666666666666
310660,2018,0,1,0.0
310660,2019,1,2,0.5
310665,2013,2,2,1.0
310665,2014,0,1,0.0
310665,2015,3,3,1.0
310665,2017,1,1,1.0
310670,2012,22,138,0.1594202898550724
310670,2013,13,136,0.0955882352941176
310670,2014,17,141,0.1205673758865248
310670,2015,19,175,0.1085714285714285
310670,2016,60,140,0.4285714285714285
310670,2017,60,138,0.4347826086956521
310670,2018,13,115,0.1130434782608695
310670,2019,23,144,0.1597222222222222
310680,2012,1,2,0.5
310680,2013,0,2,0.0
310680,2014,0,1,0.0
310680,2015,2,3,0.6666666666666666
310680,2018,0,1,0.0
310680,2019,0,1,0.0
310690,2012,3,4,0.75
310690,2013,7,7,1.0
310690,2014,2,5,0.4
310690,2015,3,4,0.75
310690,2016,3,5,0.6
310690,2017,5,7,0.7142857142857143
310690,2018,5,5,1.0
310690,2019,2,3,0.6666666666666666
310700,2012,0,1,0.0
310700,2013,0,1,0.0
310700,2014,0,1,0.0
310700,2018,0,1,0.0
310710,2012,7,18,0.3888888888888889
310710,2013,8,11,0.7272727272727273
310710,2014,1,14,0.0714285714285714
310710,2015,12,19,0.631578947368421
310710,2016,6,17,0.3529411764705882
310710,2017,4,12,0.3333333333333333
310710,2018,12,16,0.75
310710,2019,8,10,0.8
310720,2012,1,1,1.0
310720,2014,0,1,0.0
310720,2015,0,3,0.0
310720,2016,0,1,0.0
310720,2018,0,1,0.0
310720,2019,0,1,0.0
310730,2012,14,14,1.0
310730,2013,20,20,1.0
310730,2014,9,22,0.4090909090909091
310730,2015,28,28,1.0
310730,2016,15,23,0.6521739130434783
310730,2017,9,18,0.5
310730,2018,0,12,0.0
310730,2019,2,19,0.1052631578947368
310740,2012,8,15,0.5333333333333333
310740,2013,7,14,0.5
310740,2014,7,17,0.4117647058823529
310740,2015,11,17,0.6470588235294118
310740,2016,13,14,0.9285714285714286
310740,2017,13,18,0.7222222222222222
310740,2018,10,13,0.7692307692307693
310740,2019,5,7,0.7142857142857143
310750,2012,0,2,0.0
310750,2013,1,2,0.5
310750,2014,1,1,1.0
310750,2015,1,3,0.3333333333333333
310750,2016,1,5,0.2
310750,2017,2,5,0.4
310750,2018,0,3,0.0
310760,2012,0,1,0.0
310760,2013,0,2,0.0
310760,2014,0,1,0.0
310760,2016,0,1,0.0
310760,2018,0,1,0.0
310760,2019,0,1,0.0
310770,2014,0,2,0.0
310770,2015,0,2,0.0
310770,2016,1,5,0.2
310770,2017,0,1,0.0
310770,2018,0,2,0.0
310770,2019,0,3,0.0
310780,2012,10,10,1.0
310780,2013,5,5,1.0
310780,2014,7,7,1.0
310780,2015,2,2,1.0
310780,2016,4,5,0.8
310780,2017,2,4,0.5
310780,2018,3,5,0.6
310780,2019,1,4,0.25
310790,2012,3,3,1.0
310790,2013,3,6,0.5
310790,2014,2,2,1.0
310790,2015,1,1,1.0
310790,2017,0,6,0.0
310790,2018,1,3,0.3333333333333333
310790,2019,0,3,0.0
310800,2012,1,6,0.1666666666666666
310800,2013,6,10,0.6
310800,2014,1,7,0.1428571428571428
310800,2015,1,5,0.2
310800,2016,2,8,0.25
310800,2017,1,11,0.0909090909090909
310800,2018,0,2,0.0
310800,2019,0,9,0.0
310810,2012,2,2,1.0
310810,2013,2,3,0.6666666666666666
310810,2015,0,2,0.0
310810,2016,0,4,0.0
310810,2017,0,1,0.0
310810,2018,0,2,0.0
310810,2019,1,4,0.25
310820,2013,0,4,0.0
310820,2015,2,5,0.4
310820,2016,0,3,0.0
310820,2018,2,4,0.5
310820,2019,0,2,0.0
310825,2012,0,1,0.0
310825,2013,0,2,0.0
310825,2014,0,1,0.0
310825,2016,0,2,0.0
310825,2017,0,4,0.0
310825,2018,0,2,0.0
310825,2019,1,2,0.5
310830,2012,3,6,0.5
310830,2013,1,6,0.1666666666666666
310830,2014,1,6,0.1666666666666666
310830,2015,3,3,1.0
310830,2016,3,5,0.6
310830,2017,3,4,0.75
310830,2018,4,6,0.6666666666666666
310830,2019,0,2,0.0
310840,2012,6,8,0.75
310840,2013,1,4,0.25
310840,2015,2,5,0.4
310840,2016,1,2,0.5
310840,2017,2,4,0.5
310840,2019,0,1,0.0
310850,2013,1,3,0.3333333333333333
310850,2014,2,2,1.0
310850,2015,0,2,0.0
310850,2016,2,2,1.0
310850,2017,1,3,0.3333333333333333
310850,2018,0,1,0.0
310850,2019,1,3,0.3333333333333333
310855,2012,1,5,0.2
310855,2013,2,4,0.5
310855,2014,4,8,0.5
310855,2015,2,5,0.4
310855,2016,2,4,0.5
310855,2017,2,7,0.2857142857142857
310855,2018,1,6,0.1666666666666666
310855,2019,2,6,0.3333333333333333
310860,2012,1,17,0.0588235294117647
310860,2013,0,9,0.0
310860,2014,1,10,0.1
310860,2015,2,10,0.2
310860,2016,0,9,0.0
310860,2017,3,5,0.6
310860,2018,1,8,0.125
310860,2019,0,12,0.0
310870,2012,1,2,0.5
310870,2013,0,1,0.0
310870,2014,0,3,0.0
310870,2016,0,1,0.0
310870,2017,0,1,0.0
310870,2018,0,1,0.0
310880,2014,1,1,1.0
310880,2015,2,2,1.0
310880,2016,2,2,1.0
310880,2017,1,1,1.0
310880,2018,1,2,0.5
310880,2019,2,2,1.0
310890,2012,2,3,0.6666666666666666
310890,2014,3,8,0.375
310890,2015,2,2,1.0
310890,2016,2,4,0.5
310890,2017,3,4,0.75
310890,2018,1,2,0.5
310890,2019,1,3,0.3333333333333333
