CODMUNRES,ano_nasc,Qtd_Menor20,Qtd_Total,Ratio
110155,2017,10.0,58,0.1724137931034483
110155,2018,11.0,60,0.18333333333333332
110155,2019,14.0,64,0.21875
110160,2012,34.0,133,0.2556390977443609
110160,2013,34.0,106,0.32075471698113206
110160,2014,32.0,125,0.256
110160,2015,28.0,107,0.2616822429906542
110160,2016,28.0,131,0.21374045801526717
110160,2017,41.0,146,0.2808219178082192
110160,2018,31.0,131,0.2366412213740458
110160,2019,22.0,97,0.2268041237113402
110170,2012,29.0,146,0.19863013698630136
110170,2013,35.0,150,0.23333333333333334
110170,2014,31.0,122,0.2540983606557377
110170,2015,33.0,138,0.2391304347826087
110170,2016,42.0,151,0.2781456953642384
110170,2017,39.0,150,0.26
110170,2018,27.0,139,0.19424460431654678
110170,2019,30.0,170,0.17647058823529413
110175,2012,27.0,86,0.313953488372093
110175,2013,22.0,89,0.24719101123595505
110175,2014,40.0,128,0.3125
110175,2015,25.0,106,0.2358490566037736
110175,2016,27.0,110,0.24545454545454545
110175,2017,25.0,86,0.29069767441860467
110175,2018,19.0,91,0.2087912087912088
110175,2019,22.0,93,0.23655913978494625
110180,2012,25.0,83,0.30120481927710846
110180,2013,27.0,107,0.2523364485981308
110180,2014,12.0,90,0.13333333333333333
110180,2015,15.0,63,0.23809523809523808
110180,2016,26.0,98,0.2653061224489796
110180,2017,17.0,79,0.21518987341772153
110180,2018,22.0,95,0.23157894736842105
110180,2019,19.0,80,0.2375
120000,2012,0.0,1,0.0
120001,2012,94.0,253,0.3715415019762846
120001,2013,89.0,258,0.3449612403100775
120001,2014,88.0,269,0.3271375464684015
120001,2015,68.0,217,0.31336405529953915
120001,2016,76.0,222,0.34234234234234234
120001,2017,85.0,256,0.33203125
120001,2018,72.0,216,0.3333333333333333
120001,2019,74.0,257,0.28793774319066145
120005,2012,82.0,219,0.3744292237442922
120005,2013,74.0,213,0.3474178403755869
120005,2014,90.0,196,0.45918367346938777
120005,2015,77.0,238,0.3235294117647059
120005,2016,73.0,190,0.38421052631578945
